 	j'	ai	piétiné	un	milles	pattes	dans	la	forêt	</S>
a66	0.391141	0.302562	0.113907	0.0817677	0.0424397	0.0275035	0.0153745	0.0099824	0.00766397	0.00765841
a87	0.428452	0.263702	0.0893828	0.0281134	0.017788	0.019131	0.0256697	0.0315183	0.0405237	0.0557197
a23	0.38025	0.252629	0.145696	0.08156	0.0642668	0.0144329	0.0128019	0.0123059	0.0154	0.0206582
a97	0.281376	0.246499	0.159555	0.110138	0.0827582	0.024056	0.0282396	0.0210938	0.0211265	0.0251578
a57	0.310316	0.234799	0.155651	0.123628	0.0538234	0.0266546	0.0287723	0.0235824	0.0206645	0.0221086
a99	0.364027	0.254969	0.146933	0.0944407	0.0338079	0.0209284	0.0263242	0.0211787	0.0182538	0.0191376
a83	0.403484	0.267956	0.104194	0.0615207	0.0215497	0.0229525	0.0353098	0.0288076	0.0258658	0.02836
a62	0.297116	0.295465	0.176273	0.0930247	0.0300367	0.0123846	0.0197125	0.0199295	0.0231628	0.0328964
a96	0.214053	0.289301	0.279422	0.109736	0.0460062	0.0107119	0.0125847	0.0120514	0.0124376	0.0136954
a61	0.172365	0.229959	0.292499	0.146732	0.0905366	0.0172162	0.0138084	0.0123899	0.0119448	0.012549
a21	0.182355	0.21899	0.272768	0.155828	0.117169	0.0168184	0.0103771	0.00890092	0.00831298	0.00848153
a47	0.135153	0.178753	0.277824	0.17701	0.136377	0.0340901	0.016876	0.0146533	0.0138602	0.0154032
a62	0.0922118	0.119462	0.209405	0.204397	0.22618	0.0596439	0.0298717	0.0215365	0.0188065	0.0184858
a96	0.0470659	0.0669817	0.186403	0.225577	0.288076	0.0802791	0.0361463	0.025788	0.0215613	0.0221217
a18	0.0361572	0.0493305	0.155033	0.222328	0.28684	0.100462	0.0533547	0.0363013	0.0298848	0.030309
a75	0.0251576	0.0288218	0.085727	0.193896	0.328755	0.12972	0.0696923	0.051044	0.0402716	0.0469153
a25	0.012608	0.0169738	0.0484162	0.136599	0.213864	0.131138	0.129694	0.115441	0.097746	0.0975198
a98	0.00964132	0.0134818	0.0417378	0.129845	0.223523	0.17522	0.139666	0.100578	0.0799455	0.0863629
a92	0.0158224	0.0181721	0.0359791	0.0771828	0.128936	0.177276	0.16329	0.132835	0.109465	0.141042
a56	0.00818695	0.00864245	0.0163505	0.0457719	0.110795	0.179531	0.174706	0.151146	0.137667	0.167203
a90	0.00564357	0.00556231	0.00983408	0.0345908	0.0975701	0.184239	0.195847	0.177864	0.14222	0.146628
a25	0.00299315	0.00293162	0.00538182	0.0182733	0.0655929	0.162158	0.200883	0.208767	0.161778	0.171241
a79	0.00145661	0.00162893	0.00394041	0.00968532	0.0390427	0.115293	0.185083	0.237589	0.185991	0.22029
a56	0.00152092	0.00161591	0.00394806	0.0113835	0.0517239	0.115286	0.180264	0.224038	0.193126	0.217093
a98	0.00104904	0.000932956	0.00158731	0.00441437	0.0193102	0.0800647	0.14215	0.224604	0.227955	0.297932
a79	0.000468049	0.000530429	0.00203633	0.00730316	0.0342125	0.0791783	0.12288	0.187696	0.236899	0.328796
a7	0.0006427	0.000652306	0.00164368	0.00544285	0.0212516	0.0598766	0.103523	0.185544	0.258894	0.362529
a53	0.000560182	0.000346817	0.000530968	0.00172932	0.00787602	0.0303988	0.07713	0.179684	0.269998	0.431745
a4	0.000744619	0.000476742	0.000593306	0.00173833	0.00617828	0.0368129	0.0794066	0.179819	0.278637	0.415593
a57	0.000487682	0.000311146	0.000380425	0.000946811	0.00266261	0.0214278	0.0562803	0.160118	0.28827	0.469115
a82	0.00182574	0.00119659	0.000977455	0.00187483	0.00323535	0.0221235	0.0561701	0.162283	0.296928	0.453385
a87	0.0298631	0.019701	0.0197031	0.0215103	0.0264615	0.0595718	0.100404	0.207961	0.240648	0.274175
a23	0.104442	0.0436086	0.0273222	0.0348985	0.0480074	0.105217	0.146449	0.174258	0.161958	0.153839
a97	0.0404832	0.0166135	0.00731246	0.00623151	0.00356632	0.0281406	0.0982957	0.196131	0.28181	0.321416
a87	0.00920601	0.00500968	0.00636851	0.00981609	0.00652904	0.0257528	0.0724203	0.175475	0.30223	0.387192
a23	0.0293203	0.0133038	0.0104316	0.00958746	0.00946154	0.0225574	0.0590985	0.1429	0.288867	0.414473
a99	0.0262092	0.0161639	0.0134184	0.0139448	0.0074874	0.0316564	0.0820842	0.174405	0.265553	0.369077
a97	0.0335583	0.0225047	0.0215998	0.0251552	0.0115772	0.038271	0.0825731	0.163417	0.250839	0.350505
</S>	0.0223632	0.0122217	0.0120641	0.0131917	0.00904985	0.0256214	0.0697904	0.150521	0.285877	0.3993
