 	le	canard	musqué	se	lave	dans	le	ruisseau	</S>
a66	0.107722	0.13396	0.314341	0.220873	0.134784	0.050348	0.0242728	0.00958926	0.00411036
a87	0.138074	0.118533	0.238987	0.164344	0.155546	0.108134	0.0531961	0.0183036	0.00488295
a23	0.173991	0.191662	0.278483	0.177572	0.104132	0.0374717	0.0167412	0.0131832	0.006763
a87	0.191882	0.261442	0.416555	0.0833271	0.0304247	0.00870754	0.00344872	0.0023355	0.00187723
a97	0.197234	0.267111	0.377784	0.0936966	0.0403558	0.0129296	0.00483118	0.00321335	0.00284454
a87	0.173484	0.250944	0.443791	0.077402	0.0348206	0.0106818	0.00430922	0.00263945	0.00192817
a23	0.189253	0.256097	0.37438	0.0975801	0.0561309	0.0159055	0.00592117	0.00285419	0.00187741
a83	0.193701	0.289734	0.387397	0.0648143	0.0331351	0.0125769	0.00834173	0.00578428	0.00451538
a50	0.243062	0.25339	0.233092	0.0914033	0.0701193	0.0416504	0.0293121	0.0225922	0.0153784
a62	0.192821	0.230661	0.147697	0.115775	0.105796	0.0836826	0.0579212	0.0374926	0.028152
a21	0.108313	0.149991	0.113555	0.153617	0.184489	0.147059	0.0746673	0.0404282	0.027881
a12	0.0798904	0.134591	0.113925	0.170672	0.207481	0.130508	0.0757814	0.0494578	0.0376923
a62	0.0860684	0.134738	0.112335	0.134814	0.174873	0.149364	0.0968075	0.0660048	0.0449952
a61	0.0513307	0.0771512	0.0729997	0.1269	0.170969	0.195696	0.146888	0.0959182	0.0621476
a56	0.043797	0.0709543	0.0706297	0.131808	0.167206	0.18909	0.159059	0.104556	0.0629
a90	0.0360836	0.0657212	0.0810275	0.142818	0.136067	0.15222	0.163189	0.126639	0.0962351
a98	0.0242614	0.0488386	0.0654382	0.10269	0.0906563	0.125253	0.189445	0.192175	0.161242
a25	0.0106095	0.0190316	0.0268107	0.0449664	0.0398784	0.0756222	0.171368	0.272372	0.339341
a41	0.00786014	0.0134388	0.0198244	0.023661	0.0181152	0.0332087	0.0993476	0.247423	0.537121
a25	0.00200645	0.00347471	0.00491986	0.00775521	0.00688291	0.0214576	0.104193	0.300147	0.549163
a90	0.00113609	0.00176599	0.00280397	0.00349949	0.0030938	0.00995578	0.0544315	0.240226	0.683088
a44	0.00132503	0.00142571	0.00163693	0.00213998	0.0027323	0.0111294	0.0491225	0.204988	0.7255
a47	0.00104135	0.000710237	0.000690961	0.000693351	0.000759097	0.00444823	0.0344529	0.203459	0.753745
a31	0.000880218	0.00051923	0.000360105	0.000428493	0.00059016	0.00428203	0.0354479	0.230202	0.72729
a0	0.000604804	0.000508381	0.000504551	0.000781263	0.00103333	0.00541382	0.0363585	0.209651	0.745144
a38	0.00175682	0.00140764	0.00182593	0.00257824	0.00466799	0.0212774	0.100075	0.315623	0.550788
a9	0.00830254	0.00691926	0.00801035	0.0106269	0.0185213	0.0442942	0.109182	0.267293	0.52685
a10	0.0227268	0.0173356	0.0173566	0.0198005	0.0278346	0.0456346	0.0998994	0.25338	0.496032
a87	0.120987	0.105412	0.112177	0.121318	0.0926929	0.0569118	0.0644523	0.107471	0.218577
a23	0.147378	0.144096	0.168021	0.143611	0.0933979	0.0631792	0.0649705	0.0805773	0.0947689
a97	0.016384	0.0144675	0.0137458	0.0194634	0.022392	0.0302154	0.0612106	0.214346	0.607776
a87	0.00703703	0.00921174	0.0130066	0.0184919	0.0230735	0.0322719	0.0706254	0.244855	0.581427
a23	0.0172327	0.0206273	0.0260716	0.0411333	0.043973	0.0436091	0.0683868	0.225894	0.513072
a99	0.00905019	0.0107353	0.0124546	0.0282323	0.0307183	0.0447104	0.0785443	0.225473	0.560082
a97	0.0101359	0.0156833	0.0250805	0.0517432	0.0557335	0.0618619	0.0940489	0.219439	0.466274
</S>	0.0141302	0.0184763	0.0268991	0.038176	0.0353108	0.0359564	0.0695311	0.200631	0.560889
