 	j'	ai	eu	mes	menstrues	</S>
a87	0.542577	0.262995	0.117154	0.0474611	0.0160432	0.0137694
a23	0.592848	0.143602	0.0500065	0.0663555	0.0696085	0.0775795
a87	0.356199	0.241478	0.177521	0.113337	0.0559995	0.0554655
a23	0.375605	0.2819	0.181175	0.0930444	0.0414779	0.0267976
a13	0.505844	0.275145	0.121053	0.0476249	0.0271738	0.0231592
a54	0.418727	0.327839	0.141015	0.0397477	0.040215	0.0324564
a36	0.281607	0.302134	0.226183	0.0924784	0.0696783	0.02792
a96	0.242247	0.28134	0.239742	0.128013	0.0779926	0.0306655
a88	0.179485	0.225397	0.237796	0.174542	0.127208	0.0555732
a71	0.0977236	0.141658	0.246045	0.270301	0.171131	0.073141
a75	0.0575709	0.0925568	0.182506	0.25362	0.26424	0.149506
a85	0.0501954	0.0711551	0.128998	0.244112	0.286516	0.219023
a6	0.0714148	0.0792495	0.114776	0.250999	0.261652	0.221909
a0	0.0332286	0.036217	0.0663489	0.188845	0.33065	0.34471
a47	0.0643986	0.0632835	0.088106	0.165541	0.260348	0.358323
a96	0.0625533	0.0478885	0.0516932	0.0964912	0.229699	0.511675
a88	0.0717674	0.0604354	0.0720734	0.139862	0.247695	0.408167
a71	0.0318748	0.0304902	0.0419937	0.102778	0.241846	0.551017
a9	0.0132833	0.013856	0.0233232	0.0649265	0.198735	0.685876
a10	0.0103399	0.00804432	0.0106326	0.0351941	0.163808	0.771981
a87	0.140343	0.0622303	0.0499049	0.0694759	0.160368	0.517678
a23	0.331664	0.19198	0.104312	0.089957	0.114789	0.167298
a87	0.0693813	0.0424062	0.0406176	0.101232	0.244511	0.501851
</S>	0.0150209	0.0110575	0.0172398	0.0750579	0.261449	0.620175
