 	une	bande	de	buffles	se	dirigea	vers	les	chasseurs	</S>
a23	0.223517	0.103194	0.108509	0.0968939	0.113536	0.112744	0.114435	0.059203	0.0369471	0.0310204
a87	0.371834	0.194539	0.156704	0.0855209	0.0598533	0.0349297	0.0250572	0.0216978	0.0219905	0.0278737
a23	0.230391	0.213811	0.191297	0.13105	0.0838565	0.0321216	0.0219262	0.0208111	0.0274084	0.0473269
a50	0.370508	0.245559	0.169397	0.0795948	0.0366264	0.0119878	0.00856899	0.0111209	0.020817	0.0458197
a83	0.39918	0.244055	0.149911	0.0776051	0.0395791	0.0169064	0.0169587	0.0179831	0.0173513	0.0204709
a9	0.498681	0.248076	0.12536	0.0507503	0.0312023	0.0125236	0.00751877	0.00757994	0.00813929	0.0101689
a57	0.36183	0.22057	0.139734	0.0862585	0.0564077	0.033182	0.0233971	0.0221892	0.0243698	0.0320616
a13	0.153234	0.122473	0.0922484	0.0875333	0.0758895	0.0625059	0.0694507	0.073065	0.104724	0.158876
a70	0.17518	0.146617	0.116082	0.0963208	0.0790959	0.0484528	0.0423587	0.0520628	0.0907294	0.1531
a75	0.241597	0.198361	0.146169	0.119863	0.0987315	0.0584702	0.0375747	0.0322914	0.0307974	0.0361442
a5	0.203188	0.180749	0.1453	0.123364	0.10919	0.0679256	0.0555961	0.0511432	0.034512	0.0290319
a6	0.219833	0.198866	0.153391	0.122191	0.100258	0.0514256	0.0422028	0.0400574	0.0344787	0.0372967
a92	0.131922	0.125549	0.11251	0.0994913	0.0912946	0.0714426	0.0821501	0.0946832	0.0905739	0.100384
a61	0.109857	0.1154	0.112774	0.102675	0.0971078	0.0842467	0.0865185	0.0935187	0.0957251	0.102177
a0	0.100674	0.118135	0.142895	0.141182	0.141491	0.104024	0.0750068	0.0581065	0.0536035	0.0648832
a75	0.104688	0.125449	0.158962	0.175716	0.157692	0.0988222	0.0569031	0.0357307	0.0361819	0.0498554
a85	0.0568412	0.0641105	0.0728824	0.0861024	0.0865454	0.0837068	0.0929931	0.110248	0.150329	0.196241
a47	0.0535694	0.0562907	0.0674294	0.088765	0.105562	0.121223	0.113696	0.109699	0.131499	0.152266
a36	0.0745829	0.0683815	0.0738802	0.098887	0.0861301	0.0821295	0.0976392	0.0786888	0.12074	0.21894
a2	0.114781	0.0968977	0.0936424	0.108124	0.0847999	0.0576481	0.0572875	0.0483728	0.10149	0.236957
a57	0.0624992	0.0587533	0.0534597	0.0610168	0.0488663	0.042321	0.0512835	0.0599035	0.138939	0.422958
a47	0.0364713	0.0341699	0.0334211	0.043116	0.0406212	0.0475169	0.0779587	0.109885	0.192481	0.384358
a62	0.0554667	0.0492557	0.0479569	0.0582069	0.0497198	0.0549977	0.0796776	0.0848389	0.154094	0.365786
a83	0.0473919	0.0398001	0.0404251	0.046362	0.0444755	0.046451	0.0790923	0.122709	0.227104	0.306189
a50	0.0141301	0.0163563	0.0201913	0.0283698	0.0269854	0.0370433	0.065235	0.125189	0.269869	0.396631
a62	0.00953269	0.0113137	0.0144911	0.0192007	0.0221005	0.0391593	0.05762	0.0987632	0.269947	0.457872
a21	0.00474312	0.00574646	0.00805632	0.0122222	0.0147057	0.0279081	0.0492267	0.0965024	0.278652	0.502237
a85	0.011385	0.0129227	0.0147072	0.0197206	0.0182184	0.0260907	0.0438165	0.0839685	0.272274	0.496897
a47	0.0136348	0.0142648	0.0170389	0.0223065	0.0191257	0.0219726	0.0426183	0.0862606	0.272927	0.489851
a37	0.0113859	0.0099791	0.0109517	0.0140246	0.0134313	0.0163713	0.0388011	0.0867631	0.293945	0.504347
a98	0.00463802	0.0048575	0.00637362	0.00941732	0.00962329	0.0134354	0.0370206	0.084764	0.256109	0.573761
a85	0.00913928	0.00891251	0.010853	0.0138112	0.0130473	0.0169101	0.0372516	0.0784354	0.234391	0.577248
a37	0.00626065	0.00645862	0.00805831	0.011155	0.0103341	0.0116297	0.0253814	0.056312	0.237135	0.627275
a26	0.00222611	0.00223799	0.00303488	0.00456187	0.00542108	0.0102754	0.0276509	0.0735553	0.262745	0.608292
a62	0.00685058	0.00446073	0.00530993	0.00620546	0.00690124	0.0107911	0.0294916	0.0676714	0.22902	0.633298
a83	0.00304972	0.00268524	0.00367609	0.00492338	0.00513307	0.00976043	0.0213579	0.0553321	0.227034	0.667048
a9	0.00301017	0.00306557	0.00470791	0.00689994	0.00797323	0.0150575	0.0322892	0.073466	0.251076	0.602455
a10	0.00982192	0.00855073	0.0102373	0.012986	0.0121849	0.0143837	0.0430898	0.100917	0.273352	0.514477
a87	0.0374825	0.0243266	0.0279629	0.0280614	0.0284774	0.0404284	0.0997833	0.148209	0.230651	0.334618
a23	0.10127	0.0613139	0.0655889	0.0516076	0.0496621	0.0540297	0.0879914	0.113162	0.180266	0.235109
a87	0.0597012	0.0367828	0.0377964	0.031629	0.0321747	0.0389587	0.0593741	0.10358	0.240748	0.359255
</S>	0.0062454	0.00451916	0.00607899	0.00767508	0.00965587	0.0202349	0.0475289	0.103273	0.27419	0.520598
