 	le	miroir	brille	</S>
a23	0.377421	0.168394	0.210233	0.243952
a87	0.576704	0.274552	0.0825026	0.0662412
a23	0.510602	0.318116	0.098522	0.0727603
a24	0.555631	0.200963	0.115836	0.12757
a32	0.583194	0.230956	0.114606	0.0712432
a25	0.738487	0.172002	0.0507675	0.0387434
a38	0.422429	0.225394	0.165506	0.186671
a35	0.366832	0.263182	0.195099	0.174887
a30	0.381409	0.278051	0.191542	0.148998
a41	0.310931	0.249721	0.23164	0.207709
a24	0.199026	0.227882	0.288531	0.284561
a41	0.101717	0.198782	0.321132	0.378369
a26	0.088144	0.164352	0.328581	0.418923
a75	0.0662992	0.0823145	0.308582	0.542804
a35	0.0432838	0.0870528	0.338852	0.530811
a14	0.036658	0.0689067	0.326442	0.567993
a30	0.0284523	0.0634117	0.358542	0.549594
a2	0.0177712	0.0248726	0.242509	0.714848
a57	0.0385066	0.0484887	0.208714	0.704291
a87	0.0532642	0.0966907	0.288879	0.561166
a23	0.0248766	0.0844336	0.347002	0.543688
a10	0.132162	0.184832	0.303326	0.37968
</S>	0.0638662	0.159567	0.328563	0.448004
