 	la	manière	dont	il	pleure	dans	la	maison	il	se	pourrait	que	son	père	soit	mort	</S>
a23	0.109274	0.0642601	0.0495843	0.0706591	0.0838919	0.0893762	0.0957654	0.09308	0.0631038	0.0657653	0.0818073	0.065811	0.0282691	0.0150013	0.00916239	0.00756405	0.00762481
a50	0.31096	0.15214	0.0796393	0.0371335	0.0293987	0.0314072	0.0367493	0.0547084	0.0413463	0.0520313	0.0733501	0.0357609	0.015302	0.0112618	0.0103902	0.0123726	0.0160483
a62	0.270134	0.161071	0.116899	0.0590011	0.0629334	0.05417	0.0324193	0.0295844	0.0304878	0.035209	0.0271691	0.0173897	0.00900541	0.00699094	0.0149539	0.0266655	0.0459168
a31	0.443556	0.240048	0.139101	0.0373368	0.0194249	0.0178515	0.0127997	0.0131468	0.00934273	0.0146021	0.016268	0.0105239	0.00395235	0.00302037	0.00500929	0.00604594	0.00797023
a62	0.318056	0.279043	0.152646	0.0505978	0.0271795	0.0223344	0.0142195	0.0149876	0.0103193	0.0156812	0.0277615	0.0190622	0.00879216	0.00781413	0.00999802	0.00999137	0.0115165
a47	0.233661	0.279877	0.16798	0.0639611	0.038495	0.0317212	0.0205255	0.0207195	0.0135631	0.0182039	0.0361392	0.0230738	0.0110783	0.0102758	0.0110926	0.0089866	0.0106467
a62	0.134455	0.193831	0.185102	0.110486	0.0804025	0.0641349	0.0388303	0.0350837	0.02125	0.0236902	0.0397176	0.0210493	0.00936037	0.00803514	0.0106152	0.0101296	0.0138278
a21	0.0623297	0.0944563	0.126453	0.111343	0.0970832	0.0801371	0.059083	0.0618918	0.0442888	0.0491338	0.0704016	0.0501424	0.0234714	0.0174071	0.0179379	0.015343	0.0190969
a98	0.124049	0.13209	0.171668	0.132668	0.102671	0.0888327	0.0521344	0.0388868	0.0227434	0.023075	0.042632	0.0249411	0.0110698	0.00879334	0.00764599	0.00722403	0.00887645
a92	0.0564009	0.0659288	0.113661	0.129142	0.11249	0.102534	0.0721586	0.0641508	0.0417162	0.0435293	0.0663754	0.0445479	0.0196684	0.0134814	0.0154529	0.0182181	0.0205444
