 	certaines	gens	aiment	manger	le	gésier	du	poulet	</S>
a66	0.186708	0.341104	0.317013	0.1001	0.0286444	0.0124976	0.00806775	0.00353296	0.00233211
a87	0.401821	0.302989	0.201047	0.0321122	0.0219435	0.015834	0.0110209	0.00765957	0.00557269
a23	0.457769	0.189584	0.129877	0.065023	0.0451003	0.0350262	0.0277679	0.0243253	0.0255277
a53	0.28275	0.103971	0.0674418	0.0861235	0.100703	0.0973205	0.0705738	0.0858773	0.105239
a56	0.239051	0.204291	0.182707	0.110508	0.0826936	0.0748745	0.0533058	0.0336675	0.0189024
a5	0.31741	0.23437	0.225127	0.11783	0.0527817	0.019442	0.0135107	0.0113727	0.0081564
a37	0.219247	0.143134	0.205374	0.160969	0.121821	0.0572135	0.042266	0.0323562	0.0176191
a98	0.187735	0.117799	0.181678	0.180592	0.14521	0.0693808	0.0558275	0.042089	0.0196889
a6	0.0708073	0.0804723	0.189141	0.183465	0.167558	0.127587	0.088044	0.0503135	0.0426116
a85	0.190144	0.14329	0.160451	0.141555	0.109951	0.0851204	0.0687863	0.0486717	0.0520306
a5	0.0720937	0.0756957	0.117643	0.136184	0.135099	0.145465	0.132376	0.0951794	0.090265
a61	0.167996	0.171663	0.19014	0.155318	0.118098	0.0886867	0.0566357	0.0271049	0.0243569
a75	0.114937	0.143186	0.188378	0.165428	0.127148	0.102343	0.0711703	0.0426118	0.0447985
a92	0.0514942	0.0800827	0.107234	0.130939	0.134128	0.16398	0.132773	0.108419	0.0909492
a6	0.0511809	0.0798315	0.112107	0.135016	0.125958	0.159802	0.135655	0.0992741	0.101175
a7	0.0279263	0.0513895	0.0786028	0.126454	0.131728	0.177141	0.148747	0.122361	0.13565
a90	0.0174543	0.0313757	0.0453438	0.120614	0.158066	0.203987	0.169218	0.110911	0.143029
a56	0.0105443	0.0140723	0.0213156	0.0590093	0.102529	0.214506	0.188344	0.158343	0.231337
a25	0.0125986	0.01739	0.0261558	0.0580382	0.099955	0.172091	0.183168	0.187132	0.243471
a79	0.00320713	0.00541894	0.00782859	0.0349456	0.0696126	0.15035	0.148161	0.200443	0.380034
a44	0.00286511	0.00360498	0.00505519	0.0192671	0.0528952	0.161796	0.140366	0.213241	0.40091
a75	0.00223471	0.00257781	0.00355032	0.014425	0.0439598	0.135907	0.138404	0.215265	0.443676
a98	0.00121525	0.00181218	0.00324818	0.0164227	0.0538604	0.124429	0.109803	0.220231	0.468978
a47	0.000738495	0.00109227	0.00222934	0.0140675	0.049454	0.10257	0.0938335	0.214251	0.521764
a36	0.0016932	0.00209351	0.00398882	0.0146089	0.0478821	0.101665	0.0875429	0.230982	0.509544
a2	0.00350081	0.00349069	0.00395605	0.00631955	0.0154344	0.0400781	0.0793995	0.191055	0.656766
a26	0.0450941	0.0524472	0.0639987	0.055458	0.061998	0.0656746	0.0842419	0.13527	0.435817
a44	0.0658155	0.0685219	0.0992622	0.101311	0.118885	0.113341	0.119557	0.125257	0.188049
a18	0.00347555	0.00313501	0.00403756	0.00478927	0.0107966	0.0301708	0.0726522	0.260234	0.610709
a62	0.00123067	0.00118782	0.00182716	0.00350596	0.0106386	0.0329471	0.0605182	0.205075	0.68307
a75	0.00117023	0.00161656	0.00214228	0.00468156	0.0109381	0.0267859	0.0611472	0.221204	0.670314
a92	0.000104014	0.000164779	0.000346811	0.000858095	0.00300973	0.0141722	0.0277619	0.146031	0.807551
a85	0.000187098	0.000273141	0.000520406	0.00124961	0.00430189	0.017908	0.0297218	0.134257	0.811581
a92	7.68769e-05	0.000119093	0.000235905	0.00108285	0.00472158	0.0191003	0.0299551	0.136121	0.808588
a36	0.000236426	0.000336448	0.000553561	0.00198384	0.00746088	0.031384	0.0513663	0.161659	0.74502
a96	0.000374082	0.00048029	0.000898282	0.00180888	0.00597263	0.0175819	0.0405434	0.161103	0.771238
a11	0.000534356	0.000816594	0.00143832	0.00270297	0.00788471	0.0192767	0.0411354	0.157568	0.768643
a13	0.00142803	0.0016911	0.00318754	0.00701255	0.018715	0.0375431	0.0639436	0.172543	0.693936
a71	0.019816	0.0186215	0.0285287	0.0342952	0.0519115	0.0806956	0.100217	0.208622	0.457292
a3	0.0606321	0.0546695	0.0675544	0.0554133	0.0690803	0.0973135	0.101648	0.172012	0.321678
a87	0.238754	0.154043	0.104044	0.0580927	0.0586681	0.0650642	0.0604579	0.0849112	0.175965
a23	0.224953	0.175261	0.120159	0.070957	0.0739167	0.0642307	0.0552981	0.0772256	0.137999
a99	0.0361608	0.0157901	0.0129379	0.0087501	0.0240371	0.0922289	0.0779346	0.150157	0.582003
a97	0.0307691	0.015447	0.0158259	0.0163351	0.0290884	0.0786974	0.0819733	0.148156	0.583708
</S>	0.0120787	0.00753878	0.00853221	0.00931322	0.0195874	0.0849705	0.0823364	0.164075	0.611568
