 	le	chasseur	a	tracé	un	chemin	dans	la	forêt	</S>
a66	0.33526	0.274868	0.229266	0.046788	0.0290399	0.0279406	0.0158361	0.0153486	0.0120676	0.0135853
a87	0.386526	0.326411	0.206326	0.0405545	0.0120265	0.00508556	0.00386574	0.00511302	0.00537117	0.00871977
a23	0.339158	0.34355	0.159789	0.0593266	0.0288121	0.0128192	0.0103413	0.0122422	0.0138876	0.0200745
a87	0.376823	0.360335	0.0915751	0.0291957	0.0146293	0.00963807	0.0156989	0.0246174	0.0329667	0.0445212
a23	0.373615	0.348204	0.121287	0.0425952	0.0158365	0.00899873	0.0122506	0.0176636	0.0245598	0.0349892
a53	0.307866	0.273708	0.0755767	0.0363805	0.0214846	0.0180219	0.034439	0.05293	0.0800846	0.0995084
a4	0.326016	0.344821	0.212417	0.0668205	0.0215931	0.011376	0.00558788	0.00432295	0.0035968	0.00344855
a38	0.194506	0.266132	0.232548	0.147379	0.079406	0.0293183	0.017493	0.0126286	0.0111648	0.00942383
a21	0.116756	0.174691	0.207574	0.182492	0.170953	0.0602428	0.0317331	0.0220087	0.0185929	0.0149572
a12	0.0484881	0.0796324	0.135995	0.177854	0.268749	0.119212	0.0639428	0.0423163	0.0357434	0.0280665
a75	0.0334782	0.0534803	0.100711	0.160795	0.282053	0.140558	0.0852947	0.056534	0.047474	0.0396228
a6	0.0169784	0.0311229	0.0834398	0.179833	0.293955	0.157968	0.0990454	0.0588169	0.0426448	0.0361964
a37	0.0202852	0.0335029	0.0773227	0.145204	0.272714	0.16128	0.115728	0.0704465	0.0547126	0.0488045
a61	0.0298194	0.0379434	0.0636877	0.0768354	0.217246	0.185587	0.142165	0.0930054	0.0796468	0.074063
a18	0.0112267	0.013339	0.0250941	0.0445834	0.185655	0.19831	0.19087	0.135071	0.105157	0.090694
a98	0.0060077	0.00728932	0.0121244	0.0392474	0.160027	0.270946	0.176772	0.11916	0.100947	0.107478
a47	0.00335804	0.00404653	0.00935828	0.0425169	0.151573	0.207959	0.197146	0.149027	0.12236	0.112656
a0	0.00310004	0.00384412	0.00528706	0.019723	0.101017	0.195084	0.19336	0.140955	0.154792	0.182838
a54	0.00376763	0.00392896	0.00568631	0.0203416	0.0681264	0.136719	0.201922	0.172879	0.183807	0.202822
a7	0.000725771	0.000888922	0.00172051	0.0138165	0.0547599	0.130225	0.203061	0.192722	0.189078	0.213003
a53	0.000172955	0.000201177	0.000315787	0.00255564	0.0114075	0.0412425	0.174881	0.220916	0.257451	0.290856
a94	0.000210668	0.000224371	0.000394127	0.00279187	0.0117009	0.0454467	0.177915	0.237712	0.263407	0.260198
a43	9.62212e-05	0.000104478	0.000197632	0.00158208	0.00781063	0.0304167	0.113298	0.190055	0.300452	0.355987
a54	8.00773e-05	8.23556e-05	0.000159061	0.00106103	0.00469277	0.0170291	0.0741811	0.151462	0.327041	0.424212
a7	3.06097e-05	2.88119e-05	5.81545e-05	0.000576423	0.00372623	0.0205359	0.102254	0.178352	0.301934	0.392504
a4	2.96273e-05	2.95119e-05	5.42557e-05	0.000341894	0.00146628	0.00646947	0.0465235	0.117955	0.324201	0.502929
a57	7.45202e-05	7.35029e-05	0.00013797	0.000888315	0.00277912	0.0107131	0.0553056	0.13217	0.331951	0.465907
a82	0.000107499	0.00010434	0.000167684	0.00072718	0.00188935	0.00638058	0.0393958	0.1113	0.316452	0.523476
a87	0.00187229	0.00157335	0.00226886	0.00473565	0.0081902	0.0167827	0.0581681	0.122842	0.28996	0.493607
a23	0.251355	0.161851	0.0977008	0.0683251	0.0595131	0.0577735	0.064901	0.0743871	0.0788076	0.085385
a97	0.112599	0.069734	0.064128	0.0804908	0.132021	0.102036	0.120041	0.107419	0.10465	0.106881
a87	0.00951728	0.00605369	0.00611758	0.0185627	0.0542394	0.0768917	0.189015	0.209247	0.214179	0.216177
</S>	0.012084	0.00826874	0.00745914	0.0149658	0.0393055	0.0651058	0.191715	0.215354	0.220152	0.225591
