 	il	peut	soulever	cette	calebasse	</S>
a87	0.175006	0.250821	0.188615	0.168821	0.122292	0.0944443
a79	0.171016	0.137793	0.134029	0.167865	0.178646	0.210651
a15	0.30242	0.194172	0.144843	0.139713	0.108912	0.109939
a98	0.446357	0.20284	0.122617	0.102728	0.0683111	0.0571481
a85	0.514152	0.195088	0.0973351	0.0861998	0.0589666	0.0482579
a47	0.36421	0.213879	0.130616	0.117472	0.0925072	0.0813151
a92	0.233115	0.178864	0.14022	0.126903	0.143483	0.177415
a85	0.256431	0.216262	0.160704	0.121344	0.116924	0.128335
a5	0.126078	0.172741	0.188976	0.154046	0.171511	0.186649
a75	0.146158	0.200744	0.178186	0.144079	0.155266	0.175566
a85	0.105315	0.15905	0.183647	0.160899	0.18107	0.210018
a6	0.093546	0.128407	0.164115	0.163587	0.200125	0.25022
a36	0.0853785	0.106689	0.143646	0.169312	0.226586	0.268389
a0	0.0514368	0.0620827	0.0834265	0.120555	0.249863	0.432636
a56	0.0273835	0.0389614	0.0589456	0.0915887	0.238292	0.544829
a93	0.0148714	0.0217483	0.042238	0.0744709	0.237579	0.609093
a31	0.0164332	0.0240509	0.0510454	0.0877991	0.252394	0.568278
a88	0.00994907	0.0165374	0.0365628	0.0756214	0.251168	0.610161
a71	0.0119679	0.0148675	0.0306032	0.0652789	0.235738	0.641544
a9	0.0339765	0.0476959	0.0791649	0.118003	0.24636	0.4748
a99	0.0903189	0.0910989	0.124676	0.162346	0.224721	0.306839
a97	0.0789637	0.0750765	0.119335	0.169797	0.245654	0.311174
a3	0.103071	0.0990163	0.134141	0.174711	0.232245	0.256816
</S>	0.0741339	0.0722456	0.106433	0.161849	0.264737	0.320602
