 	cet	enfant	a	quitté	le	groupe	des	fumeurs	</S>
a66	0.474619	0.198761	0.0946827	0.0481381	0.0368672	0.033608	0.0388565	0.0481381	0.0263295
a87	0.341428	0.183855	0.107434	0.0796092	0.0675848	0.0662045	0.0517954	0.0543396	0.047749
a23	0.478564	0.188743	0.0786782	0.0458179	0.0486726	0.059343	0.0360505	0.0287191	0.035411
a53	0.356174	0.161769	0.0864897	0.0625021	0.0714168	0.0975166	0.057682	0.0423162	0.0641342
a20	0.497661	0.15826	0.0827303	0.0506426	0.0464432	0.0590255	0.0465539	0.0259892	0.0326943
a44	0.31198	0.225577	0.163374	0.0898901	0.066426	0.0586398	0.0405786	0.0162295	0.0273046
a79	0.264176	0.257771	0.24771	0.113823	0.0510418	0.0279132	0.0163414	0.00698382	0.0142414
a44	0.156828	0.22926	0.298792	0.173414	0.0712312	0.0293274	0.0204924	0.00843693	0.012219
a56	0.102742	0.140634	0.232091	0.227415	0.153445	0.0751824	0.0388585	0.0141368	0.0154949
a32	0.112279	0.149336	0.221356	0.209403	0.147786	0.0818231	0.0453982	0.0170233	0.0155956
a90	0.0529463	0.0887424	0.165278	0.212474	0.193703	0.140808	0.0816127	0.0345858	0.0298497
a4	0.047013	0.0694532	0.12428	0.169214	0.19436	0.175237	0.123468	0.0524723	0.0445036
a13	0.0342287	0.0484146	0.0822281	0.113142	0.165993	0.195882	0.169165	0.113908	0.0770381
a11	0.024666	0.0304368	0.0542575	0.0861612	0.16741	0.23671	0.187298	0.102482	0.110578
a90	0.0364884	0.040531	0.0612912	0.0822556	0.138616	0.206877	0.178782	0.115826	0.139333
a25	0.0124819	0.0173456	0.0335467	0.0485377	0.0846021	0.172249	0.212826	0.232022	0.186389
a79	0.0037532	0.00621712	0.0167271	0.0335399	0.0748411	0.203522	0.251809	0.239193	0.170397
a56	0.00966269	0.0157844	0.0318565	0.052716	0.0918685	0.177932	0.200786	0.256134	0.16326
a12	0.00599222	0.00823474	0.0171714	0.0264326	0.0634842	0.182184	0.242688	0.29218	0.161633
a94	0.00491298	0.00640645	0.0134241	0.0247574	0.0621455	0.147027	0.203286	0.308552	0.229489
a66	0.00578153	0.00617225	0.0101361	0.0145698	0.0371163	0.104717	0.135391	0.346809	0.339308
a53	0.0111054	0.00986401	0.0122186	0.0140415	0.0271728	0.0812384	0.108564	0.407028	0.328767
a93	0.00430789	0.00485849	0.00841982	0.0139344	0.0314364	0.0760959	0.103254	0.353672	0.404021
a34	0.00308623	0.00361821	0.00661829	0.0102996	0.027036	0.0744114	0.0944116	0.305427	0.475092
a21	0.0022121	0.00263675	0.00515203	0.00867954	0.0256033	0.0719914	0.0907461	0.271978	0.521001
a85	0.00211788	0.00221737	0.00359432	0.00545052	0.0158899	0.0474901	0.0761412	0.23915	0.607949
a92	0.000828933	0.00111446	0.0027897	0.00634207	0.0212568	0.0685785	0.0992572	0.272957	0.526875
a37	0.00112644	0.00145972	0.00281222	0.00523002	0.016356	0.0553624	0.0859485	0.283506	0.548199
a54	0.00177005	0.00207261	0.00401811	0.00605835	0.0166049	0.0505651	0.06603	0.214874	0.638007
a36	0.00159816	0.00200698	0.00368836	0.00628608	0.015447	0.0375712	0.0501076	0.195473	0.687821
a2	0.00184237	0.00226901	0.00419133	0.0063158	0.0101137	0.0185957	0.0231552	0.104154	0.829363
a26	0.0333907	0.0296211	0.0340963	0.0372647	0.0400057	0.0496252	0.0562867	0.152923	0.566787
a94	0.135863	0.073109	0.0625726	0.0599502	0.0559677	0.066155	0.0818952	0.16172	0.302767
a96	0.0199746	0.0139444	0.0153668	0.0177033	0.0167247	0.0230285	0.0328193	0.133459	0.726979
a18	0.00227961	0.0021609	0.00264539	0.00331023	0.00427663	0.00942071	0.0150745	0.108248	0.852584
a25	0.0109886	0.0102078	0.0122241	0.0162653	0.0186418	0.0302799	0.0477112	0.180741	0.67294
a82	0.0444923	0.0300048	0.0280861	0.032925	0.0388093	0.0573588	0.0803894	0.180548	0.507387
a87	0.128275	0.0638409	0.0496965	0.0476337	0.0568665	0.0808139	0.0915507	0.165715	0.315608
a23	0.226343	0.116383	0.079463	0.0580834	0.0549293	0.0646134	0.0638994	0.114397	0.221888
a87	0.123949	0.0656248	0.0614536	0.0587437	0.0699533	0.0819007	0.115536	0.147569	0.27527
</S>	0.0561837	0.0448258	0.0550529	0.0543406	0.0627023	0.0830576	0.12875	0.130633	0.384454
