 	accroche	le	sac	sur	cette	pointe	</S>
a66	0.369454	0.285641	0.149136	0.0947935	0.055837	0.0269301	0.018209
a10	0.208175	0.176854	0.172396	0.147446	0.107702	0.0916249	0.0958025
a54	0.271964	0.211374	0.154038	0.104985	0.0892857	0.0795251	0.0888287
a44	0.335086	0.231114	0.127595	0.0727819	0.0616078	0.076198	0.0956174
a98	0.358387	0.318378	0.156875	0.0471537	0.0286818	0.0403898	0.0501347
a41	0.272799	0.281027	0.227018	0.0822967	0.0417135	0.042747	0.0523998
a5	0.203549	0.262989	0.268254	0.111034	0.0520222	0.0453316	0.0568203
a0	0.234292	0.251418	0.248836	0.096342	0.0523402	0.0502083	0.0665637
a75	0.201497	0.207792	0.268233	0.133147	0.0714333	0.0541171	0.0637818
a85	0.151606	0.1695	0.228725	0.156176	0.0948948	0.0846132	0.114484
a36	0.130546	0.12669	0.202576	0.204182	0.111776	0.0909539	0.133277
a85	0.107387	0.0767368	0.131492	0.207082	0.155337	0.130113	0.191851
a37	0.0856329	0.0642109	0.105142	0.228369	0.194698	0.142029	0.179917
a25	0.070928	0.0503767	0.0954998	0.238287	0.222207	0.149044	0.173656
a44	0.0244064	0.0157224	0.0327699	0.150776	0.24894	0.225616	0.30177
a43	0.0231294	0.0164908	0.0293719	0.124285	0.237745	0.241616	0.327362
a75	0.0205512	0.0143493	0.0231886	0.0927603	0.225889	0.277617	0.345644
a5	0.00710126	0.00554835	0.0116277	0.0586353	0.192982	0.318052	0.406053
a21	0.00570582	0.00413795	0.00809653	0.0386865	0.128878	0.298917	0.515579
a92	0.00686893	0.00551744	0.00910353	0.0369348	0.125526	0.319201	0.496849
a37	0.00323702	0.00286804	0.00600763	0.030282	0.113236	0.323826	0.520544
a18	0.0020243	0.00202198	0.0046499	0.0255171	0.0933097	0.280125	0.592352
a71	0.00184843	0.00211657	0.0034513	0.0204839	0.102625	0.28529	0.584184
a57	0.0178542	0.0148051	0.0150903	0.0425518	0.119926	0.242943	0.54683
a9	0.108581	0.0586754	0.0447766	0.0686035	0.128467	0.213965	0.376932
a3	0.218753	0.13384	0.093585	0.0804911	0.120114	0.161862	0.191355
a97	0.145921	0.102545	0.0804559	0.0807709	0.15104	0.206864	0.232402
a9	0.087501	0.0674518	0.0632411	0.100606	0.193519	0.226928	0.260753
a10	0.056105	0.0415891	0.0465787	0.103153	0.2016	0.243631	0.307344
a3	0.0427947	0.035179	0.0433244	0.100556	0.190315	0.24481	0.343021
</S>	0.0665409	0.0513167	0.0649272	0.114026	0.175006	0.215887	0.312296
