 	ma	femme	m'	a	fait	goûter	les	feuilles	de	manioc	qu'	elle	a	préparées	</S>
a66	0.0749021	0.0827318	0.101314	0.0937238	0.0784582	0.0598519	0.0797473	0.115583	0.1109	0.107317	0.0602854	0.0199423	0.00730833	0.00469603	0.00323759
a87	0.216261	0.183598	0.180339	0.140282	0.0762091	0.044103	0.0234639	0.0218179	0.0216954	0.0188258	0.0135812	0.0112368	0.0157498	0.0209051	0.0119318
a23	0.247297	0.212115	0.139235	0.106547	0.0766671	0.047804	0.0306821	0.0274176	0.0258129	0.0232167	0.0167389	0.0118661	0.0103058	0.0127706	0.011524
a54	0.22548	0.144324	0.075844	0.0644605	0.0550141	0.0512672	0.0354748	0.0291543	0.0332044	0.0323262	0.034661	0.0350372	0.0535732	0.0693756	0.060803
a37	0.06764	0.0560581	0.0689611	0.0913512	0.0961947	0.104206	0.0779871	0.081543	0.0763889	0.0924349	0.0760314	0.0427916	0.0317339	0.0212272	0.0154512
a43	0.0737124	0.0786626	0.128039	0.16519	0.206054	0.101216	0.0555408	0.0459629	0.035995	0.036611	0.0193787	0.0154995	0.0179559	0.0127296	0.0074525
a75	0.0690879	0.068439	0.0980782	0.159005	0.200476	0.119764	0.0639785	0.0525248	0.0441163	0.046613	0.0273796	0.0177872	0.0163046	0.00935614	0.00708998
a37	0.0531086	0.0585215	0.101284	0.179258	0.226155	0.114057	0.0579019	0.0505701	0.0430043	0.045913	0.0253522	0.0154469	0.0135865	0.00887311	0.00696732
a98	0.0523961	0.0546569	0.0829292	0.154376	0.214564	0.150947	0.0884687	0.0616745	0.047337	0.0358825	0.0179457	0.00929037	0.0086967	0.00973506	0.0110992
a92	0.0235274	0.0270228	0.0583476	0.109655	0.176624	0.137643	0.100987	0.0857766	0.0714798	0.0675428	0.0384517	0.0256596	0.0236323	0.0276129	0.0260372
a37	0.0368303	0.0353972	0.0563052	0.0972404	0.135018	0.118173	0.0956524	0.0798884	0.0747571	0.0799435	0.0552513	0.0356757	0.0292713	0.0353192	0.0352766
a56	0.0293631	0.0252183	0.0383148	0.0605855	0.0907891	0.12469	0.150126	0.12087	0.10964	0.0951139	0.0544171	0.0271089	0.0218953	0.0247077	0.027161
a43	0.0129045	0.0124378	0.0203106	0.0326269	0.053782	0.101616	0.161616	0.148566	0.135321	0.113477	0.0619441	0.0297424	0.0254554	0.0390229	0.0511768
a62	0.0136792	0.0143222	0.0211314	0.0297476	0.0405843	0.0719345	0.141193	0.147863	0.15184	0.136754	0.085644	0.0344767	0.0218606	0.0336085	0.055361
a75	0.00843998	0.00821414	0.0117125	0.0169015	0.0235541	0.0445177	0.116849	0.141052	0.162326	0.154292	0.112434	0.0555917	0.0307348	0.0450196	0.0683608
a85	0.00345047	0.00298546	0.00415542	0.00648431	0.0106542	0.0238617	0.0520358	0.0701091	0.0933806	0.12271	0.125212	0.121692	0.0822138	0.122967	0.158089
a21	0.00309484	0.00253198	0.00331798	0.0051399	0.0092087	0.0223648	0.0503674	0.0720513	0.0959704	0.125071	0.139696	0.142612	0.0851609	0.103831	0.139582
a85	0.00342534	0.00288667	0.0037081	0.00535811	0.00799702	0.0153289	0.0367989	0.0490301	0.0632919	0.0830482	0.110901	0.1679	0.106643	0.153637	0.190046
a47	0.00485408	0.00335948	0.00414259	0.00603876	0.0113609	0.0180345	0.0298297	0.0372742	0.0443445	0.0547258	0.0756606	0.122393	0.097948	0.173523	0.316511
a37	0.00125773	0.00083112	0.000982541	0.00141757	0.00234038	0.00574739	0.013404	0.0200413	0.0235457	0.0310021	0.0460912	0.108628	0.13491	0.232945	0.376856
a47	0.00107805	0.000699994	0.000721159	0.000902154	0.00131249	0.00294909	0.00702741	0.00988415	0.0105604	0.0115562	0.0160689	0.038264	0.0829746	0.264888	0.551113
a85	0.00151974	0.000997973	0.00107274	0.00122962	0.00167018	0.00371179	0.00891057	0.0126031	0.0114789	0.00973215	0.0104724	0.0262261	0.0537688	0.242481	0.614125
a37	0.000390809	0.000245433	0.000286127	0.000328821	0.00041761	0.001106	0.00279767	0.0047206	0.00529796	0.00593824	0.0099255	0.0338336	0.0535647	0.235897	0.64525
a34	0.00114417	0.000791614	0.000896954	0.000883241	0.000934968	0.00168367	0.00338721	0.00567143	0.00700256	0.00742489	0.0143461	0.0406287	0.0613703	0.252104	0.60173
a44	0.000985608	0.000656795	0.000713352	0.000844262	0.00102221	0.00191591	0.0038096	0.00580512	0.00719813	0.00766208	0.0162485	0.0598806	0.0898713	0.243309	0.560077
a57	0.00159546	0.00119168	0.00151232	0.00173245	0.00199768	0.00360486	0.00601663	0.00854152	0.00990704	0.00937602	0.0168572	0.0508022	0.069649	0.236611	0.580605
a82	0.00475154	0.00435987	0.00531045	0.00483615	0.00379241	0.00418449	0.00559394	0.00949257	0.0105396	0.0121186	0.0184297	0.0405703	0.0514557	0.182491	0.642074
a87	0.124985	0.0873021	0.0736778	0.0583054	0.0468804	0.0430639	0.0412937	0.0539367	0.0486411	0.042132	0.0370795	0.0329659	0.0337197	0.0725879	0.20343
