 	les	hérissons	et	les	oiseaux	se	nourrissent	des	arachides	tardives	</S>
a84	0.195008	0.165491	0.197027	0.177361	0.123903	0.0544561	0.0180175	0.0169916	0.0168638	0.0194127	0.015469
a87	0.291094	0.154138	0.142259	0.102092	0.073507	0.0473138	0.0301069	0.027654	0.0324382	0.0513096	0.0480875
a23	0.456304	0.144235	0.134503	0.093824	0.0474016	0.0227568	0.012848	0.0131885	0.0164589	0.0229403	0.0355398
a40	0.326371	0.0747968	0.0755697	0.0569011	0.039837	0.0313746	0.0413458	0.0712292	0.0915507	0.0805377	0.110486
a7	0.108312	0.0996853	0.117571	0.142155	0.162702	0.108534	0.0535089	0.0576581	0.0610048	0.0505101	0.0383588
a44	0.127979	0.169837	0.178564	0.207754	0.179166	0.0640747	0.0256222	0.0169701	0.0105209	0.00885261	0.0106597
a75	0.117077	0.135821	0.129688	0.186681	0.189092	0.0907053	0.0505645	0.034641	0.0243856	0.0196357	0.0217089
a92	0.0633334	0.0916931	0.0901699	0.154532	0.196262	0.157807	0.0883942	0.0520682	0.0359196	0.035943	0.0338776
a98	0.0689622	0.105238	0.105869	0.169908	0.197866	0.137046	0.0677042	0.0413764	0.0326326	0.0363544	0.0370436
a85	0.057094	0.110798	0.110002	0.169574	0.188226	0.12925	0.0652288	0.0461095	0.0403151	0.0402959	0.0431067
a37	0.0535493	0.104748	0.0970941	0.143313	0.173607	0.133924	0.0707271	0.0510134	0.0512873	0.0609963	0.0597412
a56	0.121916	0.143789	0.138715	0.153649	0.153928	0.096542	0.0478932	0.0414386	0.0350758	0.0351617	0.031892
a43	0.0927313	0.133898	0.122396	0.137099	0.137425	0.091748	0.052825	0.0605312	0.0615787	0.0611441	0.0486231
a11	0.0346862	0.0652652	0.057649	0.0718986	0.105362	0.135296	0.0985597	0.10555	0.100704	0.103807	0.121222
a98	0.0250543	0.0402802	0.035449	0.0330253	0.044436	0.092035	0.125007	0.166911	0.146429	0.146753	0.144619
a47	0.00854706	0.0143536	0.0118054	0.0123726	0.01927	0.0500642	0.0898146	0.168241	0.21323	0.218884	0.193417
a6	0.00234224	0.00449915	0.00361832	0.00362425	0.00627176	0.0237813	0.0637899	0.184188	0.281225	0.213604	0.213056
a75	0.00224676	0.00486621	0.00392405	0.00426011	0.00769649	0.0256938	0.0601428	0.15286	0.241567	0.257887	0.238855
a85	0.00128336	0.00258781	0.00204244	0.00201891	0.00338995	0.013563	0.0395754	0.132204	0.25478	0.27216	0.276395
a92	0.000657972	0.00126121	0.00102004	0.00114099	0.00210697	0.00930923	0.0311118	0.105722	0.229429	0.273714	0.344527
a61	0.00084604	0.00143019	0.00108412	0.00107736	0.00195597	0.00957308	0.0292621	0.103422	0.221276	0.26894	0.361133
a96	0.000972839	0.0015092	0.00111951	0.00102728	0.0015839	0.00717801	0.0225934	0.0893775	0.219265	0.258702	0.396671
a18	0.000472233	0.000792668	0.000639304	0.000597811	0.000971536	0.00437091	0.0157732	0.0592676	0.171324	0.290486	0.455305
a94	0.00056624	0.00102096	0.00104949	0.00126243	0.00183123	0.0045008	0.0108028	0.0260193	0.108632	0.393885	0.45043
a70	0.000359286	0.000729118	0.000786804	0.000954793	0.00165389	0.00525447	0.0120698	0.0263073	0.0967645	0.385053	0.470067
a4	0.000100377	0.000204878	0.000208046	0.000275344	0.000623865	0.00298406	0.00859475	0.0202016	0.0771352	0.337742	0.55193
a53	0.00015333	0.00032183	0.000281552	0.000329934	0.000689165	0.00301001	0.00765251	0.0166813	0.05547	0.293538	0.621872
a7	0.000156008	0.000291106	0.00022433	0.000224234	0.000430081	0.00198323	0.00634526	0.0136987	0.0505133	0.277512	0.648621
a84	0.00022674	0.000437503	0.00039144	0.000432752	0.000947471	0.00482112	0.0134383	0.0299841	0.0995442	0.318243	0.531533
a57	0.0141287	0.0201469	0.0179931	0.0200352	0.021663	0.0376388	0.0635326	0.0977839	0.169996	0.232878	0.304204
a87	0.109586	0.0929735	0.0996176	0.0902304	0.0529835	0.0420009	0.0440386	0.0596738	0.0923388	0.144924	0.171633
a23	0.109806	0.100214	0.0961004	0.0784578	0.0546308	0.0464786	0.0397641	0.0505055	0.0854449	0.16202	0.176578
a87	0.0228291	0.0179289	0.00944207	0.00800547	0.00698246	0.0083498	0.0120345	0.0178359	0.0545526	0.192122	0.649917
a97	0.00481601	0.00369036	0.00254803	0.00261648	0.00222501	0.00348961	0.00736822	0.0180555	0.0600971	0.185879	0.709215
</S>	0.0149335	0.0119641	0.0105792	0.0113564	0.0109381	0.0168745	0.027191	0.0532308	0.123496	0.27234	0.447096
