 	il	accélère	sa	course	</S>
a23	0.202396	0.197382	0.241691	0.16817	0.190361
a30	0.163542	0.227701	0.271182	0.186438	0.151137
a90	0.122051	0.218538	0.291853	0.211894	0.155664
a20	0.230063	0.275472	0.276423	0.135361	0.0826823
a14	0.278443	0.288945	0.283554	0.108348	0.0407093
a35	0.356684	0.274102	0.223767	0.099139	0.0463079
a26	0.356575	0.243973	0.207125	0.122642	0.0696854
a25	0.307548	0.21036	0.194042	0.155765	0.132286
a38	0.177177	0.15427	0.17399	0.215749	0.278814
a24	0.150749	0.130282	0.155381	0.231434	0.332155
a41	0.090374	0.0947502	0.122914	0.252366	0.439597
a66	0.0267281	0.0284408	0.0602658	0.246989	0.637577
a25	0.0154748	0.0153203	0.030313	0.168804	0.770088
a10	0.0123875	0.0120803	0.0246494	0.166867	0.784015
a11	0.0168666	0.0203505	0.0409949	0.202741	0.719047
a24	0.0358547	0.0340048	0.0433213	0.19447	0.692349
a41	0.0330632	0.0335738	0.038505	0.173269	0.721589
a35	0.0102097	0.013759	0.019662	0.118983	0.837387
a83	0.0110756	0.0129973	0.0170983	0.109289	0.849539
a9	0.0182384	0.0222779	0.0306255	0.147346	0.781512
a87	0.0581446	0.0535087	0.0484177	0.150006	0.689923
</S>	0.0540972	0.0544255	0.0587813	0.1681	0.664596
