 	donne-moi	encore	de	l'	eau	</S>
a87	0.488508	0.21409	0.106961	0.0692961	0.0602635	0.0608823
a99	0.168462	0.119353	0.160929	0.195569	0.171173	0.184513
a75	0.323115	0.181722	0.146132	0.123845	0.110155	0.115031
a98	0.435148	0.245199	0.123263	0.0736608	0.0569161	0.0658125
a44	0.492505	0.263502	0.112407	0.0585753	0.0358272	0.0371843
a84	0.42042	0.29581	0.127102	0.0655421	0.0447728	0.0463524
a75	0.161143	0.199774	0.156768	0.14056	0.145028	0.196727
a5	0.323067	0.20444	0.117978	0.103228	0.107293	0.143994
a85	0.190945	0.148825	0.115452	0.133394	0.165995	0.245389
a35	0.119971	0.112221	0.104692	0.144788	0.198284	0.320044
a98	0.0919236	0.0913801	0.0973358	0.147556	0.212971	0.358834
a47	0.0282145	0.0372688	0.0579894	0.132833	0.251259	0.492435
a36	0.0225386	0.0299466	0.051342	0.126828	0.263303	0.506042
a2	0.0295693	0.0431866	0.0705657	0.133572	0.247095	0.476011
a57	0.0154699	0.0210809	0.0392096	0.103557	0.251983	0.5687
a87	0.0604812	0.0462541	0.0622061	0.110651	0.216171	0.504237
a23	0.124602	0.0998895	0.107075	0.133051	0.203439	0.331944
a87	0.142296	0.116279	0.137695	0.155447	0.17626	0.272023
</S>	0.0294131	0.0312325	0.0604527	0.133999	0.262739	0.482163
