 	ils	ont	souffert	pour	labourer	ce	champ	de	manioc	</S>
a66	0.319634	0.258294	0.129106	0.0678982	0.0396049	0.0407883	0.0429454	0.0371168	0.0332401	0.0313726
a87	0.217496	0.121247	0.0675805	0.0493301	0.0497453	0.0804108	0.0963469	0.108531	0.101096	0.108216
a10	0.258005	0.105033	0.0596066	0.0409579	0.0667911	0.0778969	0.0842369	0.104363	0.101646	0.101464
a87	0.216511	0.0909872	0.0520817	0.0429548	0.101186	0.110189	0.100792	0.106562	0.0920782	0.0866586
a97	0.178744	0.0849629	0.0499469	0.0464912	0.122262	0.13002	0.107264	0.10633	0.0908045	0.0831745
a54	0.143362	0.0837804	0.0538274	0.058405	0.1524	0.131442	0.100902	0.10375	0.0880021	0.0841295
a98	0.208186	0.15837	0.100274	0.0450796	0.0468827	0.049018	0.0542114	0.0936552	0.107733	0.13659
a47	0.284713	0.219245	0.164392	0.0829833	0.0431796	0.0274662	0.0281954	0.0391447	0.0498362	0.060845
a15	0.202277	0.181217	0.177458	0.103335	0.0571663	0.0377223	0.0385042	0.0501999	0.0670991	0.0850221
a79	0.208383	0.201081	0.224523	0.148401	0.0748158	0.0267625	0.0201359	0.0228471	0.0316139	0.0414372
a44	0.212708	0.204992	0.230378	0.156688	0.0791596	0.0266007	0.0172123	0.0170469	0.0229825	0.0322327
a34	0.15403	0.150372	0.189977	0.174286	0.12135	0.0569992	0.0393905	0.0324286	0.0365653	0.0446029
a96	0.110998	0.108989	0.132185	0.153479	0.118214	0.0894517	0.0773378	0.0635905	0.0683161	0.0774397
a70	0.0571208	0.0606518	0.0790508	0.123898	0.119309	0.118642	0.115611	0.0972605	0.106301	0.122155
a62	0.0275112	0.0336078	0.0519279	0.117845	0.126725	0.128962	0.125366	0.108293	0.125588	0.154173
a0	0.0169965	0.0195447	0.0283074	0.0753081	0.0894419	0.124622	0.156254	0.133276	0.163665	0.192584
a75	0.0102713	0.0129568	0.0200466	0.0582016	0.0760333	0.128667	0.176475	0.147142	0.173488	0.196718
a85	0.00531675	0.00719085	0.0129756	0.0356914	0.045906	0.0764951	0.130854	0.167652	0.239259	0.27866
a37	0.00737509	0.011913	0.0241816	0.0589804	0.064109	0.082723	0.112471	0.138927	0.212688	0.286632
a44	0.00209	0.00318643	0.00583233	0.0184167	0.0343759	0.0784485	0.144595	0.180077	0.249627	0.28335
a4	0.00281543	0.00388909	0.00673403	0.0176564	0.0308702	0.0695533	0.134819	0.182606	0.255481	0.295575
a13	0.00162202	0.00244966	0.00418381	0.00976997	0.0177225	0.0510432	0.116583	0.196374	0.286846	0.313406
a50	0.000539051	0.000841079	0.00150056	0.00299379	0.00746665	0.0390057	0.099203	0.182739	0.291324	0.374386
a88	0.000881921	0.00130719	0.00211498	0.00390209	0.0100682	0.0558833	0.139013	0.204967	0.27083	0.311032
a71	0.0002841	0.000479344	0.000870521	0.00157043	0.00449548	0.0345012	0.0893067	0.165642	0.299004	0.403847
a53	0.00400013	0.00526188	0.00774709	0.00958999	0.0150246	0.0548995	0.121124	0.177249	0.267555	0.337548
a69	0.000374709	0.000619217	0.00117662	0.00205924	0.00407636	0.0220189	0.0524138	0.116299	0.280053	0.520909
a90	0.000197187	0.000274821	0.000478061	0.000888651	0.00215462	0.0138879	0.0407602	0.0992374	0.286026	0.556095
a96	0.000470091	0.000623423	0.00100285	0.00163594	0.00338886	0.0190999	0.0470769	0.103136	0.271479	0.552087
a83	0.00116306	0.00172633	0.00250732	0.00424418	0.00830296	0.0377963	0.0810664	0.135242	0.265857	0.462095
a9	0.00099067	0.00129473	0.00188118	0.00306191	0.00541485	0.0233583	0.0596627	0.121589	0.279502	0.503244
a10	0.00387979	0.00333902	0.00356942	0.00494467	0.00731213	0.0323974	0.0937435	0.171444	0.271208	0.408162
a97	0.0212285	0.0106811	0.00732065	0.00893258	0.0175931	0.0596217	0.139929	0.197691	0.241427	0.295576
a10	0.0425054	0.0233199	0.0144306	0.0156683	0.0246844	0.0520718	0.106744	0.158104	0.245021	0.31745
a97	0.022936	0.01431	0.010814	0.0130431	0.0217238	0.0458221	0.0977381	0.164749	0.269715	0.339149
a87	0.0192637	0.0147031	0.0138282	0.0175937	0.0248314	0.0470615	0.101017	0.173194	0.264084	0.324423
a97	0.0178114	0.0145278	0.0145687	0.0182286	0.0249493	0.0492364	0.105399	0.176948	0.260044	0.318288
</S>	0.0128569	0.0105659	0.0120373	0.0172402	0.0244698	0.0605087	0.116499	0.181706	0.253984	0.310132
