 	le	poulailler	est	fermé	</S>
a66	0.443626	0.301993	0.141984	0.0684215	0.0439754
a87	0.418155	0.278148	0.154596	0.0867558	0.0623452
a23	0.585826	0.255549	0.0833936	0.0363071	0.0389235
a87	0.50311	0.251517	0.107393	0.0695923	0.0683876
a23	0.471308	0.261401	0.115976	0.0754698	0.0758454
a83	0.428575	0.236298	0.109159	0.101747	0.124221
a21	0.428088	0.218699	0.112575	0.123185	0.117454
a85	0.497529	0.273002	0.111871	0.064711	0.0528871
a6	0.296767	0.257713	0.195632	0.138319	0.111569
a5	0.268126	0.233461	0.192812	0.165118	0.140483
a56	0.279255	0.24711	0.196289	0.144054	0.133291
a43	0.259981	0.228209	0.191375	0.156439	0.163995
a75	0.189355	0.1807	0.187038	0.187424	0.255483
a5	0.0825243	0.144953	0.22125	0.260527	0.290746
a21	0.157169	0.210911	0.225249	0.194565	0.212106
a5	0.0883772	0.169666	0.259182	0.230724	0.252051
a85	0.0394484	0.0906706	0.244889	0.289315	0.335677
a5	0.0150522	0.0357453	0.143065	0.287291	0.518846
a12	0.0209886	0.0437181	0.159666	0.32334	0.452288
a98	0.0125192	0.0271004	0.116507	0.330066	0.513808
a15	0.0032148	0.00922429	0.0602047	0.276604	0.650752
a36	0.00276683	0.00640324	0.040199	0.250699	0.699932
a85	0.014171	0.0191653	0.0596976	0.23056	0.676406
a92	0.00431739	0.00913616	0.0490901	0.260223	0.677234
a37	0.00224059	0.00517525	0.0331853	0.250869	0.70853
a61	0.00626539	0.0121761	0.0521049	0.262922	0.666532
a96	0.0111128	0.0228361	0.0738435	0.264743	0.627465
a7	0.0149306	0.0288492	0.0824334	0.261436	0.612351
a26	0.0319458	0.0497552	0.101213	0.266195	0.550891
a2	0.0856204	0.0919219	0.130076	0.229136	0.463245
a57	0.224407	0.165518	0.155363	0.17248	0.282233
a87	0.273517	0.175083	0.151037	0.166808	0.233555
a23	0.197686	0.147725	0.165889	0.203206	0.285494
a2	0.119985	0.106291	0.160386	0.239294	0.374044
a26	0.0923191	0.111619	0.189497	0.232794	0.37377
</S>	0.111784	0.12309	0.184581	0.222557	0.357989
