 	la	chenille	s'	est	métamorphosée	</S>
a66	0.498754	0.199366	0.0801242	0.084124	0.0889439	0.048688
a87	0.411	0.237339	0.153865	0.116546	0.0569008	0.0243503
a23	0.446617	0.302203	0.150626	0.0522916	0.0288354	0.0194277
a87	0.406181	0.308866	0.155827	0.0601199	0.0386299	0.0303772
a23	0.438495	0.30979	0.150295	0.0577513	0.0205419	0.0231258
a62	0.408819	0.254716	0.14216	0.0733127	0.0680628	0.0529295
a21	0.283009	0.238437	0.197202	0.110321	0.109871	0.06116
a12	0.155384	0.25083	0.311206	0.164351	0.0863568	0.0318721
a18	0.0919938	0.184257	0.325096	0.236246	0.119986	0.0424207
a90	0.0614235	0.134133	0.300916	0.299544	0.155829	0.0481537
a56	0.0516463	0.115639	0.28847	0.332796	0.16107	0.0503785
a75	0.0593615	0.102141	0.221038	0.286298	0.254263	0.0768984
a12	0.0677928	0.096582	0.17099	0.22635	0.2758	0.162485
a47	0.0387102	0.0387207	0.067835	0.15209	0.372446	0.330198
a31	0.0424212	0.0344416	0.0504441	0.114169	0.369237	0.389287
a75	0.00812434	0.00610863	0.00946192	0.0408751	0.306647	0.628783
a56	0.00229368	0.00178866	0.0030931	0.0168509	0.185805	0.790169
a75	0.00101792	0.000694592	0.00115354	0.00671963	0.0812022	0.909212
a43	0.000260261	0.000212828	0.000467023	0.00292102	0.0418772	0.954262
a56	0.000438801	0.000275391	0.000565973	0.00343444	0.0570173	0.938268
a96	0.00161785	0.000821266	0.00114997	0.00373479	0.0415221	0.951154
a54	0.00248673	0.00171798	0.00280011	0.00938566	0.0767306	0.906879
a7	0.000867823	0.000632161	0.00125448	0.00501784	0.0664451	0.925783
a84	0.0032076	0.0029091	0.00512993	0.0139774	0.102362	0.872414
a87	0.251521	0.12159	0.0973102	0.0914829	0.121806	0.31629
a23	0.467536	0.204739	0.0981876	0.0607821	0.0713158	0.0974394
a87	0.219956	0.108259	0.0602251	0.0480432	0.129296	0.434221
</S>	0.0238493	0.0150257	0.0144214	0.0201171	0.125617	0.80097
