 	ma	soeur	m'	a	offert	un	gros	paquet	de	feuilles	de	manioc	</S>
a66	0.224466	0.170192	0.113951	0.103413	0.0953696	0.0945811	0.0880515	0.0544046	0.0272873	0.0117898	0.00603355	0.0051229	0.00533763
a87	0.336404	0.188247	0.11894	0.0734797	0.0605163	0.0561804	0.0581655	0.0412808	0.0210535	0.0110177	0.00977104	0.0113297	0.0136151
a23	0.203394	0.143984	0.162418	0.126816	0.0971614	0.103779	0.0784453	0.0302554	0.0124985	0.00738275	0.0079027	0.0106042	0.0153586
a30	0.156221	0.106751	0.141007	0.109344	0.103599	0.133687	0.0907249	0.0317929	0.0181672	0.0172753	0.0226079	0.0305934	0.0382294
a93	0.152573	0.116804	0.153529	0.122314	0.0894835	0.104232	0.0646536	0.023116	0.0180828	0.0212791	0.0308925	0.0452735	0.0577679
a56	0.264969	0.181365	0.170694	0.123893	0.0729361	0.0719433	0.0454573	0.0165197	0.0112228	0.0104365	0.0095919	0.0100136	0.0109569
a25	0.181938	0.164917	0.182185	0.147925	0.0950906	0.0895686	0.0647014	0.0228388	0.01412	0.0103428	0.00864295	0.00845023	0.00928019
a15	0.110712	0.1283	0.148773	0.149426	0.109854	0.103741	0.092776	0.0470892	0.028127	0.0203419	0.0171908	0.0189433	0.0247261
a98	0.0576668	0.0852037	0.115241	0.126348	0.111858	0.123348	0.100712	0.0602134	0.0543849	0.0433667	0.0358802	0.0382993	0.0474771
a85	0.0516815	0.0887372	0.113362	0.129214	0.113936	0.123831	0.10189	0.0675361	0.062619	0.0444375	0.0320825	0.032301	0.0383725
a92	0.0486734	0.0823164	0.112258	0.130606	0.123782	0.138413	0.117177	0.0832783	0.0633098	0.0343331	0.0214583	0.0206604	0.0237331
a5	0.0534646	0.0799086	0.0959377	0.115898	0.124339	0.142355	0.128987	0.102673	0.0647881	0.0318144	0.019913	0.0187387	0.021183
a21	0.0340235	0.0567855	0.0729639	0.107565	0.137974	0.15716	0.155246	0.125862	0.0698087	0.0269103	0.0174371	0.0176184	0.0206448
a5	0.0184235	0.0295873	0.0400002	0.069614	0.116102	0.138969	0.160789	0.183747	0.112739	0.0456437	0.0274672	0.0263733	0.0305453
a21	0.0117619	0.0168562	0.0227483	0.0386581	0.0714387	0.098839	0.147761	0.216405	0.142395	0.0680226	0.0509054	0.0525662	0.0616427
a12	0.0146736	0.0169007	0.0179369	0.0260985	0.0464272	0.0646222	0.105614	0.222145	0.194469	0.0976637	0.0642032	0.0603596	0.068887
a62	0.02742	0.0315473	0.0308896	0.0415194	0.0690315	0.0953601	0.122627	0.167551	0.152134	0.0823651	0.0535358	0.0550911	0.0709279
a21	0.0318225	0.0369878	0.0375429	0.0529112	0.0807997	0.100386	0.0982636	0.093631	0.0904222	0.0716978	0.0702794	0.0896477	0.145608
a85	0.00952579	0.0108389	0.0102279	0.0140063	0.0244862	0.034385	0.0495323	0.0987373	0.160425	0.181832	0.140292	0.126144	0.139567
a5	0.00880289	0.00841625	0.00749055	0.0106373	0.0183249	0.0255854	0.0289513	0.0546375	0.106738	0.152943	0.159283	0.1811	0.237089
a6	0.0218576	0.0231271	0.0197358	0.030194	0.0470522	0.0605975	0.0587107	0.0601349	0.0620616	0.0793151	0.105203	0.159321	0.272689
a36	0.010887	0.0100657	0.00815049	0.0123301	0.0223582	0.0327987	0.0334236	0.046876	0.0557691	0.0802051	0.116581	0.194937	0.375618
a2	0.0346065	0.029059	0.0239033	0.0260907	0.0317517	0.0353474	0.0265677	0.0243707	0.0276628	0.0428766	0.0916522	0.206974	0.399137
a57	0.0499239	0.0423751	0.0375341	0.0400131	0.0508726	0.0479987	0.0320026	0.0321643	0.0418156	0.0588367	0.101714	0.179183	0.285566
a87	0.0788319	0.0512632	0.0448978	0.0504801	0.0584041	0.0529751	0.0478386	0.058341	0.0634328	0.0642725	0.0859338	0.135554	0.207775
a23	0.178013	0.109349	0.0748434	0.0714865	0.0660806	0.0528318	0.0491024	0.049766	0.0539685	0.0570521	0.0599151	0.0757413	0.10185
a99	0.0522101	0.0299062	0.0221038	0.0214808	0.0205443	0.0180709	0.0196612	0.0366356	0.0594095	0.101094	0.167886	0.210346	0.240651
a97	0.0236727	0.0185876	0.0168066	0.0199923	0.0209532	0.0211944	0.0280019	0.0505681	0.0851103	0.11096	0.164931	0.206886	0.232336
</S>	0.00464553	0.00422046	0.00372164	0.00542853	0.00712458	0.00857101	0.0112295	0.0283194	0.0464866	0.0802364	0.152022	0.265941	0.382053
