 	j'	ai	coupé	une	branche	de	l'	arbre	otsotsolo	pour	en	faire	un	balai	</S>
a66	0.0723228	0.0532136	0.0576558	0.124416	0.117555	0.120947	0.125001	0.149247	0.112933	0.0237523	0.0156507	0.00912607	0.00653666	0.00592046	0.00572168
a87	0.299476	0.231524	0.126275	0.0694504	0.0344829	0.0478815	0.0470456	0.0398033	0.0320781	0.0209999	0.0126413	0.0103153	0.00985547	0.00931953	0.00885137
a23	0.263614	0.194997	0.135398	0.089321	0.0460813	0.0583193	0.0584887	0.0379418	0.0309484	0.0290093	0.0168758	0.0119021	0.00891414	0.00873623	0.00945218
a99	0.168548	0.145167	0.147448	0.068995	0.0351648	0.0441626	0.045714	0.0580474	0.0602285	0.0616256	0.0391703	0.033358	0.0301004	0.0301325	0.0321381
a61	0.138445	0.0998814	0.0897283	0.049289	0.0415629	0.0529497	0.0626012	0.0563575	0.0751394	0.0803823	0.0490815	0.0436621	0.0482077	0.0542096	0.0585028
a5	0.212485	0.177703	0.20068	0.122805	0.0344677	0.0210376	0.016237	0.0139359	0.0269484	0.0332899	0.0264705	0.029191	0.0298199	0.0284361	0.0264931
a18	0.185772	0.223738	0.233584	0.140743	0.0499011	0.0246965	0.0145915	0.0116431	0.0217541	0.0189035	0.0146106	0.0167171	0.0165256	0.0140213	0.0127986
a34	0.108333	0.155348	0.236276	0.187748	0.103248	0.0480054	0.0255989	0.0173135	0.02556	0.0169628	0.0131064	0.0168306	0.0169676	0.014585	0.0141152
a12	0.0629509	0.109157	0.218603	0.180827	0.120335	0.0613668	0.0377743	0.035096	0.0625246	0.029313	0.0198428	0.0190216	0.0164142	0.0139963	0.0127768
a18	0.0509739	0.0833667	0.200581	0.173478	0.120741	0.0650142	0.0441654	0.0465105	0.0847925	0.0362775	0.0246161	0.0208566	0.0175272	0.0160471	0.0150523
a75	0.0365496	0.0477257	0.126858	0.145948	0.139315	0.0889654	0.0648823	0.0737706	0.121344	0.0432995	0.0292998	0.0240549	0.0198411	0.0189217	0.0192237
a6	0.0263608	0.037448	0.128869	0.154125	0.111132	0.0704061	0.0544117	0.0595735	0.0877833	0.0586891	0.0431333	0.04072	0.0388335	0.0424824	0.0460318
a79	0.0320588	0.0362875	0.0979532	0.15784	0.134264	0.086814	0.0625938	0.060422	0.0782159	0.0558572	0.042369	0.0379838	0.036054	0.0379408	0.0433453
a44	0.0304792	0.0295503	0.0660484	0.130713	0.140791	0.10493	0.0806844	0.0844609	0.0955563	0.0613057	0.044682	0.0348722	0.0305467	0.0306459	0.034733
a93	0.0148849	0.0110511	0.0288661	0.0714691	0.0949321	0.0985872	0.107293	0.168882	0.183976	0.0732289	0.0502159	0.0290738	0.0214009	0.0218682	0.0242709
a70	0.0162971	0.0119988	0.0272258	0.0624475	0.0888781	0.0997944	0.112083	0.169238	0.173939	0.0738754	0.0517389	0.0339002	0.0260304	0.0253862	0.0271671
a13	0.00781294	0.00574801	0.0126821	0.0320678	0.0706972	0.0964718	0.123053	0.183393	0.216369	0.088614	0.0573443	0.0342347	0.0238184	0.0225858	0.025108
a38	0.00528134	0.00366739	0.0063918	0.0214647	0.062787	0.0980026	0.150941	0.204485	0.246132	0.0784773	0.0409191	0.0213939	0.0159936	0.0185705	0.0254922
a70	0.00348173	0.00204202	0.00309133	0.0126066	0.0415524	0.0745549	0.118684	0.187074	0.238123	0.0937867	0.0528802	0.033354	0.0309937	0.0435329	0.0642432
a13	0.00404638	0.00223038	0.00323647	0.0110096	0.0325192	0.0605789	0.0998654	0.158565	0.20683	0.101907	0.0629061	0.0449488	0.0440475	0.0653069	0.102002
a38	0.00585228	0.00313983	0.00392966	0.0128934	0.0357617	0.0612468	0.0963767	0.15466	0.196056	0.0970919	0.0569793	0.0423327	0.0453735	0.0723399	0.115966
a70	0.00240591	0.00118955	0.00137617	0.00533338	0.0194461	0.0352278	0.0554475	0.0870323	0.125758	0.0993768	0.0677624	0.0687905	0.0871694	0.137314	0.20637
a50	0.00184702	0.00090289	0.00120566	0.00411928	0.0132313	0.0246886	0.0398245	0.0580747	0.0997221	0.09703	0.0714259	0.0785668	0.106872	0.166063	0.236426
a88	0.00190093	0.000881517	0.0010869	0.00320446	0.00953544	0.0187284	0.0287	0.0428832	0.0735678	0.0922848	0.0712739	0.0868746	0.120838	0.185085	0.263155
a93	0.00162765	0.00075293	0.000851687	0.00241797	0.00753577	0.0128515	0.0197492	0.0269259	0.0543184	0.0825289	0.0746479	0.0997252	0.138399	0.203585	0.274083
a4	0.000866956	0.000414546	0.000501772	0.00190316	0.00731742	0.0166252	0.0261975	0.040204	0.0627867	0.0895339	0.0756651	0.096808	0.129614	0.192606	0.258955
a90	0.000659866	0.000304309	0.000420357	0.00171581	0.0069208	0.0150312	0.0244488	0.0329901	0.0542847	0.0779478	0.064122	0.0879667	0.133125	0.210385	0.289677
a56	0.0010759	0.000583914	0.0009134	0.00313601	0.0106877	0.0201285	0.0300564	0.0478242	0.0595463	0.0910516	0.0762294	0.100244	0.132488	0.182531	0.243503
a92	0.000551816	0.000274257	0.000424098	0.00186572	0.00659555	0.0144239	0.0217331	0.0341475	0.0481462	0.085052	0.071609	0.0990605	0.140394	0.20676	0.268962
a44	0.000670582	0.000398955	0.000692665	0.00259866	0.00886315	0.0171737	0.0225643	0.0357087	0.050528	0.0864287	0.0722579	0.0960331	0.132616	0.195594	0.277871
a4	0.000371558	0.00019599	0.000340308	0.00160819	0.00566887	0.0113805	0.0169512	0.0249072	0.0371331	0.0650008	0.0546982	0.0818769	0.140363	0.236783	0.322722
a54	0.000303476	0.000153977	0.000229315	0.0010452	0.00330001	0.00647544	0.00977475	0.0124206	0.0202018	0.0437013	0.0425308	0.0796287	0.158949	0.269628	0.351658
a79	0.000443766	0.000261049	0.000457092	0.00150951	0.00606271	0.0115175	0.015036	0.0152415	0.0244895	0.0492049	0.0386509	0.0619249	0.135328	0.25151	0.388363
a44	0.000393465	0.000245104	0.000376739	0.0010482	0.00427615	0.00914307	0.0124517	0.0149994	0.0224384	0.0531951	0.0409027	0.0641499	0.12812	0.243854	0.404406
a36	0.000217575	0.000118482	0.00015804	0.000622571	0.00189793	0.00369868	0.00537941	0.004963	0.00647815	0.0194786	0.0184236	0.0463526	0.127813	0.287386	0.477013
a37	0.00035465	0.000231607	0.000319286	0.000718546	0.00238459	0.0043589	0.0065133	0.00400983	0.00509593	0.0196191	0.0174539	0.0456336	0.1304	0.289993	0.472913
a26	0.000519659	0.00032902	0.000363501	0.000827275	0.00267323	0.00462775	0.00651459	0.00396896	0.00485833	0.0207503	0.0186567	0.0495449	0.134986	0.289346	0.462034
a18	0.00151743	0.00094739	0.00119655	0.00248552	0.0055597	0.00877382	0.0127458	0.00850508	0.00875198	0.0318831	0.0297049	0.0725941	0.158746	0.287394	0.369194
a71	0.00296303	0.00167221	0.00180322	0.00293439	0.00602559	0.00902961	0.0120535	0.00885128	0.00877946	0.0385563	0.0341441	0.0838312	0.163575	0.280413	0.345368
a25	0.00296127	0.00170273	0.0016691	0.00247749	0.00486258	0.00757109	0.0114719	0.010268	0.0107426	0.0386166	0.0351741	0.0746636	0.146937	0.284281	0.366601
