 	il	se	cure	ses	dents	</S>
a66	0.486936	0.364606	0.100766	0.0219156	0.011453	0.0143232
a87	0.43709	0.305468	0.125819	0.0542734	0.037953	0.039397
a23	0.636817	0.255881	0.0601253	0.0201541	0.0147831	0.0122394
a79	0.371803	0.305227	0.157609	0.0631679	0.0533404	0.0488526
a20	0.320376	0.251021	0.215919	0.0983254	0.066712	0.0476469
a69	0.236932	0.309549	0.280155	0.091068	0.0483503	0.0339458
a53	0.128076	0.246767	0.336648	0.162483	0.0857144	0.0403115
a79	0.115063	0.161985	0.279865	0.217583	0.141774	0.0837304
a15	0.128015	0.196768	0.307756	0.173064	0.12357	0.0708281
a47	0.148479	0.209392	0.254576	0.157346	0.14454	0.0856658
a0	0.0464642	0.0521298	0.0697708	0.146254	0.350863	0.334518
a90	0.0236914	0.0269863	0.0533938	0.128807	0.36488	0.402241
a25	0.033756	0.0324415	0.0626675	0.123346	0.324303	0.423486
a90	0.00892466	0.0106561	0.0316953	0.127168	0.352042	0.469514
a56	0.010302	0.0109342	0.0238536	0.0938181	0.333095	0.527997
a96	0.00693101	0.00633741	0.0120078	0.0523231	0.280341	0.64206
a18	0.00505517	0.00467455	0.00900999	0.0401763	0.237251	0.703833
a27	0.0100262	0.0112674	0.0212334	0.0587805	0.200899	0.697793
a30	0.294095	0.218186	0.146554	0.0951914	0.109438	0.136535
a87	0.448378	0.273418	0.100481	0.0545388	0.0560536	0.067131
a23	0.417549	0.261499	0.0991516	0.0622731	0.079291	0.0802364
a87	0.270067	0.176447	0.0798581	0.0831224	0.179799	0.210706
</S>	0.0479992	0.0386173	0.0491896	0.139734	0.327231	0.397229
