 	l'	air	est	froid	</S>
a87	0.252903	0.318648	0.200989	0.11842	0.10904
a10	0.260659	0.205143	0.170681	0.200498	0.163019
a57	0.26843	0.23029	0.180775	0.166481	0.154023
a87	0.309023	0.25938	0.198152	0.132783	0.100662
a23	0.326886	0.254677	0.193148	0.128979	0.09631
a76	0.26099	0.275415	0.208894	0.140986	0.113715
a90	0.35206	0.34153	0.168454	0.0803401	0.057616
a84	0.333633	0.352621	0.203627	0.0691133	0.0410062
a38	0.191466	0.280218	0.264552	0.1524	0.111364
a41	0.225757	0.314842	0.267197	0.118903	0.0733006
a32	0.357861	0.292623	0.195356	0.0969872	0.0571732
a25	0.291383	0.267119	0.203963	0.141234	0.0963005
a38	0.219615	0.246727	0.25318	0.16304	0.117437
a76	0.156835	0.219427	0.260667	0.208561	0.15451
a90	0.181706	0.204966	0.221384	0.212804	0.179141
a38	0.155453	0.172984	0.202038	0.235435	0.23409
a26	0.0439048	0.073861	0.138609	0.292472	0.451153
a35	0.0269952	0.0520246	0.104865	0.273472	0.542643
a14	0.0193157	0.0285693	0.0632135	0.239145	0.649757
a44	0.0192199	0.022565	0.0511326	0.229441	0.677642
a57	0.00980337	0.0151235	0.0361731	0.219188	0.719712
a38	0.0160055	0.0183958	0.0483537	0.231864	0.685381
a0	0.0122414	0.0152616	0.0315937	0.196305	0.744598
a26	0.0121865	0.0143215	0.0312368	0.188689	0.753567
a41	0.0149593	0.0173204	0.0321573	0.181878	0.753685
a35	0.0127779	0.0178594	0.0345444	0.184823	0.749996
a66	0.0176847	0.0230596	0.041978	0.196357	0.720921
a24	0.054318	0.0519325	0.0768436	0.234612	0.582294
a9	0.0622886	0.0466278	0.0650347	0.251881	0.574168
a10	0.113628	0.0843679	0.0857869	0.230578	0.485639
a87	0.104604	0.0895872	0.102728	0.250614	0.452467
</S>	0.0414142	0.0403906	0.0711261	0.256648	0.590421
