 	il	m'	a	acheté	la	robe	et	les	chaussures	</S>
a87	0.136188	0.0975133	0.086044	0.112398	0.213995	0.193237	0.0728757	0.0429367	0.0261207	0.0186912
a97	0.167461	0.103518	0.0803933	0.0731864	0.0729009	0.117374	0.0921907	0.0880736	0.0950018	0.109901
a3	0.190708	0.14816	0.110997	0.103538	0.119043	0.115825	0.0526915	0.0505415	0.0486311	0.0598648
a10	0.23766	0.220608	0.151362	0.110565	0.0883895	0.0727323	0.0326946	0.0351698	0.0274822	0.0233357
a3	0.209866	0.21098	0.142132	0.104133	0.0821906	0.0610798	0.0417189	0.0543879	0.0511592	0.0423523
a53	0.203792	0.2142	0.145216	0.102524	0.08506	0.0641598	0.0424789	0.0517755	0.0482814	0.0425124
a90	0.293503	0.208834	0.139648	0.103952	0.0655912	0.0325558	0.0222886	0.0284979	0.0426473	0.0624825
a25	0.273542	0.24034	0.190756	0.142069	0.0837281	0.0248971	0.0109616	0.00944379	0.00959274	0.0146693
a56	0.204071	0.200478	0.196537	0.179139	0.134703	0.0410387	0.0138841	0.00958368	0.00870684	0.0118597
a32	0.159112	0.173409	0.20592	0.193352	0.151931	0.0460953	0.0191202	0.0144929	0.0139397	0.0226289
a75	0.120379	0.129023	0.179702	0.205616	0.19564	0.0650989	0.026181	0.0198271	0.0215912	0.0369415
a96	0.140133	0.141745	0.18187	0.198962	0.177876	0.0626404	0.0294932	0.0185395	0.0181475	0.0305946
a61	0.106837	0.119499	0.180928	0.213043	0.215023	0.075482	0.0273582	0.0171539	0.0172931	0.0273835
a75	0.106654	0.116209	0.179048	0.208033	0.2163	0.0881845	0.0328774	0.018443	0.0147885	0.0194627
a96	0.0982351	0.0946393	0.137166	0.191794	0.192807	0.0814242	0.0577416	0.0463262	0.0430369	0.0568298
a25	0.0654889	0.0717971	0.115968	0.179653	0.256147	0.148464	0.0623763	0.0348222	0.0287897	0.0364953
a90	0.0339909	0.0391384	0.068687	0.131474	0.207012	0.186773	0.115029	0.0700944	0.0622569	0.0855442
a82	0.0490857	0.0486651	0.0720653	0.108602	0.13533	0.100479	0.0976964	0.0817744	0.106064	0.200238
a75	0.0316153	0.0367438	0.0567402	0.092139	0.119347	0.130207	0.112712	0.079951	0.111631	0.228914
a85	0.0396494	0.0374735	0.0531937	0.0761309	0.0946579	0.0962523	0.117908	0.111364	0.142876	0.230495
a37	0.0420533	0.0341469	0.0423007	0.0603694	0.0716316	0.0939507	0.139912	0.119936	0.154376	0.241323
a85	0.0226648	0.0233694	0.0343404	0.0472112	0.053927	0.0870541	0.154299	0.125601	0.156073	0.29546
a18	0.0250267	0.0215444	0.0271064	0.0350849	0.0397056	0.0649222	0.136105	0.135385	0.19041	0.32471
a75	0.0096667	0.00995169	0.0148209	0.022015	0.0202868	0.0323159	0.103537	0.13814	0.208077	0.44119
a85	0.0192851	0.0171278	0.0237024	0.0294072	0.0279277	0.046566	0.1258	0.138641	0.211678	0.359865
a15	0.0156699	0.0113579	0.0138498	0.0185465	0.0183599	0.0367706	0.11738	0.147767	0.233154	0.387144
a56	0.00796318	0.00668566	0.00988107	0.0151536	0.0182449	0.0385471	0.119963	0.153604	0.23185	0.398108
a96	0.00907846	0.00798835	0.0116099	0.0156063	0.0162744	0.0392709	0.136114	0.170944	0.231532	0.361581
a21	0.00336241	0.00346604	0.00577778	0.00872047	0.00964187	0.0213726	0.0734345	0.127658	0.255974	0.490592
a92	0.00983923	0.00970969	0.0141922	0.0173814	0.0181917	0.0382746	0.106774	0.159727	0.268376	0.357536
a98	0.00414407	0.0046569	0.00828795	0.0124267	0.012916	0.0213777	0.0739831	0.149335	0.293661	0.419212
a44	0.00760793	0.00705933	0.0098942	0.0134355	0.016239	0.02772	0.084575	0.162813	0.304817	0.365839
a84	0.00183305	0.00193935	0.00346536	0.00569969	0.00588547	0.013141	0.0582663	0.112589	0.273543	0.523638
a57	0.000531594	0.000473566	0.000722964	0.000891572	0.000643247	0.00115213	0.00853533	0.0365086	0.20614	0.744401
a53	0.00437168	0.00293103	0.00306615	0.00313688	0.00265037	0.00552943	0.0346358	0.114058	0.290265	0.539356
a13	0.000143708	0.000117351	0.000173517	0.000229258	0.000223055	0.000652189	0.00522771	0.0303985	0.232334	0.730501
a9	0.000163565	0.000141423	0.000222531	0.00033103	0.000304275	0.000837874	0.00747757	0.0387373	0.228123	0.723661
a87	0.00391456	0.00277789	0.00338443	0.00353644	0.00374327	0.00737101	0.0371127	0.111812	0.293062	0.533285
a23	0.0831873	0.0484119	0.0450141	0.0331957	0.0226839	0.0313256	0.0852864	0.167765	0.224102	0.259028
a97	0.0433686	0.0245965	0.0246493	0.020197	0.0147864	0.0260019	0.0898264	0.170016	0.249432	0.337125
a87	0.0231285	0.0146899	0.0159052	0.0157392	0.0132248	0.0252107	0.0712231	0.132476	0.233507	0.454896
</S>	0.040033	0.0245956	0.0254848	0.0260227	0.0212272	0.031972	0.0760645	0.126237	0.209693	0.41867
