 	l'	enfant	n'	a	pas	pu	faire	un	plongeon	car	il	a	peur	de	l'	eau	</S>
a66	0.114133	0.0677382	0.0581676	0.0585061	0.0666092	0.0879757	0.0914223	0.0897567	0.0968219	0.0806486	0.0479219	0.0419812	0.0379055	0.0222685	0.0148612	0.0125163	0.0107659
a87	0.0814048	0.0570282	0.0454303	0.0449072	0.0624894	0.0674189	0.0742042	0.0755581	0.0777612	0.0539695	0.0447482	0.0370914	0.0412132	0.0410512	0.0522362	0.066544	0.0769441
a23	0.232137	0.125044	0.0798421	0.0682962	0.0624225	0.0475341	0.0481293	0.0452301	0.0368184	0.0281003	0.0208492	0.0258145	0.029923	0.0296448	0.0318373	0.0389893	0.0493888
a53	0.137157	0.0902972	0.0820615	0.0833364	0.0751029	0.0637031	0.0564945	0.0489743	0.0383539	0.0380998	0.0323751	0.0425633	0.0526577	0.0456467	0.0380585	0.035103	0.0400151
a54	0.199994	0.119894	0.0804638	0.0591569	0.0442683	0.0503106	0.0365018	0.0255988	0.0203352	0.0219677	0.0211825	0.0327793	0.045667	0.0564009	0.0633796	0.0626741	0.0594258
a6	0.211162	0.168044	0.11321	0.064206	0.0412502	0.0486059	0.0380066	0.0254987	0.0195623	0.021284	0.0198513	0.0276692	0.0334261	0.0374058	0.0421343	0.0471122	0.0415712
a37	0.108526	0.115764	0.101854	0.0722991	0.06081	0.0753836	0.0655261	0.0459964	0.0365116	0.0318563	0.0318994	0.0367994	0.0360876	0.0389932	0.0415506	0.0493599	0.0507833
a6	0.114412	0.126693	0.120943	0.0983952	0.0810608	0.0909646	0.0782328	0.0536664	0.0362458	0.0269445	0.0276719	0.0318807	0.0269929	0.0237341	0.0208186	0.0203931	0.0209505
a26	0.11731	0.117838	0.110973	0.0948396	0.0793883	0.0877025	0.0801635	0.0606361	0.0462036	0.035091	0.0279822	0.025806	0.0202399	0.0172146	0.0186602	0.0255946	0.034356
a76	0.0839587	0.102475	0.131987	0.130754	0.108754	0.105604	0.0857885	0.0573462	0.0413187	0.0262518	0.0232396	0.0201298	0.0145355	0.0122148	0.0127116	0.0169287	0.0260029
a79	0.0851872	0.117532	0.127969	0.123151	0.0969959	0.0874121	0.0757704	0.0602413	0.0512054	0.0354095	0.0255427	0.0192763	0.0149447	0.0123661	0.01432	0.0212194	0.031457
a44	0.0476135	0.0710685	0.101803	0.117038	0.109773	0.112017	0.102584	0.0811934	0.0697606	0.0405305	0.0292603	0.0213717	0.0146962	0.0117467	0.0144583	0.0213961	0.0336903
a98	0.0349768	0.0460201	0.0747198	0.101575	0.114541	0.133184	0.128858	0.104128	0.0854606	0.0428293	0.0275288	0.0197524	0.0126334	0.0102989	0.0127477	0.0190202	0.0317259
a44	0.0255062	0.0366938	0.0611154	0.0886459	0.102115	0.115254	0.112796	0.09664	0.0949241	0.0547406	0.0428881	0.031355	0.0217996	0.0164764	0.01982	0.0296095	0.0496205
a38	0.0149936	0.0179412	0.0323443	0.0586443	0.0914767	0.124818	0.14084	0.128675	0.122326	0.0610912	0.0391706	0.0268403	0.0168823	0.0135684	0.0191926	0.0319058	0.0592906
a75	0.0126252	0.0137904	0.0220982	0.0394291	0.068108	0.105247	0.133454	0.133488	0.146668	0.0701007	0.0480797	0.0333442	0.0220196	0.0171241	0.023344	0.0389262	0.0721546
a14	0.0140438	0.0159518	0.0230039	0.0368159	0.0568642	0.0876977	0.114712	0.113757	0.127673	0.0690737	0.0606358	0.0485844	0.0396679	0.0313752	0.0337609	0.046894	0.0794892
a44	0.00998629	0.0112195	0.0176465	0.0278558	0.0451649	0.0731183	0.111364	0.125977	0.159841	0.0855428	0.067961	0.047728	0.0347495	0.0239855	0.0277497	0.0442412	0.0858689
a26	0.00710317	0.00684446	0.0101627	0.0179266	0.0320967	0.0576095	0.101551	0.129816	0.168338	0.0869593	0.066617	0.0473205	0.0337591	0.0247777	0.0352529	0.0596816	0.114184
a75	0.0051692	0.00453194	0.0053059	0.00869652	0.0170707	0.0390974	0.099728	0.162851	0.212266	0.12626	0.0902881	0.0562283	0.0350693	0.0188924	0.0212317	0.0329629	0.0643509
a5	0.0141229	0.0139755	0.0166981	0.0228095	0.028657	0.0466793	0.0840377	0.107546	0.142484	0.0740017	0.0680486	0.053584	0.0498506	0.0417703	0.0484459	0.0660751	0.121214
a37	0.0106154	0.00993119	0.0142624	0.0237047	0.0334451	0.0537409	0.0981044	0.131838	0.166453	0.0790794	0.0638827	0.0478908	0.0418167	0.0321436	0.0367699	0.0549247	0.101396
