 	les	enfants	ont	cueilli	cinq	paniers	de	fruits	atobhi	</S>
a66	0.170298	0.16062	0.163504	0.125827	0.117016	0.106666	0.0695162	0.0425084	0.0260968	0.0179472
a87	0.307792	0.148451	0.0915469	0.0453309	0.0543527	0.0964954	0.10593	0.0664891	0.0523565	0.0312561
a23	0.330361	0.18154	0.117183	0.0636071	0.0590833	0.0677869	0.0590619	0.0391176	0.036959	0.0453008
a99	0.268089	0.167815	0.138486	0.0924107	0.0807689	0.0724948	0.0536296	0.0361492	0.0318391	0.0583178
a97	0.217818	0.148451	0.106518	0.069278	0.0814819	0.0780477	0.0746432	0.0564521	0.062112	0.105198
a87	0.239119	0.173078	0.137978	0.0764814	0.0860802	0.0700425	0.0733759	0.0527496	0.0461178	0.0449778
a97	0.230869	0.155106	0.144659	0.0946184	0.095146	0.0737556	0.0764529	0.0533924	0.0409103	0.03509
a87	0.234095	0.176965	0.164693	0.109627	0.0862658	0.059446	0.0577699	0.043686	0.0336013	0.03385
a99	0.23452	0.174283	0.162439	0.113199	0.0805033	0.0535455	0.0572872	0.0470319	0.0385885	0.0386028
a54	0.247441	0.172966	0.141169	0.0933996	0.0808197	0.0540477	0.0684025	0.0546669	0.0456039	0.0414842
a6	0.356102	0.232763	0.125044	0.0718234	0.0513655	0.0298314	0.0291346	0.0293795	0.0270373	0.0475195
a37	0.205956	0.159885	0.130977	0.1244	0.114649	0.0815071	0.0543515	0.0446035	0.0332791	0.0503915
a6	0.172069	0.152121	0.130045	0.151415	0.134267	0.11435	0.0610555	0.0352181	0.0211907	0.0282679
a36	0.141971	0.135925	0.123862	0.156264	0.139722	0.118231	0.0677349	0.0408155	0.0258329	0.0496427
a75	0.126029	0.12956	0.121756	0.170506	0.141322	0.115861	0.0691419	0.0453353	0.030633	0.0498563
a25	0.138102	0.156739	0.145337	0.182248	0.134664	0.104658	0.0481222	0.0291062	0.0198971	0.0411273
a92	0.0495252	0.0782631	0.104128	0.235524	0.197271	0.150283	0.0653081	0.0393006	0.030068	0.0503289
a56	0.054507	0.0854462	0.120141	0.225587	0.19819	0.152834	0.0583452	0.034208	0.0281463	0.0425959
a62	0.0423848	0.067165	0.108863	0.187338	0.195134	0.172194	0.0850105	0.0517552	0.041769	0.0483868
a96	0.0165601	0.0247347	0.0602745	0.137989	0.218986	0.252143	0.135351	0.0665125	0.0417441	0.0457047
a88	0.0159993	0.0227494	0.0512599	0.121014	0.213301	0.257685	0.147625	0.071725	0.0447746	0.0538659
a71	0.0116607	0.0154939	0.0318198	0.0811995	0.161791	0.236617	0.211192	0.115124	0.0698963	0.0652062
a9	0.0151941	0.0179753	0.0299579	0.0504685	0.179248	0.288484	0.195285	0.112258	0.0727552	0.0383736
a3	0.0180684	0.021998	0.0349607	0.0567577	0.178884	0.267032	0.174346	0.112157	0.0869658	0.0488314
a97	0.0360836	0.0321943	0.0389713	0.0503471	0.144202	0.241726	0.18935	0.119483	0.0916255	0.0560165
a87	0.0548042	0.0403154	0.0391485	0.0426387	0.121703	0.200278	0.177685	0.130595	0.102533	0.090299
a40	0.0934442	0.0711977	0.0745852	0.0637046	0.0898095	0.117802	0.142731	0.137586	0.116999	0.0921414
a6	0.033147	0.0316312	0.0362389	0.0320758	0.0545585	0.0559401	0.10934	0.133973	0.172618	0.340478
a36	0.0315852	0.0367381	0.0469528	0.0485418	0.0782122	0.0733506	0.114926	0.120361	0.120308	0.329024
a26	0.0146452	0.0176743	0.0228134	0.028985	0.0545746	0.0644553	0.116835	0.132168	0.148787	0.399062
a93	0.00965479	0.010472	0.0166104	0.024005	0.0679377	0.0914117	0.143459	0.155306	0.158607	0.322536
a70	0.00981463	0.0116146	0.0170334	0.0204836	0.037043	0.0481429	0.104492	0.138648	0.166147	0.44658
a96	0.00979077	0.0107756	0.015837	0.0241494	0.0378982	0.0508447	0.102998	0.137297	0.163065	0.447345
a93	0.00567728	0.00647462	0.0111951	0.0210216	0.0406156	0.0602046	0.124461	0.160307	0.190316	0.379727
a56	0.00364273	0.0043235	0.00889285	0.0166349	0.0437424	0.0703506	0.129421	0.148485	0.179221	0.395287
a75	0.00406343	0.00459564	0.0076821	0.0144637	0.0297572	0.044334	0.0962258	0.126575	0.182346	0.489957
a21	0.00173086	0.00248293	0.00512197	0.0107938	0.0287927	0.0390458	0.0895085	0.125741	0.21526	0.481522
a12	0.00126399	0.0016483	0.00287892	0.00658456	0.0163955	0.0248748	0.0597547	0.100594	0.203397	0.582607
a18	0.000900291	0.00112129	0.00185938	0.00462742	0.0124124	0.0188665	0.0496035	0.0900078	0.187197	0.633405
a75	0.00284219	0.00294034	0.00425595	0.00932654	0.0304311	0.0472398	0.0729371	0.117941	0.249067	0.46302
a47	0.000900951	0.00104231	0.00146004	0.00307906	0.0084651	0.0107709	0.0309034	0.0602409	0.188755	0.694383
a6	0.000448657	0.000589592	0.000959072	0.00282582	0.00995568	0.0133714	0.0365512	0.0635268	0.170455	0.701316
a36	0.00143493	0.00150583	0.00161314	0.00294188	0.00800213	0.0113325	0.0331526	0.0594695	0.165264	0.715283
a26	0.0097003	0.00830738	0.00770043	0.012554	0.02677	0.032771	0.0492949	0.0884196	0.224683	0.539799
a57	0.0418905	0.036702	0.0332713	0.0532315	0.0588724	0.0476269	0.068654	0.11893	0.246951	0.29387
a87	0.0660034	0.050034	0.0439911	0.0532845	0.0463431	0.040557	0.0840942	0.146514	0.227531	0.241648
a23	0.0838527	0.0469613	0.0404792	0.0314877	0.0353814	0.038389	0.116698	0.164651	0.200426	0.241673
a97	0.0341206	0.0223358	0.0223814	0.0174964	0.0141951	0.01261	0.074672	0.138424	0.221145	0.44262
a87	0.0537109	0.0352379	0.0316771	0.025661	0.0291749	0.029244	0.0709595	0.0859569	0.12342	0.514958
a23	0.128095	0.0811797	0.0666194	0.0330036	0.0365286	0.0389375	0.0876483	0.0967075	0.112503	0.318777
a99	0.0551863	0.0409773	0.0403707	0.024169	0.0206495	0.0177742	0.0773033	0.111725	0.176679	0.435165
a10	0.0630758	0.0561367	0.0561079	0.0419994	0.0317052	0.0259708	0.0829934	0.109268	0.159437	0.373306
</S>	0.0457367	0.0413096	0.039768	0.0291499	0.0195817	0.0165847	0.05534	0.0861925	0.152266	0.514071
