 	le	chasseur	allume	le	feu	avec	le	briquet	indigène	</S>
a66	0.172771	0.133887	0.130048	0.134877	0.156987	0.125337	0.0788408	0.0322889	0.0191212	0.0158433
a87	0.215337	0.136833	0.132319	0.117733	0.128701	0.112476	0.072958	0.0365365	0.0261554	0.0209504
a23	0.285946	0.208556	0.146632	0.118531	0.0986878	0.0621868	0.0289709	0.019092	0.0159106	0.0154873
a87	0.334795	0.294528	0.1299	0.0781133	0.0548489	0.0264077	0.017375	0.0219516	0.0196942	0.0223863
a23	0.322802	0.323269	0.13304	0.0810498	0.0532219	0.028915	0.0190234	0.015499	0.0117267	0.011453
a30	0.29069	0.280064	0.139294	0.0759078	0.0630546	0.0393715	0.0282102	0.0307295	0.0239013	0.0287767
a4	0.228107	0.276011	0.186717	0.110295	0.0719605	0.0446734	0.0258918	0.0232486	0.0172256	0.0158702
a13	0.30481	0.286758	0.171627	0.0752712	0.0441453	0.035593	0.0293597	0.0250611	0.0156011	0.0117733
a75	0.279906	0.27982	0.150983	0.0793608	0.0513353	0.0470141	0.0379617	0.0377503	0.0209496	0.0149182
a47	0.208667	0.204748	0.139146	0.0895106	0.0703273	0.0730396	0.0741912	0.0690768	0.0409061	0.030387
a61	0.120413	0.141192	0.118199	0.0953365	0.075542	0.0937009	0.121708	0.105269	0.0690584	0.0595812
a93	0.177083	0.188476	0.142701	0.12646	0.0968868	0.0806301	0.0639121	0.0508898	0.0377863	0.0351754
a44	0.147283	0.156043	0.14382	0.158651	0.117603	0.0820839	0.0618046	0.0510679	0.0414685	0.0401745
a90	0.110962	0.119878	0.129657	0.155264	0.124735	0.0819052	0.0684996	0.0732383	0.0669467	0.0689133
a98	0.0792576	0.0904482	0.116183	0.15348	0.129166	0.0871151	0.0749369	0.0852708	0.0837628	0.100379
a47	0.0337479	0.038425	0.0660504	0.108468	0.111944	0.106363	0.114824	0.125592	0.126219	0.168366
a0	0.0302749	0.040611	0.0872737	0.139668	0.110956	0.0789689	0.0777391	0.106013	0.128236	0.200259
a56	0.0297873	0.0360442	0.0799067	0.136302	0.101346	0.0555928	0.0510772	0.0892249	0.143756	0.276963
a98	0.02404	0.0271141	0.0543671	0.114337	0.136695	0.0992192	0.0963916	0.116842	0.125726	0.205268
a92	0.00962959	0.0118665	0.0292682	0.0640958	0.0701298	0.0579128	0.0761792	0.141661	0.18929	0.349967
a21	0.00733301	0.008325	0.0206243	0.0457055	0.0559337	0.0517832	0.0787491	0.158781	0.204131	0.368635
a5	0.00407866	0.00415386	0.00739133	0.0130975	0.0171016	0.0207525	0.0496936	0.172247	0.260673	0.450812
a21	0.00404606	0.00429297	0.00823902	0.015027	0.019378	0.0206176	0.0474432	0.165417	0.253306	0.462233
a43	0.0021558	0.00206643	0.00375027	0.00662433	0.00883093	0.0101663	0.0295802	0.143128	0.265036	0.528662
a47	0.000998323	0.000961185	0.00168792	0.00341107	0.00492029	0.00637429	0.0146854	0.0847872	0.248406	0.633769
a62	0.0026962	0.00321836	0.00552088	0.0084408	0.0109567	0.0193588	0.0315924	0.0894551	0.206721	0.62204
a88	0.000496471	0.000584318	0.000957578	0.00192139	0.00351087	0.0063841	0.0164626	0.102342	0.271339	0.596001
a71	0.000635091	0.000678131	0.00142478	0.00295555	0.00536066	0.0117142	0.0228085	0.104502	0.242633	0.607289
a10	0.00970337	0.00862813	0.019372	0.0293122	0.0372695	0.0602685	0.0619794	0.104037	0.183249	0.486181
a87	0.0838019	0.0500003	0.0914924	0.100999	0.0983262	0.0924278	0.069612	0.0654896	0.103049	0.244802
a23	0.163498	0.109202	0.129707	0.112665	0.103365	0.0812096	0.0557719	0.054246	0.0756672	0.114669
a87	0.0976156	0.046631	0.0492079	0.0476787	0.0428431	0.0334228	0.0267762	0.0580693	0.164034	0.433722
a23	0.00990858	0.00502415	0.00609787	0.00803676	0.0103396	0.01266	0.0214344	0.0818347	0.23847	0.606194
a97	0.0244154	0.012745	0.0161565	0.02017	0.0221643	0.0239856	0.0272985	0.0779025	0.241236	0.533926
</S>	0.0299145	0.0164075	0.0240393	0.0360676	0.0459476	0.0416968	0.0380719	0.0848794	0.208863	0.474112
