 	les	gens	ont	envahi	ma	parcelle	</S>
a84	0.386073	0.24918	0.127224	0.0986467	0.0684299	0.0435633	0.0268831
a87	0.279091	0.174643	0.138049	0.145619	0.12061	0.0873826	0.054604
a23	0.232665	0.171174	0.140409	0.169919	0.103198	0.099187	0.0834484
a54	0.261385	0.19522	0.164391	0.179875	0.0792844	0.0611212	0.0587247
a47	0.350476	0.292221	0.158191	0.104802	0.0418617	0.0280775	0.0243708
a85	0.213585	0.25291	0.198343	0.174478	0.0739084	0.0477314	0.0390444
a6	0.164097	0.214681	0.219111	0.209618	0.101079	0.052451	0.0389636
a37	0.183001	0.227978	0.207504	0.182466	0.0985564	0.0572394	0.0432555
a27	0.200291	0.231938	0.200093	0.176194	0.093862	0.0554316	0.0421901
a61	0.0924591	0.111333	0.129146	0.154503	0.156933	0.176328	0.179297
a75	0.140152	0.167459	0.173627	0.190054	0.141979	0.102759	0.0839714
a5	0.0535049	0.0820037	0.140899	0.187732	0.219039	0.177763	0.139058
a12	0.0631685	0.0813648	0.116079	0.156822	0.218646	0.200528	0.163391
a96	0.0227601	0.0314404	0.0567448	0.0877434	0.175002	0.297992	0.328317
a98	0.0125661	0.0166356	0.0336924	0.0602915	0.141536	0.316999	0.418279
a47	0.00290942	0.00378789	0.0100689	0.0218056	0.0914348	0.31269	0.557304
a37	0.00118198	0.00125847	0.00318832	0.0076245	0.043168	0.2379	0.705679
a47	0.00237804	0.0018838	0.00376873	0.00838138	0.0386775	0.227481	0.71743
a36	0.00224632	0.00200277	0.00430033	0.00890193	0.0430502	0.241523	0.697975
a2	0.0296276	0.0225243	0.0319604	0.0459276	0.102344	0.260852	0.506765
a57	0.0841241	0.0600091	0.0476678	0.0589313	0.0992824	0.19993	0.450056
a97	0.166594	0.106143	0.0746059	0.0884845	0.110213	0.170951	0.283008
a38	0.124051	0.0888249	0.0803384	0.0960184	0.148957	0.216756	0.245054
a3	0.0279858	0.0176979	0.0225695	0.0383306	0.0949339	0.280438	0.518044
a30	0.0192787	0.0154209	0.0254483	0.04817	0.10136	0.264495	0.525827
</S>	0.0197577	0.0165853	0.0252778	0.0433546	0.093371	0.267363	0.534291
