 	nous	pratiquons	la	pêche	au	filet	</S>
a66	0.676697	0.207029	0.0546815	0.0196946	0.0129074	0.0138335	0.015157
a87	0.116047	0.0918568	0.0952898	0.135638	0.167602	0.202475	0.191092
a97	0.149158	0.11921	0.108514	0.161335	0.14172	0.159756	0.160308
a87	0.249463	0.190194	0.157283	0.137072	0.0887218	0.0891455	0.088121
a97	0.290315	0.207309	0.157965	0.119063	0.0777534	0.074725	0.0728696
a62	0.262595	0.186521	0.164135	0.138363	0.0886545	0.0822544	0.0774777
a0	0.560838	0.183602	0.116349	0.0581226	0.0280081	0.0284018	0.0246789
a47	0.472566	0.199836	0.118898	0.0744062	0.0455157	0.0458398	0.0429395
a21	0.347676	0.30138	0.16512	0.0711418	0.0418178	0.0347162	0.0381479
a41	0.38902	0.393079	0.114594	0.0409678	0.0224311	0.0183014	0.0216064
a43	0.188136	0.350135	0.151555	0.0842572	0.0641813	0.0681765	0.0935592
a75	0.0179818	0.0437575	0.0693817	0.118635	0.176411	0.247401	0.326432
a85	0.0105845	0.0311815	0.0664842	0.0968206	0.151006	0.26094	0.382983
a0	0.00173319	0.00586933	0.019731	0.0457379	0.114954	0.304401	0.507573
a61	0.000630436	0.00234453	0.0059728	0.0217313	0.0950749	0.30964	0.564606
a88	0.00134574	0.00716493	0.0166588	0.0414401	0.108667	0.270951	0.553772
a71	0.00108239	0.00415708	0.00608359	0.0203537	0.0896806	0.322079	0.556563
a9	0.00301495	0.00522646	0.0085396	0.0299975	0.105041	0.295541	0.55264
a97	0.0158433	0.0194521	0.0349136	0.0805337	0.156744	0.284256	0.408256
a87	0.0986705	0.0460544	0.0491798	0.0930549	0.153008	0.244981	0.315052
a97	0.13413	0.0684012	0.0463083	0.0875347	0.154014	0.231063	0.278549
a3	0.0809317	0.0602498	0.0438392	0.0774484	0.137267	0.252455	0.347809
a97	0.050002	0.0446284	0.0432334	0.093259	0.157417	0.263532	0.347928
a10	0.0525782	0.043571	0.0467241	0.107973	0.155876	0.261745	0.331532
</S>	0.0442105	0.0387836	0.0415204	0.110462	0.154725	0.254987	0.355312
