 	même	s'	il	pleut	j'	irai	en	forêt	aujourd'	hui	</S>
a66	0.438262	0.209485	0.11023	0.0816287	0.0727225	0.0343088	0.0227827	0.0102577	0.00762657	0.00587444	0.00682167
a87	0.598258	0.25285	0.0764339	0.0269469	0.0188891	0.0101609	0.0061289	0.00254391	0.00232322	0.00238653	0.00307903
a23	0.449396	0.236445	0.111768	0.0635504	0.0469149	0.0419381	0.0200971	0.00784899	0.00619116	0.00668896	0.00916112
a38	0.30181	0.181475	0.128403	0.120918	0.0549227	0.040147	0.027271	0.0191244	0.0234154	0.0378238	0.0646893
a53	0.132248	0.0808597	0.0621275	0.0876662	0.125691	0.132631	0.09937	0.0747459	0.0610848	0.0634796	0.0800956
a15	0.201393	0.182776	0.171194	0.127829	0.123281	0.0899213	0.047015	0.0227298	0.0132034	0.0106114	0.0100469
a79	0.106914	0.15191	0.180828	0.128553	0.13187	0.132976	0.0790319	0.0411825	0.0218609	0.0140377	0.0108366
a90	0.0723101	0.145938	0.212622	0.155644	0.145708	0.124635	0.0560121	0.0330292	0.0207865	0.0171346	0.0161805
a79	0.0511712	0.0918133	0.165702	0.1784	0.156067	0.145434	0.0682338	0.0518874	0.0322006	0.02965	0.0294412
a56	0.0453375	0.0888693	0.17028	0.178222	0.152675	0.134184	0.0709427	0.0559758	0.0352893	0.0334223	0.0348021
a32	0.0387764	0.0467935	0.0870431	0.157036	0.152224	0.166621	0.0896042	0.0804562	0.0602447	0.0604027	0.0607981
a90	0.0207653	0.0223059	0.0390104	0.0932747	0.107418	0.140696	0.132566	0.143241	0.105881	0.0972938	0.0975487
a79	0.0194643	0.0232042	0.0409542	0.0898012	0.0995482	0.122029	0.132199	0.153049	0.116228	0.102076	0.101447
a44	0.0195039	0.0215828	0.0369605	0.0845519	0.0938052	0.108935	0.126562	0.148254	0.123229	0.115134	0.121482
a79	0.0142292	0.0133385	0.0203896	0.0426114	0.0515416	0.0703401	0.129306	0.154293	0.151092	0.161477	0.191381
a94	0.00638684	0.00667526	0.0111029	0.0269377	0.0336712	0.0448795	0.119543	0.164868	0.167999	0.187535	0.230402
a54	0.0046275	0.00477883	0.00738751	0.0150734	0.0167784	0.0241041	0.0799749	0.15316	0.185814	0.229462	0.27884
a6	0.00174946	0.00216588	0.00415937	0.0106287	0.0117136	0.0159572	0.0580828	0.146299	0.177945	0.247471	0.323828
a37	0.000946804	0.0013937	0.00237639	0.00431555	0.00511547	0.00730042	0.0329272	0.123227	0.185485	0.277085	0.359827
a54	0.00076924	0.00101499	0.00153584	0.00259877	0.00307204	0.00511762	0.0226785	0.10271	0.210122	0.307386	0.342995
a7	0.00053639	0.000858693	0.00147296	0.00247005	0.00242678	0.00368733	0.0208598	0.106467	0.221068	0.310566	0.329587
a53	0.000734503	0.00101049	0.00129698	0.00140872	0.00176886	0.00309777	0.0127215	0.0580155	0.161848	0.314083	0.444015
a4	0.000834035	0.00139988	0.00216191	0.00298718	0.00315283	0.00454382	0.0197569	0.0832054	0.224376	0.322551	0.33503
a58	0.000639302	0.000852074	0.00106161	0.00133822	0.00162664	0.00320695	0.0132794	0.0541317	0.182485	0.337132	0.404248
a69	0.000715624	0.000827268	0.00108024	0.00151616	0.00189386	0.00316847	0.0107945	0.0339034	0.117074	0.305249	0.523777
a58	0.00103857	0.00138406	0.00197103	0.00267664	0.00266491	0.00407628	0.0152768	0.0459132	0.139916	0.33077	0.454313
a84	0.00077292	0.000920287	0.00108179	0.00157871	0.00270992	0.00420849	0.0125395	0.0322466	0.109773	0.305963	0.528206
a87	0.0163435	0.0154873	0.0156572	0.0140414	0.0191173	0.018901	0.032371	0.0627771	0.144827	0.271184	0.389293
</S>	0.464069	0.225772	0.106276	0.0349469	0.0253472	0.0180038	0.0196268	0.0223457	0.0272129	0.0278083	0.0285913
