 	les	étangs	de	la	brousse	commencent	à	sécher	</S>
a66	0.425034	0.202476	0.0852802	0.0703334	0.0911436	0.0510461	0.0293529	0.0238907	0.0214428
a57	0.547001	0.193374	0.103894	0.0523172	0.0233178	0.0183383	0.021279	0.019001	0.0214783
a87	0.408361	0.264708	0.152224	0.0768354	0.0278696	0.0134299	0.0134484	0.0174635	0.0256601
a23	0.400935	0.247929	0.154016	0.0780362	0.0269954	0.0162611	0.0166266	0.0231264	0.0360751
a40	0.249632	0.186759	0.135382	0.0981644	0.0450414	0.0448269	0.0608459	0.0763922	0.102956
a6	0.441762	0.233354	0.115929	0.0755693	0.0507278	0.0245743	0.0199509	0.0177596	0.0203735
a36	0.252009	0.304555	0.221948	0.12247	0.0456539	0.0158691	0.0123911	0.0112488	0.0138552
a21	0.226188	0.34641	0.234851	0.113681	0.0354026	0.0138734	0.0105622	0.00963697	0.00939496
a47	0.192405	0.297763	0.238241	0.143464	0.0572939	0.0274893	0.0166717	0.0142333	0.012439
a96	0.186007	0.285123	0.22295	0.15726	0.0704964	0.0276551	0.0178168	0.0173612	0.0153296
a75	0.123932	0.185806	0.24877	0.213322	0.111706	0.0447137	0.0263517	0.0248328	0.0205659
a85	0.0435143	0.0664304	0.148042	0.160165	0.142511	0.152174	0.112705	0.0991415	0.0753172
a6	0.0179986	0.0261427	0.0635772	0.103941	0.135155	0.177769	0.166026	0.165606	0.143784
a37	0.0129549	0.0158228	0.0485854	0.1065	0.149637	0.168748	0.164006	0.179417	0.154329
a98	0.00526621	0.00576111	0.015544	0.0466468	0.0978246	0.162523	0.177571	0.240958	0.247906
a79	0.000816918	0.000928303	0.00353255	0.0116123	0.0394945	0.126602	0.216646	0.322221	0.278146
a44	0.000178206	0.000198783	0.000811713	0.00311104	0.0140478	0.0785442	0.179763	0.352958	0.370387
a54	0.000372726	0.000364603	0.00127084	0.00306491	0.010844	0.0820839	0.163648	0.323893	0.414457
a7	0.000124651	0.000120721	0.000413755	0.000974513	0.00489565	0.0695102	0.181656	0.324538	0.417766
a84	0.000532922	0.000410828	0.000888532	0.00171118	0.0086133	0.0865912	0.195826	0.300091	0.405335
a82	0.0971919	0.0629974	0.0323615	0.0180073	0.0328788	0.072863	0.144174	0.233476	0.30605
a87	0.414776	0.191858	0.074358	0.0320108	0.0331315	0.0532079	0.0652592	0.0650549	0.0703439
a23	0.48401	0.23345	0.0881344	0.0380554	0.0309615	0.033918	0.0365541	0.0288752	0.0260417
a38	0.0452469	0.0271842	0.0299107	0.0272139	0.0518285	0.219011	0.273804	0.195263	0.130538
</S>	0.022049	0.017535	0.0238024	0.0343516	0.0613261	0.135407	0.206139	0.271643	0.227746
