 	c'	est	un	arbuste	</S>
a23	0.509493	0.257158	0.0896961	0.0834214	0.0602316
a87	0.370037	0.22973	0.142249	0.135187	0.122796
a23	0.384134	0.30263	0.173839	0.0874947	0.0519022
a87	0.272912	0.252264	0.185106	0.172717	0.117001
a23	0.357909	0.294792	0.160321	0.12027	0.0667091
a41	0.349373	0.279089	0.161087	0.136155	0.0742957
a18	0.428845	0.314697	0.142234	0.0756376	0.0385867
a24	0.359785	0.302398	0.178317	0.0979752	0.0615243
a41	0.307782	0.274615	0.194624	0.129704	0.0932753
a26	0.209214	0.226744	0.220464	0.188433	0.155145
a20	0.119533	0.132693	0.185371	0.251868	0.310535
a41	0.172574	0.15353	0.198521	0.235793	0.239582
a35	0.110228	0.0996884	0.176162	0.260527	0.353394
a24	0.0878433	0.076211	0.1507	0.260083	0.425163
a32	0.0355337	0.0343078	0.100048	0.262886	0.567225
a71	0.0335665	0.0322029	0.085117	0.247625	0.601489
a38	0.0203675	0.0208815	0.0656142	0.248365	0.644772
a76	0.0148926	0.0175523	0.0658351	0.234728	0.666992
a73	0.0177026	0.0254421	0.082422	0.239074	0.635359
a84	0.0215591	0.0270036	0.0888544	0.244319	0.618264
a57	0.00587801	0.00863927	0.0378837	0.17258	0.775019
a87	0.0879886	0.0666784	0.121293	0.253499	0.470541
</S>	0.0601414	0.0590576	0.129153	0.296983	0.454666
