 	on	m'	a	beaucoup	effrayé	sur	la	route	d'	ekyembe	</S>
a66	0.281119	0.218119	0.185147	0.107824	0.0467481	0.0434661	0.0411752	0.0327393	0.0207798	0.0130408	0.00984107
a87	0.450849	0.26048	0.135729	0.0647614	0.035708	0.0160618	0.0117909	0.0089257	0.00650968	0.00461878	0.00456548
a23	0.360727	0.222471	0.145707	0.0912534	0.0688308	0.0299346	0.0214305	0.0163849	0.0153977	0.0143097	0.0135533
a50	0.189386	0.151822	0.117722	0.133615	0.231552	0.0688689	0.0377106	0.0176922	0.0148074	0.0159441	0.0208799
a62	0.168201	0.164592	0.188387	0.171372	0.185152	0.0481499	0.028335	0.0145039	0.0119512	0.00938759	0.00996857
a31	0.131261	0.174991	0.189984	0.209446	0.197732	0.0549634	0.0233143	0.00795354	0.00535554	0.00283135	0.00216819
a12	0.070415	0.0980901	0.142401	0.216621	0.271059	0.125173	0.0488149	0.0133895	0.00705081	0.0041044	0.00288158
a62	0.0609866	0.0817594	0.119523	0.233442	0.266167	0.144264	0.057279	0.0167034	0.00942063	0.00628302	0.00417211
a47	0.0850002	0.0964561	0.105126	0.176583	0.222069	0.146816	0.086657	0.0338566	0.0203257	0.0159939	0.0111163
a62	0.0417092	0.0537385	0.0829536	0.173628	0.304163	0.156645	0.088808	0.0355172	0.0220905	0.021319	0.0194279
a88	0.0513876	0.065595	0.0882849	0.145423	0.155705	0.177202	0.140239	0.0710875	0.0416811	0.0349527	0.0284422
a98	0.017753	0.0236525	0.0400706	0.0861753	0.127686	0.204041	0.178178	0.104985	0.0749254	0.0766252	0.0659079
a92	0.00999551	0.0159142	0.0312899	0.0669019	0.091415	0.177804	0.172743	0.148974	0.109681	0.0946382	0.0806434
a56	0.0138143	0.0185903	0.0278997	0.0416141	0.0391232	0.125405	0.16213	0.202189	0.148526	0.117272	0.103437
a93	0.012175	0.0181877	0.0266288	0.0367801	0.032905	0.109927	0.144838	0.185949	0.15976	0.147396	0.125454
a13	0.00915377	0.0127763	0.0190429	0.027774	0.0291782	0.0915294	0.126943	0.176069	0.172848	0.17176	0.162927
a93	0.00696652	0.00774478	0.013338	0.0149522	0.0245834	0.0597098	0.109764	0.134612	0.129913	0.155938	0.342478
a56	0.00271062	0.00292563	0.00356673	0.0052195	0.0101491	0.0341399	0.074801	0.149621	0.178552	0.201405	0.33691
a35	0.00160855	0.00175448	0.00199309	0.00259927	0.00513086	0.0206863	0.0502514	0.111709	0.155618	0.200527	0.448122
a11	0.000590085	0.000664803	0.000819177	0.00102719	0.00227245	0.00785201	0.0206328	0.0613087	0.110312	0.172422	0.622099
a62	0.00172067	0.00177319	0.00274611	0.00229861	0.0034069	0.00691866	0.0139641	0.0399152	0.0814775	0.150649	0.69513
a88	0.00132724	0.00160026	0.00212252	0.00266732	0.00432641	0.0131598	0.0240769	0.0600504	0.114429	0.181973	0.594268
a50	0.00146514	0.00182846	0.00244622	0.00297503	0.00475133	0.0144502	0.0257925	0.0598529	0.113843	0.189646	0.582949
a88	0.00203335	0.00224352	0.00323295	0.00404705	0.00786374	0.0228739	0.0322155	0.0632472	0.119622	0.21072	0.531901
a71	0.0034598	0.00359904	0.00578916	0.00564555	0.00813758	0.0226629	0.0343304	0.0736532	0.134148	0.219587	0.488987
a9	0.020838	0.0222955	0.0313745	0.0241066	0.0186799	0.0435857	0.0603508	0.11878	0.16839	0.18377	0.307829
a10	0.0849567	0.0678448	0.0925224	0.0795292	0.0512057	0.0669388	0.0784583	0.115064	0.119167	0.111436	0.132877
a87	0.190968	0.127248	0.129113	0.113784	0.080598	0.0430921	0.0454249	0.0629759	0.0669332	0.0664406	0.0734217
a23	0.173977	0.125625	0.127802	0.112293	0.0923956	0.0356465	0.0449381	0.0597327	0.0700358	0.0752577	0.0822968
a99	0.0525424	0.0315324	0.0258825	0.0225156	0.0134116	0.0210624	0.0361342	0.0637512	0.110223	0.190508	0.432437
a97	0.012367	0.00827441	0.00850585	0.0105798	0.0140743	0.0388344	0.0514203	0.0831733	0.129411	0.203025	0.440334
</S>	0.0122868	0.00722931	0.00833412	0.0103254	0.0142952	0.0223293	0.0271305	0.045743	0.0868436	0.184795	0.580687
