 	ondongo	ment	à	mon	sujet	</S>
a66	0.500801	0.182256	0.0850684	0.076714	0.0773581	0.0778031
a87	0.323769	0.133251	0.114714	0.114873	0.139964	0.173428
a97	0.393398	0.189066	0.116731	0.100342	0.0891392	0.111324
a30	0.424231	0.202305	0.10903	0.0896764	0.0811939	0.0935626
a4	0.452415	0.232775	0.100484	0.0719003	0.0664757	0.0759512
a90	0.623251	0.205464	0.0529636	0.0363619	0.0340201	0.0479397
a79	0.480028	0.188912	0.0926001	0.0668938	0.0660199	0.105546
a93	0.211366	0.168082	0.162416	0.143428	0.133766	0.180943
a4	0.140559	0.134057	0.184569	0.175441	0.162032	0.203341
a90	0.123988	0.123554	0.185809	0.187655	0.175447	0.203546
a98	0.087665	0.12594	0.215677	0.214724	0.179739	0.176255
a47	0.0867336	0.133985	0.188753	0.187243	0.183811	0.219475
a36	0.0297477	0.0514131	0.1109	0.154325	0.262114	0.3915
a15	0.00968365	0.0181617	0.0467276	0.092039	0.27388	0.559508
a25	0.0025582	0.00741135	0.020381	0.0545292	0.271938	0.643182
a79	0.00236642	0.00647692	0.0200365	0.0564748	0.293735	0.62091
a98	0.00367235	0.00808757	0.0222231	0.0631558	0.298398	0.604463
a15	0.00368793	0.0100172	0.0258421	0.0757038	0.305646	0.579103
a7	0.00721512	0.0182148	0.047711	0.127107	0.323425	0.476326
a15	0.0241502	0.0406086	0.0669688	0.125377	0.265442	0.477453
a69	0.0279803	0.0491554	0.0886803	0.163053	0.272785	0.398346
a58	0.0144205	0.0321256	0.066509	0.138793	0.302158	0.445994
a82	0.0261885	0.0492931	0.0858225	0.169141	0.29779	0.371764
a97	0.0978311	0.105661	0.127917	0.184799	0.241239	0.242554
a82	0.0970624	0.106335	0.135773	0.175403	0.232954	0.252473
</S>	0.0572322	0.0663491	0.100816	0.155454	0.246899	0.37325
