 	le	pain	est	bourré	de	petites	fourmis	</S>
a66	0.236815	0.185383	0.157621	0.163173	0.114712	0.0710483	0.0460948	0.0251529
a87	0.18394	0.184992	0.180137	0.182757	0.120007	0.070149	0.0458299	0.0321891
a97	0.342961	0.237869	0.193947	0.122248	0.0428484	0.0217428	0.0163849	0.0219984
a3	0.291805	0.236524	0.212187	0.141323	0.0480719	0.0240004	0.0201284	0.0259594
a83	0.291449	0.244681	0.206675	0.127334	0.0454911	0.0274235	0.0261017	0.0308448
a98	0.342006	0.243898	0.168556	0.0794594	0.0329064	0.0341138	0.044208	0.0548538
a79	0.325354	0.230791	0.16047	0.0620986	0.0386285	0.0457954	0.0660405	0.070822
a7	0.257603	0.172797	0.179133	0.0920543	0.0777165	0.0755982	0.0844015	0.0606968
a98	0.161953	0.138417	0.169213	0.112483	0.0936625	0.0958991	0.123076	0.105296
a85	0.154534	0.138694	0.167445	0.0989239	0.103886	0.107485	0.128238	0.100794
a6	0.139933	0.133035	0.156845	0.109032	0.112202	0.108055	0.133874	0.107024
a75	0.130551	0.1325	0.148488	0.113567	0.116462	0.107855	0.135257	0.11532
a85	0.0815481	0.0974116	0.116018	0.123306	0.137894	0.141033	0.167397	0.135392
a47	0.0718996	0.0870828	0.0992583	0.130033	0.144694	0.136986	0.167709	0.162338
a36	0.0305633	0.0422157	0.0368504	0.0466101	0.0559961	0.0850826	0.218419	0.484262
a7	0.0310536	0.0405921	0.0306182	0.0541984	0.0682924	0.105795	0.193299	0.476152
a90	0.0178391	0.022942	0.0149548	0.034122	0.0526781	0.0903096	0.185916	0.581239
a56	0.00806282	0.0108433	0.00722839	0.0202473	0.0414876	0.0921744	0.22778	0.592176
a44	0.00860987	0.0108991	0.00637741	0.0148177	0.0376969	0.0931781	0.236794	0.591627
a57	0.00891326	0.0116744	0.00595389	0.0110731	0.0310392	0.0923442	0.241268	0.597734
a82	0.0206625	0.0231348	0.0132636	0.0144176	0.0331602	0.0854042	0.21839	0.591567
a3	0.0954095	0.0800898	0.0599446	0.0601216	0.062134	0.0906254	0.175694	0.37598
a82	0.138223	0.107147	0.091834	0.118826	0.101658	0.109139	0.126722	0.206451
a57	0.126933	0.0929	0.0845813	0.12813	0.124663	0.124373	0.128718	0.189702
a97	0.104059	0.0787764	0.0735675	0.110498	0.105568	0.117605	0.153153	0.256773
a99	0.0920208	0.0788919	0.0803615	0.115193	0.0922872	0.101726	0.150979	0.28854
a87	0.0303385	0.0363626	0.043869	0.0788167	0.101415	0.151403	0.207502	0.350294
a23	0.0422985	0.0488423	0.0529319	0.0862193	0.0914167	0.132805	0.195385	0.350101
a87	0.0467417	0.0581023	0.0601674	0.106117	0.118081	0.149925	0.174885	0.285981
a23	0.0504088	0.0639793	0.0663812	0.0996304	0.0984223	0.134274	0.187981	0.298923
a87	0.0651507	0.0791776	0.0769379	0.109959	0.112852	0.139217	0.162104	0.254602
</S>	0.0508286	0.0665705	0.0637368	0.0860465	0.0919078	0.130134	0.183826	0.32695
