 	avant	de	manger	la	nourriture	d'	hier	il	faut	la	réchauffer	</S>
a66	0.218885	0.151043	0.113505	0.0820246	0.0755666	0.0840027	0.063889	0.0715933	0.0529546	0.0389906	0.022709	0.0248363
a57	0.21414	0.13803	0.116976	0.0947589	0.0752947	0.0609103	0.0453409	0.0517517	0.0454402	0.0463046	0.0424252	0.0686278
a87	0.347892	0.257607	0.170064	0.0864294	0.0519643	0.0270021	0.0116916	0.00946863	0.00706484	0.00818207	0.00779926	0.0148354
a97	0.313506	0.243649	0.170451	0.103972	0.0715153	0.0350149	0.0125928	0.0110567	0.00902006	0.0105307	0.00819357	0.0104974
a87	0.282684	0.22127	0.165601	0.108562	0.0758443	0.0383417	0.0155923	0.0158053	0.0147055	0.0183929	0.0176772	0.0255241
a97	0.260278	0.211248	0.162605	0.105839	0.0737116	0.0394709	0.0193312	0.0210355	0.0204936	0.0270745	0.0264542	0.0324584
a87	0.235531	0.181134	0.141743	0.0907236	0.0595551	0.0370625	0.0243474	0.0325483	0.0354371	0.0477573	0.0488996	0.0652617
a23	0.222771	0.175687	0.139904	0.0959004	0.0685427	0.0405682	0.023654	0.0286929	0.0291943	0.042737	0.0563108	0.0760383
a30	0.261066	0.160533	0.102439	0.0668372	0.0479638	0.0347437	0.0308656	0.0386718	0.0437452	0.0543873	0.078011	0.0807367
a99	0.209378	0.146705	0.0958927	0.072621	0.0479129	0.0443593	0.0367228	0.0502311	0.0511333	0.0671425	0.0851201	0.0927817
a30	0.224887	0.170709	0.115489	0.0895458	0.0583149	0.0453138	0.0354884	0.0392125	0.0384294	0.0472839	0.0717367	0.0635895
a93	0.165226	0.137325	0.103332	0.084305	0.0597099	0.0495003	0.0403159	0.0450098	0.0451456	0.059208	0.104498	0.106424
a11	0.157367	0.185361	0.164374	0.136373	0.0940057	0.0612486	0.0416117	0.0327626	0.0264954	0.0292279	0.0452511	0.0259208
a56	0.0722406	0.122964	0.150861	0.1589	0.146612	0.0934948	0.0642298	0.0480602	0.0375555	0.0352001	0.0450652	0.0248166
a96	0.053246	0.0966204	0.139939	0.160911	0.162067	0.109847	0.0792789	0.0536236	0.0393045	0.0353791	0.0440343	0.0257491
a98	0.0401464	0.0619251	0.11076	0.150164	0.171414	0.116268	0.0904465	0.0597143	0.0432614	0.039714	0.059108	0.0570785
a83	0.0343951	0.0560175	0.112964	0.155892	0.174206	0.119543	0.0957933	0.0622457	0.0420954	0.0354051	0.055862	0.0555813
a11	0.0222871	0.0283706	0.0611273	0.108247	0.163153	0.137703	0.123105	0.0830893	0.0549244	0.0495178	0.0740452	0.0944302
a75	0.0201339	0.0231725	0.0447529	0.0867991	0.156553	0.152987	0.134269	0.0939528	0.0584492	0.0496327	0.0711161	0.108182
a73	0.0201376	0.0297282	0.0552444	0.0862869	0.124469	0.121371	0.124696	0.101356	0.0780505	0.0607179	0.0921238	0.105819
a54	0.0189535	0.0247829	0.0432767	0.0682887	0.10558	0.122716	0.13715	0.0995986	0.0701947	0.0550319	0.105153	0.149274
a44	0.0236577	0.0294223	0.0488172	0.0708962	0.0958074	0.116642	0.127909	0.108503	0.0931672	0.072803	0.102746	0.109629
