 	le	lion	rugit	dans	cette	petite	forêt	</S>
a66	0.441701	0.205425	0.0895863	0.0906535	0.0748937	0.0403391	0.030774	0.026628
a87	0.325844	0.204466	0.148781	0.128703	0.0730978	0.0411967	0.0334409	0.0444698
a23	0.392033	0.373895	0.14058	0.0374239	0.0159951	0.0115918	0.0119364	0.0165439
a99	0.394965	0.364002	0.132203	0.0404474	0.0180739	0.0120177	0.0152083	0.0230823
a38	0.308582	0.263929	0.165804	0.0877821	0.0466733	0.0290939	0.0397154	0.0584202
a53	0.325595	0.267935	0.163349	0.0894788	0.0494712	0.0245447	0.0324545	0.0471725
a94	0.245192	0.230994	0.222281	0.135889	0.076736	0.0290722	0.0268661	0.032969
a90	0.135394	0.13473	0.225635	0.194583	0.130731	0.0574929	0.0540425	0.0673917
a56	0.113647	0.112724	0.197597	0.181463	0.135457	0.0769094	0.0840913	0.098111
a98	0.105928	0.101626	0.155987	0.157391	0.134878	0.0957819	0.115748	0.132658
a47	0.082688	0.0835265	0.175146	0.203767	0.166951	0.0944868	0.0925167	0.100918
a30	0.0382986	0.0350102	0.0767053	0.14818	0.176124	0.130463	0.164188	0.23103
a56	0.0329778	0.0380632	0.0662765	0.101007	0.120295	0.112253	0.206765	0.322363
a94	0.0489882	0.0478377	0.0791248	0.148637	0.186346	0.149796	0.153966	0.185304
a98	0.0312263	0.0283702	0.040762	0.100762	0.192371	0.221425	0.19249	0.192594
a47	0.0158823	0.0163844	0.0340601	0.114445	0.210994	0.206221	0.194165	0.207847
a5	0.00558322	0.00570067	0.0108353	0.0446688	0.11717	0.188895	0.267058	0.360089
a36	0.0055178	0.00513304	0.0076289	0.023665	0.0697757	0.181322	0.293942	0.413015
a0	0.00634073	0.00531755	0.00586095	0.0151346	0.0351137	0.0931289	0.286602	0.552502
a75	0.00523037	0.00442092	0.00548065	0.0143181	0.0304118	0.0796441	0.277933	0.582561
a92	0.00051145	0.000508854	0.000762373	0.00293259	0.0107594	0.0470677	0.270279	0.667178
a56	0.000505745	0.000493054	0.000759081	0.00301192	0.00994308	0.0398975	0.253488	0.691902
a34	0.000713284	0.000677261	0.0011031	0.00366026	0.0103573	0.0423163	0.273065	0.668107
a62	0.00149929	0.00121643	0.00170239	0.00443021	0.0112959	0.0508132	0.280065	0.648978
a88	0.00157431	0.0012568	0.00170626	0.00484545	0.0127045	0.0555737	0.283028	0.639311
a71	0.00324227	0.00259725	0.0035851	0.00827296	0.0179594	0.063424	0.308926	0.591993
a9	0.017524	0.0119991	0.0145558	0.0231885	0.0396382	0.10471	0.311187	0.477197
a87	0.161026	0.121331	0.072336	0.0657203	0.0759874	0.118054	0.176673	0.208872
a23	0.285914	0.289497	0.117075	0.0610109	0.0495295	0.0539868	0.0683933	0.0745933
a38	0.0833606	0.0759127	0.0321294	0.025477	0.0300651	0.0746008	0.271109	0.407345
</S>	0.0397946	0.0362338	0.0219686	0.0304915	0.0548771	0.123089	0.288938	0.404608
