 	elenga	appuyait	sur	l'	abcès	pour	le	crever	</S>
a57	0.166053	0.0970983	0.100568	0.114699	0.147241	0.184897	0.106023	0.045767	0.0376541
a82	0.194303	0.228683	0.174139	0.157644	0.100614	0.0577121	0.0359442	0.0219533	0.0290076
a10	0.443516	0.212631	0.10168	0.0845259	0.0544389	0.0336424	0.0230561	0.0176274	0.0288832
a82	0.465918	0.188877	0.0990743	0.0880131	0.0556367	0.036148	0.0248539	0.0171629	0.0243167
a27	0.422403	0.160642	0.107771	0.102284	0.0673034	0.0451746	0.0326871	0.0246835	0.0370523
a26	0.445901	0.150019	0.0950451	0.0930134	0.0615729	0.041102	0.0324291	0.0316334	0.0492839
a38	0.399467	0.118138	0.0795378	0.0847065	0.0606038	0.0499389	0.046525	0.0596167	0.101466
a47	0.298985	0.109671	0.077153	0.0876776	0.0708511	0.0697653	0.0716681	0.0816107	0.132618
a31	0.392473	0.179061	0.0998782	0.0908663	0.065627	0.0460495	0.0425064	0.0379086	0.0456301
a21	0.395042	0.222709	0.0970758	0.0823292	0.057787	0.045203	0.0433887	0.0299441	0.0265213
a12	0.327426	0.27293	0.113727	0.093847	0.0629624	0.0486482	0.0408351	0.0217434	0.0178805
a21	0.267363	0.288605	0.109386	0.0983696	0.0722596	0.0578145	0.0499748	0.0304808	0.0257461
a85	0.219753	0.337279	0.124291	0.101756	0.0745546	0.0552705	0.0408337	0.024866	0.021397
a43	0.112948	0.314835	0.149648	0.120851	0.0989309	0.0708145	0.0538359	0.0396274	0.0385081
a21	0.0625038	0.326881	0.143113	0.114696	0.103684	0.0729914	0.0569901	0.0571959	0.0619448
a85	0.0543384	0.304298	0.16404	0.128801	0.119137	0.0784306	0.0509087	0.0482286	0.0518175
a36	0.0472911	0.23251	0.165231	0.125192	0.127512	0.0840087	0.0608399	0.0759654	0.0814503
a61	0.0536408	0.206802	0.138128	0.104477	0.0974788	0.0748052	0.0638488	0.105672	0.155146
a31	0.0436376	0.177574	0.155812	0.117902	0.120799	0.0981901	0.077883	0.088962	0.119239
a61	0.0498729	0.164372	0.156313	0.124155	0.137254	0.126183	0.0972261	0.074924	0.0696987
a31	0.0319176	0.149057	0.133717	0.0968436	0.101057	0.11255	0.105543	0.12352	0.145796
a88	0.0394845	0.13033	0.122812	0.101801	0.114411	0.14031	0.129952	0.110973	0.109927
a71	0.0258693	0.126321	0.1176	0.0850198	0.0794225	0.0994885	0.125704	0.16923	0.171345
a24	0.0342466	0.133035	0.102218	0.0818887	0.0704654	0.0880325	0.111271	0.188169	0.190674
a62	0.0115193	0.0604767	0.0647646	0.0549443	0.0611394	0.0868426	0.140449	0.272462	0.247402
a21	0.0101414	0.0633127	0.0590909	0.0453431	0.0410224	0.0541875	0.102919	0.302127	0.321856
a85	0.0154635	0.0484655	0.0511037	0.0480734	0.05683	0.0746139	0.127555	0.307826	0.270069
a0	0.0135865	0.0281478	0.0411766	0.0375028	0.0513537	0.0673671	0.126409	0.308961	0.325496
a27	0.00949364	0.0391446	0.0404217	0.027947	0.0234551	0.0237177	0.0542656	0.332509	0.449046
a18	0.0359481	0.102868	0.0885207	0.0663909	0.0526741	0.0465426	0.0698535	0.223852	0.31335
a38	0.0372458	0.0973108	0.0813705	0.0665017	0.055412	0.0472708	0.0796908	0.24601	0.289188
a98	0.007186	0.0297952	0.0332439	0.0271281	0.0207912	0.020746	0.0484133	0.310737	0.501959
a47	0.0027248	0.0122167	0.019176	0.0152747	0.0141979	0.015674	0.0397499	0.290757	0.590229
a85	0.0024233	0.0124223	0.0253481	0.0191408	0.0208161	0.0211478	0.0526691	0.282275	0.563758
a36	0.00288485	0.00925016	0.019534	0.0163541	0.0208533	0.0242551	0.0574901	0.30636	0.543019
a24	0.00335585	0.014208	0.0247835	0.0192232	0.0167693	0.0174378	0.0431176	0.25844	0.602664
a31	0.00290389	0.0147197	0.0263428	0.019623	0.0164183	0.0173121	0.0419913	0.279163	0.581526
a88	0.00234831	0.0137158	0.0195749	0.0168093	0.0207319	0.0316517	0.0785012	0.309097	0.50757
a66	0.00249894	0.0140752	0.0174751	0.0130817	0.0127342	0.0143987	0.0401534	0.288074	0.597509
a11	0.0104073	0.0214222	0.0377978	0.0292344	0.0248884	0.0293671	0.059356	0.305544	0.481983
a96	0.0108287	0.0257619	0.0440444	0.035294	0.0285365	0.0333086	0.0643936	0.29209	0.465742
a54	0.00282923	0.00894103	0.0147724	0.0122022	0.0106401	0.0143391	0.0379855	0.288431	0.609859
a37	0.00145912	0.0091779	0.0140504	0.0092259	0.00776835	0.00697206	0.0211306	0.245937	0.684279
a26	0.0104838	0.0234191	0.0519758	0.0370949	0.0297298	0.0265892	0.0497856	0.264197	0.506725
a66	0.0578882	0.0720518	0.0827723	0.068779	0.0572031	0.0497645	0.0639391	0.20106	0.346542
a38	0.115591	0.0936867	0.100868	0.0849314	0.0655858	0.0507525	0.0614612	0.142187	0.284936
a82	0.0644882	0.0725328	0.100759	0.0812187	0.0572858	0.0348167	0.0446873	0.150277	0.393934
a9	0.0926604	0.071554	0.0908067	0.0766023	0.0628563	0.0564462	0.071921	0.15705	0.320104
a82	0.108484	0.100417	0.108817	0.092545	0.0764907	0.0675736	0.0726919	0.118605	0.254376
a97	0.106425	0.137337	0.161925	0.138141	0.0944353	0.0595011	0.0550857	0.0768669	0.170282
</S>	0.116647	0.14375	0.171287	0.140026	0.0955462	0.0533671	0.0492533	0.0699208	0.160203
