 	il	monte	sur	le	toit	de	la	maison	</S>
a66	0.396126	0.263214	0.154293	0.0735966	0.0322312	0.0239254	0.0184148	0.0192099	0.0189891
a87	0.536439	0.195015	0.112149	0.0470398	0.0246211	0.0216491	0.020062	0.0215509	0.0214732
a23	0.473119	0.249437	0.114134	0.0629332	0.0304504	0.0157133	0.0135344	0.0181468	0.0225316
a87	0.421563	0.253263	0.0900136	0.0355193	0.0203676	0.0250884	0.0364719	0.0524616	0.0652517
a23	0.436457	0.30015	0.0909176	0.0336517	0.0184786	0.0206284	0.0268311	0.0341623	0.0387227
a79	0.376094	0.24915	0.0883994	0.0329155	0.0240939	0.0371125	0.0512366	0.0670853	0.073913
a44	0.366656	0.255385	0.138411	0.0583366	0.0394274	0.0394457	0.0365823	0.0328324	0.0329233
a75	0.288771	0.294141	0.193599	0.0821204	0.0463193	0.0391149	0.0245694	0.0161627	0.0152025
a47	0.158931	0.238967	0.234478	0.130372	0.0832891	0.0688227	0.0393284	0.0238461	0.0219659
a5	0.0853823	0.141948	0.175163	0.12728	0.10735	0.140539	0.0936353	0.06376	0.0649424
a37	0.101807	0.136756	0.183356	0.13622	0.10817	0.122558	0.0831593	0.0634229	0.0645501
a31	0.125676	0.155635	0.232258	0.208385	0.122046	0.063957	0.0353318	0.0275515	0.0291593
a88	0.0797161	0.12626	0.21832	0.239018	0.158228	0.0710654	0.0385213	0.0319767	0.0368943
a38	0.0442509	0.0900505	0.173541	0.231153	0.18633	0.102516	0.0598064	0.0522126	0.0601405
a93	0.0343277	0.0718433	0.161025	0.225856	0.204782	0.116369	0.0641086	0.0572826	0.0644063
a90	0.0334916	0.0535677	0.136126	0.222114	0.223624	0.142649	0.0734329	0.0555946	0.0594001
a98	0.0176105	0.0249342	0.0573928	0.112396	0.173043	0.232141	0.155768	0.115001	0.111714
a79	0.00489275	0.0086868	0.0210582	0.0498487	0.101141	0.246822	0.213533	0.172731	0.181286
a92	0.00685217	0.00868538	0.0158796	0.0338177	0.0777716	0.198723	0.206987	0.195962	0.255322
a75	0.00553739	0.00604503	0.0132295	0.0335933	0.0847475	0.198823	0.214067	0.199283	0.244674
a92	0.00192356	0.0019792	0.0041067	0.0113937	0.0369583	0.138199	0.212903	0.256871	0.335666
a37	0.00134197	0.0010176	0.00179046	0.00541907	0.0238084	0.0968241	0.178155	0.27001	0.421633
a47	0.00141666	0.0011351	0.00132729	0.00304531	0.0127999	0.0527012	0.126417	0.26633	0.534828
a88	0.00267657	0.00238789	0.00245971	0.00556171	0.0210972	0.0573008	0.115374	0.254089	0.539053
a71	0.00108052	0.000838129	0.000961353	0.00240571	0.00973281	0.0341685	0.0862114	0.247443	0.617159
a9	0.0620016	0.0220454	0.031615	0.0523298	0.0906026	0.097255	0.116108	0.189093	0.338949
a87	0.300382	0.12915	0.108272	0.115868	0.104298	0.0670863	0.0505299	0.0549119	0.0695023
a23	0.307961	0.213307	0.132395	0.102307	0.080394	0.0548482	0.0379046	0.0333398	0.037543
a87	0.0606268	0.0355968	0.023438	0.020852	0.0246644	0.059522	0.121091	0.242212	0.411996
</S>	0.0143721	0.00711696	0.00608079	0.0107246	0.024105	0.065195	0.121516	0.259328	0.491562
