 	la	pirogue	a	abordé	</S>
a23	0.293085	0.220977	0.199211	0.170417	0.11631
a87	0.416405	0.209053	0.14063	0.118397	0.115516
a23	0.397189	0.215696	0.143458	0.127113	0.116544
a38	0.467352	0.20494	0.105081	0.120177	0.102449
a30	0.558371	0.181422	0.0960263	0.0867982	0.077382
a35	0.515027	0.206799	0.122525	0.086907	0.0687416
a76	0.445822	0.239993	0.145233	0.0970213	0.0719315
a44	0.425716	0.2506	0.154155	0.0948762	0.0746523
a57	0.379766	0.251957	0.167137	0.107572	0.0935687
a10	0.219215	0.220889	0.199383	0.173908	0.186605
a26	0.176724	0.177716	0.184019	0.202921	0.25862
a35	0.186224	0.178392	0.186701	0.206598	0.242084
a26	0.224995	0.210795	0.190002	0.184366	0.189843
a43	0.187997	0.170157	0.181018	0.205972	0.254856
a32	0.10593	0.117347	0.162177	0.231574	0.382971
a26	0.0730666	0.104219	0.166444	0.239784	0.416486
a24	0.0750428	0.108312	0.160359	0.237612	0.418675
a9	0.0388988	0.0708398	0.14602	0.242759	0.501482
a87	0.0437449	0.0758188	0.134106	0.243596	0.502734
a23	0.113114	0.14287	0.166093	0.243345	0.334577
a97	0.183877	0.182876	0.175347	0.20787	0.250029
a87	0.150487	0.147178	0.149056	0.21332	0.33996
a23	0.1572	0.173572	0.16132	0.218515	0.289393
</S>	0.117451	0.175191	0.187716	0.240321	0.279321
