 	il	faut	supplier	le	seigneur	dieu	de	nous	protéger	</S>
a87	0.131817	0.15011	0.37062	0.154145	0.0608283	0.0394457	0.0275694	0.0208749	0.0248024	0.0197885
a79	0.130996	0.147405	0.0608288	0.104711	0.0524504	0.0671424	0.0516073	0.08236	0.121723	0.180777
a75	0.161043	0.149327	0.0901368	0.0661466	0.0368254	0.0460244	0.0487314	0.0752944	0.128186	0.198285
a47	0.363009	0.216232	0.125476	0.0659909	0.0467542	0.0428204	0.0308599	0.028392	0.0276218	0.0528437
a85	0.319867	0.25583	0.184106	0.0535376	0.0322006	0.0273123	0.0259929	0.0268799	0.0316558	0.0426178
a75	0.29629	0.266949	0.211154	0.0647613	0.0374406	0.0337975	0.0263092	0.0212303	0.0202008	0.0218668
a85	0.252433	0.234092	0.214465	0.0675769	0.0506668	0.0460102	0.0408855	0.0313915	0.0300161	0.0324623
a37	0.200127	0.219112	0.208797	0.0756172	0.0588376	0.0587696	0.0571257	0.0402436	0.0389007	0.0424692
a66	0.26011	0.252256	0.255168	0.072949	0.0423765	0.0309128	0.0266086	0.0186402	0.0214463	0.0195324
a90	0.188259	0.19701	0.236106	0.118217	0.0614903	0.0492167	0.0388849	0.0314931	0.0364771	0.0428456
a25	0.120706	0.153642	0.289976	0.133842	0.0792619	0.0574922	0.0450554	0.0321607	0.0388386	0.0490246
a37	0.0839916	0.131167	0.296937	0.109936	0.0701957	0.0597046	0.05688	0.0448757	0.0652198	0.0810915
a75	0.0945188	0.120648	0.276726	0.112139	0.0894891	0.0658928	0.0622288	0.0430386	0.0604907	0.0748283
a56	0.0727598	0.0816747	0.20305	0.0857861	0.0938842	0.072993	0.0966467	0.0758	0.104096	0.113309
a90	0.0618033	0.0683836	0.205395	0.121178	0.115305	0.0884424	0.0893387	0.0643963	0.0813812	0.104376
a82	0.0519972	0.0482943	0.156709	0.100283	0.118963	0.0878574	0.116151	0.086178	0.114517	0.119049
a53	0.0129434	0.0138786	0.0526434	0.0926968	0.213815	0.13607	0.121466	0.0793843	0.11547	0.161633
a93	0.0200068	0.0203956	0.0683275	0.0876843	0.1821	0.119508	0.143881	0.0872675	0.114595	0.156234
a83	0.0055165	0.00599019	0.0263194	0.0448098	0.160587	0.128385	0.179479	0.11918	0.146734	0.182998
a62	0.00397283	0.00428286	0.0147281	0.0289006	0.161029	0.117113	0.190558	0.124763	0.155129	0.199523
a83	0.0044394	0.0046218	0.0129255	0.0195249	0.119439	0.0953089	0.187364	0.151039	0.191719	0.213619
a75	0.00253123	0.00276867	0.00774327	0.0128091	0.101492	0.0801726	0.185634	0.161416	0.209886	0.235548
a66	0.0062111	0.00600832	0.0130223	0.0258889	0.108602	0.0849602	0.137109	0.126814	0.208512	0.282872
a75	0.000666271	0.000730102	0.00136661	0.00337066	0.0454862	0.0411369	0.113247	0.137821	0.288329	0.367847
a61	0.00360814	0.00339877	0.00650902	0.011602	0.060199	0.0526005	0.11297	0.132585	0.25779	0.358738
a62	0.0030022	0.00324897	0.00581525	0.0111463	0.0559118	0.053358	0.109668	0.149174	0.273746	0.334929
a88	0.00210721	0.00220381	0.00418755	0.00711268	0.0417678	0.0401494	0.102886	0.148196	0.32378	0.327609
a9	0.00100138	0.0011088	0.00174723	0.00372813	0.0322324	0.028876	0.0827378	0.128899	0.346993	0.372676
a0	0.000821457	0.00113946	0.00183914	0.00566422	0.0480267	0.0471012	0.100245	0.141237	0.295636	0.358291
a62	0.000347807	0.00052011	0.000569441	0.00233202	0.0298414	0.0316914	0.084312	0.146866	0.322645	0.380875
a21	0.000347741	0.000496016	0.000802579	0.00232367	0.0266054	0.0262077	0.0742994	0.126013	0.330574	0.41233
a85	0.000671767	0.000932671	0.00139675	0.00406571	0.0323162	0.0342476	0.0888892	0.152644	0.330244	0.354592
a66	0.000840214	0.00101804	0.0013077	0.00317769	0.0174041	0.0244411	0.0708082	0.133124	0.378052	0.369828
a11	0.000400227	0.000558132	0.000589169	0.00259008	0.018788	0.0289595	0.069092	0.144737	0.318755	0.41553
a75	0.000592518	0.000861056	0.000860554	0.00396325	0.0269285	0.0329929	0.0697694	0.145497	0.294466	0.424069
a85	0.000293488	0.000352355	0.000284578	0.000994871	0.0107336	0.0142286	0.0474949	0.0997594	0.33908	0.486778
a6	0.000491464	0.000547366	0.000598966	0.00236174	0.0159773	0.0229691	0.0582432	0.1008	0.323381	0.47463
a66	0.000241323	0.000263607	0.000320944	0.00107694	0.0101382	0.0134614	0.0417528	0.083741	0.34368	0.505324
a62	0.000271852	0.000307793	0.000264074	0.00145445	0.0157436	0.0239427	0.0674793	0.140565	0.32631	0.423661
a83	0.000578112	0.000684271	0.000744346	0.00258783	0.0203493	0.0216177	0.059019	0.110825	0.349828	0.433767
a9	0.000488831	0.000703573	0.000987667	0.00316894	0.0227929	0.0300899	0.0721053	0.127277	0.310372	0.432014
a99	0.000743095	0.000888505	0.000791898	0.00492175	0.0288794	0.0428341	0.0798892	0.147677	0.285793	0.407582
a87	0.00126304	0.0016433	0.00104935	0.00577454	0.0277431	0.0424115	0.071706	0.15359	0.298624	0.396195
a23	0.00409222	0.00504067	0.00404152	0.0181212	0.0489732	0.074278	0.101533	0.175276	0.266411	0.302234
a97	0.00325358	0.00329256	0.00235152	0.00829834	0.0346323	0.0458438	0.0909289	0.154851	0.346132	0.310416
</S>	0.00755448	0.00912313	0.0064217	0.0126844	0.0255411	0.0386625	0.0637215	0.124236	0.301435	0.41062
