 	hier	j'	ai	mangé	une	cuisse	de	poulet	</S>
a10	0.264741	0.177075	0.100652	0.0804417	0.0939777	0.107284	0.0868042	0.057107	0.0319167
a83	0.221069	0.128168	0.0793343	0.0883905	0.105324	0.106256	0.108915	0.0900141	0.072529
a75	0.296369	0.241991	0.15747	0.101616	0.0537581	0.0380919	0.0382469	0.0379212	0.034536
a85	0.387433	0.29228	0.169181	0.0777393	0.0341233	0.0147002	0.00928271	0.00834102	0.00692034
a47	0.228895	0.259897	0.244156	0.147007	0.0556804	0.0256521	0.0168443	0.0134199	0.00844953
a26	0.256331	0.276978	0.230374	0.115752	0.0516349	0.0259913	0.0159176	0.0143489	0.0126729
a53	0.216978	0.209922	0.199932	0.151913	0.108564	0.0526345	0.0276666	0.0179601	0.0144302
a15	0.172209	0.162981	0.186725	0.163886	0.138826	0.0800197	0.0397695	0.0290444	0.0265391
a94	0.112451	0.104654	0.106779	0.106879	0.127627	0.119546	0.0990512	0.100772	0.122242
a18	0.120612	0.0872355	0.0806216	0.0971033	0.173724	0.163803	0.105574	0.0802214	0.0911048
a31	0.0751612	0.0497835	0.0470053	0.0570239	0.119754	0.155766	0.158929	0.153066	0.183512
a88	0.0558403	0.0431042	0.0421418	0.0572626	0.118275	0.202658	0.21158	0.163514	0.105625
a38	0.0296902	0.0220645	0.0219872	0.0307486	0.0632525	0.140312	0.199547	0.233914	0.258485
a21	0.0237649	0.0148108	0.0126644	0.0166037	0.0395645	0.0934973	0.163717	0.250434	0.384943
a96	0.0434441	0.030871	0.0296179	0.0370423	0.0612918	0.0951519	0.134749	0.199472	0.36836
a21	0.00722651	0.00501287	0.00502875	0.00870601	0.0186605	0.0469099	0.100647	0.23489	0.572919
a5	0.0104651	0.00699602	0.00689503	0.0108136	0.0205815	0.0441936	0.0969849	0.215487	0.587583
a18	0.0093711	0.00654177	0.00620275	0.0112173	0.0225646	0.0435366	0.082127	0.190657	0.627782
a38	0.00249559	0.00168727	0.00160863	0.00324538	0.00720507	0.0205552	0.0604238	0.162355	0.740424
a75	0.00366426	0.0023028	0.00188256	0.00346972	0.00730413	0.0187785	0.0579341	0.161859	0.742805
a96	0.00187029	0.00153303	0.00180093	0.00437894	0.0103447	0.0229417	0.0583783	0.161551	0.737201
a88	0.000759077	0.000498685	0.000463627	0.00108473	0.00337988	0.0125333	0.0413638	0.140649	0.799268
a0	0.00132827	0.000902121	0.000782408	0.00167679	0.00482964	0.014725	0.0458295	0.142757	0.78717
a13	0.00903921	0.00625443	0.00522299	0.00827842	0.0153397	0.0280305	0.0701155	0.169053	0.688666
a9	0.0288004	0.018043	0.0142653	0.0193045	0.0321469	0.0474529	0.0878268	0.17558	0.57658
a99	0.0609463	0.037551	0.0236724	0.0254894	0.0385464	0.0608984	0.106776	0.206651	0.439469
a87	0.0390781	0.0269489	0.0188833	0.0220958	0.0307328	0.0454121	0.0920817	0.213824	0.510943
a10	0.0511832	0.0286363	0.0169759	0.0189996	0.0285491	0.0448512	0.103737	0.229897	0.477171
a87	0.0631752	0.0392444	0.0242616	0.0239806	0.0335415	0.0548028	0.107953	0.214328	0.438713
a23	0.032328	0.0243073	0.018055	0.0211552	0.033813	0.0512791	0.105512	0.214191	0.49936
a87	0.0289349	0.0206157	0.0129775	0.0162094	0.0307226	0.0485734	0.0995272	0.213733	0.528707
a23	0.0285938	0.0184905	0.0112251	0.014863	0.0295123	0.044233	0.0838119	0.18721	0.582061
a97	0.0648242	0.0379619	0.02039	0.0223351	0.03686	0.0427495	0.0797213	0.176117	0.51904
</S>	0.10472	0.0564797	0.0324226	0.0377276	0.0524709	0.0519363	0.0773469	0.148331	0.438565
