 	ma	femme	a	accouché	hier	</S>
a66	0.316932	0.171565	0.145272	0.109901	0.12294	0.133389
a87	0.29322	0.198175	0.141203	0.109114	0.100774	0.157515
a23	0.488436	0.210101	0.108373	0.0626616	0.0506776	0.0797506
a99	0.382768	0.214454	0.131082	0.0851754	0.0701758	0.116345
a40	0.407792	0.219608	0.130737	0.0784952	0.0629302	0.100437
a7	0.454425	0.21224	0.142433	0.0804853	0.0552611	0.0551562
a37	0.367534	0.21404	0.159396	0.107886	0.073762	0.0773826
a32	0.285744	0.216337	0.180479	0.130647	0.0860648	0.100728
a54	0.182167	0.178733	0.18727	0.175314	0.12828	0.148236
a56	0.128436	0.133939	0.151119	0.175284	0.189551	0.221671
a43	0.100754	0.134365	0.155921	0.171982	0.194436	0.242543
a11	0.0582972	0.106932	0.144666	0.169881	0.224321	0.295903
a24	0.043298	0.0711019	0.106955	0.149163	0.230163	0.399319
a83	0.0430146	0.0646579	0.0880412	0.134558	0.219835	0.449893
a70	0.0205182	0.0361666	0.0606833	0.12521	0.237403	0.520019
a54	0.0155606	0.0272946	0.0468978	0.124227	0.234902	0.551118
a47	0.0146304	0.0242896	0.0413181	0.102385	0.247835	0.569541
a7	0.00683255	0.0125968	0.0262858	0.082472	0.288069	0.583744
a4	0.00423026	0.00818452	0.0181529	0.0639242	0.277754	0.627754
a58	0.00511814	0.00838819	0.0171001	0.0627243	0.264576	0.642093
a84	0.00854666	0.0130198	0.0221942	0.0579279	0.229169	0.669142
a57	0.0953211	0.0750206	0.0829123	0.111948	0.238387	0.396411
a87	0.194601	0.107255	0.0916424	0.105686	0.203231	0.297584
a23	0.233992	0.115981	0.0907357	0.0966218	0.190943	0.271726
a87	0.175199	0.115413	0.10642	0.129711	0.222771	0.250486
</S>	0.0554288	0.0545794	0.0677104	0.115723	0.282943	0.423616
