 	les	pêcheurs	ont	rapporté	beaucoup	de	poisson	</S>
a23	0.345813	0.205897	0.158693	0.115657	0.0592577	0.0376454	0.0362832	0.0407548
a40	0.349635	0.165776	0.121175	0.0536967	0.0650303	0.0623955	0.0798584	0.102433
a6	0.338447	0.171247	0.0903433	0.0339355	0.0577968	0.083815	0.0986714	0.125745
a37	0.576101	0.202839	0.0851055	0.0328229	0.0220079	0.0212698	0.0231051	0.0367492
a98	0.343548	0.192979	0.139593	0.099175	0.0529278	0.0453015	0.054066	0.0724096
a79	0.268449	0.15121	0.121037	0.096693	0.0726765	0.0713348	0.101005	0.117595
a98	0.213516	0.14174	0.13315	0.12504	0.0894539	0.0783574	0.106211	0.112531
a85	0.14407	0.118534	0.120987	0.147246	0.11366	0.0930554	0.123152	0.139296
a5	0.0982637	0.0851508	0.0904898	0.134785	0.160787	0.125151	0.144998	0.160374
a21	0.101557	0.107794	0.127785	0.175359	0.152888	0.105588	0.107853	0.121174
a5	0.120362	0.121433	0.160338	0.196069	0.144311	0.0903643	0.0803327	0.08679
a0	0.0645239	0.0644623	0.094896	0.160463	0.157748	0.122142	0.155442	0.180322
a11	0.106366	0.091763	0.125109	0.173667	0.143712	0.103438	0.117835	0.13811
a47	0.0385001	0.0701462	0.133633	0.168428	0.139497	0.120691	0.142991	0.186115
a88	0.048673	0.0625359	0.101361	0.157145	0.203065	0.142094	0.133139	0.151987
a62	0.0217513	0.0319671	0.0546513	0.088897	0.177256	0.19939	0.213744	0.212343
a24	0.0177912	0.0295924	0.0526171	0.0754208	0.155617	0.20311	0.244119	0.221733
a62	0.00767849	0.0139153	0.0255702	0.0356909	0.0718789	0.0885533	0.254219	0.502494
a83	0.00946815	0.0151308	0.0261886	0.0367401	0.0914957	0.146641	0.304004	0.370332
a9	0.00438368	0.00694482	0.0119922	0.0204293	0.0600173	0.0983546	0.284807	0.513071
a87	0.0054267	0.00816388	0.01305	0.0191492	0.0564923	0.0973388	0.280617	0.519762
a10	0.0982901	0.0640921	0.0476279	0.0428337	0.0849841	0.12449	0.211949	0.325733
a87	0.0795875	0.0666747	0.0583121	0.0663163	0.146099	0.193373	0.185864	0.203774
</S>	0.049592	0.0504846	0.0549261	0.0727667	0.154155	0.204155	0.201558	0.212363
