 	pars	d'	abord	</S>
a23	0.306227	0.27298	0.3227	0.0980935
a10	0.261158	0.29904	0.278927	0.160875
a87	0.239527	0.212221	0.307461	0.240791
a23	0.226002	0.247146	0.330206	0.196646
a99	0.191595	0.169125	0.358868	0.280412
a38	0.182204	0.128923	0.369849	0.319023
a76	0.408463	0.222447	0.235646	0.133443
a90	0.300376	0.262261	0.264256	0.173107
a38	0.312514	0.244114	0.277665	0.165707
a76	0.291431	0.222973	0.302687	0.182909
a30	0.257276	0.218049	0.325604	0.199071
a57	0.129295	0.151475	0.423471	0.295759
a87	0.0167939	0.067415	0.343018	0.572773
</S>	0.0230664	0.0901885	0.299202	0.587544
