 	il	ouvre	la	barrière	</S>
a23	0.651308	0.201767	0.0661467	0.0461456	0.0346332
a30	0.609955	0.219028	0.0899694	0.0332887	0.0477592
a53	0.415904	0.261376	0.161946	0.0728663	0.087908
a20	0.330639	0.175077	0.169807	0.163729	0.160748
a69	0.269307	0.291881	0.218874	0.141376	0.0785619
a84	0.145941	0.178164	0.210413	0.217521	0.247962
a53	0.186567	0.200806	0.211043	0.194161	0.207424
a94	0.18702	0.191215	0.186883	0.190107	0.244776
a18	0.137982	0.126333	0.178593	0.225426	0.331666
a25	0.0782109	0.0674658	0.152761	0.269086	0.432476
a53	0.0707389	0.0538341	0.145672	0.251192	0.478563
a93	0.0407213	0.0462586	0.126227	0.261611	0.525182
a4	0.0155086	0.0185944	0.0629663	0.180736	0.722195
a57	0.0151626	0.0169767	0.0518616	0.143226	0.772773
a3	0.0145466	0.0114577	0.0446015	0.138175	0.791219
a87	0.148751	0.0741112	0.116801	0.171405	0.488932
a23	0.307851	0.176574	0.147385	0.13839	0.229801
a87	0.0734593	0.0818859	0.111392	0.169654	0.563609
</S>	0.0195839	0.0240756	0.0653396	0.190085	0.700916
