 	les	soldats	ont	encerclé	la	maison	du	voleur	</S>
a87	0.152058	0.230698	0.172475	0.249338	0.108596	0.0537701	0.0176522	0.00871018	0.00670163
a40	0.100339	0.0582875	0.0714717	0.142909	0.194525	0.148532	0.0920822	0.0877519	0.104102
a47	0.171477	0.102681	0.0554158	0.084905	0.132728	0.129	0.127314	0.0976937	0.098785
a37	0.251	0.267277	0.134873	0.113261	0.0576584	0.0432946	0.0435247	0.042386	0.0467249
a96	0.300573	0.283957	0.161933	0.100954	0.0388486	0.0310207	0.0286209	0.0271564	0.0269371
a90	0.379672	0.289668	0.149778	0.0894334	0.0295153	0.0217505	0.0150218	0.0130423	0.0121189
a25	0.261263	0.319655	0.199657	0.110936	0.039118	0.0280014	0.0172396	0.0130412	0.0110894
a92	0.24371	0.31952	0.207242	0.109887	0.040067	0.0292684	0.0206318	0.0154045	0.0142689
a85	0.19878	0.238752	0.204994	0.173693	0.0671229	0.0436494	0.0281018	0.022153	0.0227537
a37	0.172152	0.181057	0.148089	0.161926	0.103703	0.0796885	0.0605254	0.0481323	0.0447269
a61	0.209137	0.26117	0.228256	0.153468	0.0631931	0.0338903	0.0183802	0.0157064	0.0167993
a88	0.121114	0.179302	0.237919	0.235694	0.102281	0.052615	0.027453	0.0214839	0.0221392
a71	0.0809334	0.148374	0.239535	0.234394	0.117876	0.0692367	0.0407623	0.0332992	0.0355896
a38	0.0305817	0.0870802	0.165712	0.153544	0.0923931	0.0810517	0.0944973	0.126123	0.169017
a21	0.036513	0.0705493	0.161186	0.181234	0.102264	0.0714464	0.0805644	0.115431	0.180811
a61	0.0714094	0.120212	0.190643	0.182901	0.11339	0.0891075	0.0826654	0.0732642	0.076408
a0	0.0170963	0.0313185	0.0854449	0.1303	0.117425	0.13449	0.178609	0.152496	0.15282
a21	0.0125392	0.020484	0.0469116	0.0853551	0.0709268	0.103013	0.190565	0.226055	0.24415
a61	0.0284145	0.0384087	0.0576038	0.0529566	0.0609065	0.0853147	0.193682	0.232872	0.249841
a21	0.00706076	0.0100993	0.02521	0.0403733	0.0462401	0.0768873	0.20351	0.284964	0.305655
a85	0.0116536	0.0157354	0.0293914	0.0340483	0.0435056	0.0700399	0.186236	0.27786	0.331529
a75	0.00347485	0.00694295	0.0157751	0.024801	0.0292734	0.0547984	0.171799	0.302749	0.390386
a61	0.006347	0.0101647	0.016905	0.0199576	0.0247946	0.0428021	0.156057	0.297763	0.42521
a12	0.000621021	0.000878811	0.00314083	0.00835659	0.0120069	0.0270756	0.124399	0.314749	0.508772
a96	0.000748171	0.00114665	0.00421431	0.0115777	0.0148751	0.0337902	0.133467	0.31178	0.4884
a94	0.000539233	0.000808503	0.00357759	0.0119229	0.0151975	0.0362297	0.137631	0.309627	0.484468
a11	0.000392963	0.000604846	0.00314347	0.0105501	0.0133895	0.0300744	0.114496	0.295008	0.532341
a38	0.000378329	0.000397731	0.0013408	0.00358417	0.00569466	0.0149639	0.0814904	0.289621	0.602529
a9	0.000458426	0.000331631	0.00094635	0.00226385	0.00479331	0.0116934	0.0700729	0.292107	0.617333
a99	0.00550966	0.00259646	0.0058988	0.012218	0.0411342	0.056269	0.148212	0.27792	0.450242
a97	0.00849508	0.00411755	0.00694433	0.0123758	0.0432255	0.0670452	0.170692	0.288873	0.398231
a87	0.0295625	0.0135566	0.0191064	0.0292919	0.0602311	0.0848967	0.174939	0.256208	0.332208
a23	0.0343851	0.0191666	0.0277724	0.0453257	0.0675559	0.0898056	0.173625	0.24143	0.300934
a87	0.009725	0.00482646	0.00936519	0.0170416	0.037725	0.0598953	0.164313	0.297275	0.399833
</S>	0.00688303	0.00481167	0.00932922	0.0171068	0.0429173	0.0646794	0.149922	0.272664	0.431687
