 	l'	arbre	dur	obhimbi	ruine	la	hache	</S>
a87	0.244628	0.183924	0.142482	0.147818	0.168634	0.0586735	0.030949	0.0228907
a23	0.45667	0.181855	0.0996263	0.0920763	0.0640759	0.0520727	0.0299421	0.0236814
a87	0.143771	0.0884276	0.112931	0.180632	0.172399	0.0887383	0.103082	0.11002
a23	0.240839	0.140212	0.118232	0.158584	0.145275	0.0740003	0.0631422	0.0597152
a87	0.3384	0.206884	0.110037	0.13423	0.0761189	0.0391333	0.0443168	0.0508795
a23	0.248083	0.139306	0.113878	0.171094	0.142557	0.0644151	0.0601492	0.0605173
a30	0.306407	0.175113	0.117693	0.164696	0.10985	0.0426456	0.0418195	0.0417753
a93	0.177362	0.107305	0.101804	0.159337	0.127572	0.0793343	0.116206	0.131079
a96	0.279078	0.244329	0.146819	0.147792	0.064052	0.0433405	0.0421402	0.0324489
a75	0.232328	0.236878	0.1642	0.175005	0.0826737	0.0427809	0.0354909	0.0306436
a61	0.191888	0.192533	0.150577	0.203482	0.100371	0.0631034	0.0494699	0.0485762
a90	0.134235	0.119529	0.141039	0.276373	0.173666	0.0719912	0.0461677	0.0369994
a13	0.0996163	0.0849033	0.127958	0.234522	0.160711	0.111506	0.087777	0.0930068
a11	0.0736351	0.053779	0.114306	0.243776	0.217413	0.122597	0.0878286	0.0866652
a62	0.0653499	0.0461197	0.0976228	0.192701	0.205393	0.140586	0.124623	0.127604
a21	0.0642118	0.04554	0.0904299	0.144439	0.213802	0.206244	0.129562	0.105771
a85	0.103393	0.0764231	0.108712	0.151787	0.196311	0.143803	0.115431	0.10414
a37	0.0859386	0.0680845	0.0607766	0.067179	0.100468	0.124579	0.217902	0.275073
a61	0.0496109	0.0326885	0.0424358	0.0572777	0.144669	0.238261	0.227447	0.20761
a21	0.0202803	0.0159033	0.019961	0.0291393	0.0984059	0.240618	0.310773	0.264919
a61	0.0722206	0.0532971	0.045923	0.0489046	0.0975472	0.187511	0.253564	0.241032
a96	0.00831162	0.00598756	0.006393	0.0107687	0.0464332	0.173867	0.364522	0.383717
a66	0.00338477	0.00226386	0.00240463	0.0048686	0.0295805	0.144502	0.383533	0.429463
a62	0.000639858	0.000385881	0.000677598	0.00253116	0.0194127	0.1164	0.364361	0.495592
a83	0.000635926	0.00043809	0.000433645	0.00131343	0.0166653	0.121429	0.37212	0.486965
a9	0.000830323	0.000489014	0.000633938	0.00172267	0.0117774	0.0875425	0.354578	0.542426
a99	0.00685514	0.00319987	0.00565342	0.010502	0.0327312	0.110131	0.333423	0.497504
a87	0.0328172	0.0185216	0.0198798	0.0209617	0.0509944	0.142153	0.298643	0.416029
a23	0.0835269	0.0592232	0.0772644	0.102117	0.144649	0.147845	0.184683	0.200692
a87	0.0170371	0.00894842	0.0101758	0.0177604	0.0601496	0.150995	0.31606	0.418874
a23	0.00589733	0.00325571	0.00593467	0.0128577	0.0386254	0.122578	0.315959	0.494891
a99	0.0086446	0.00608685	0.0111266	0.0203205	0.0468182	0.125072	0.311984	0.469948
a87	0.00724236	0.00488272	0.0108608	0.0183243	0.0398205	0.121279	0.305579	0.492011
a97	0.0102461	0.00706309	0.0126573	0.0196401	0.0354583	0.108463	0.307068	0.499404
</S>	0.0188458	0.0123069	0.0232176	0.0368385	0.0542694	0.105975	0.27909	0.469457
