 	c'	est	mon	frère	aîné	</S>
a23	0.401113	0.191347	0.119675	0.100865	0.0961306	0.0908691
a41	0.290478	0.184694	0.115171	0.114536	0.135069	0.160051
a32	0.517091	0.230024	0.113278	0.0551993	0.0467007	0.0377064
a71	0.554886	0.269784	0.109229	0.0363704	0.0186287	0.0111015
a38	0.45349	0.299493	0.152075	0.0526987	0.0258699	0.0163728
a76	0.387203	0.296064	0.193195	0.0707651	0.0330635	0.0197088
a94	0.308936	0.268299	0.213321	0.11221	0.0629898	0.0342435
a41	0.311199	0.286981	0.222654	0.108489	0.0465006	0.0241758
a73	0.233235	0.272065	0.241412	0.140167	0.0709304	0.0421906
a76	0.150393	0.221677	0.265959	0.17639	0.105148	0.0804331
a30	0.162361	0.194584	0.230778	0.172093	0.13377	0.106414
a35	0.0789208	0.112836	0.207762	0.236281	0.198753	0.165448
a30	0.0512746	0.0675799	0.125545	0.213492	0.266392	0.275716
a41	0.0244155	0.0336211	0.0819223	0.186546	0.306232	0.367263
a14	0.0183698	0.0253748	0.0624893	0.140967	0.295596	0.457203
a44	0.025298	0.0301819	0.0614478	0.140992	0.313169	0.428912
a57	0.0105792	0.0149074	0.0320032	0.0851438	0.264767	0.5926
a53	0.00127588	0.00161719	0.00544419	0.0430086	0.275136	0.673518
a90	0.00828453	0.0110882	0.0225164	0.0630344	0.224918	0.670158
a98	0.00317012	0.00422395	0.00881741	0.0392393	0.205074	0.739475
a0	0.00906564	0.0120883	0.0221701	0.0742382	0.245281	0.637157
a32	0.00886736	0.0102666	0.0162019	0.0537415	0.213582	0.69734
a90	0.0064983	0.00814244	0.0193661	0.0865544	0.243102	0.636336
a13	0.00513635	0.00589858	0.0115597	0.0483841	0.20204	0.726982
a9	0.0114884	0.0142746	0.0243842	0.0893083	0.236839	0.623706
a87	0.0220259	0.0303913	0.0652456	0.169662	0.272656	0.440019
</S>	0.0872687	0.0896549	0.103582	0.161012	0.238197	0.320284
