 	okaa	cherche	son	enfant	</S>
a66	0.495365	0.271359	0.0964143	0.0722941	0.0645675
a87	0.540061	0.317083	0.0781862	0.0341852	0.0304847
a23	0.596486	0.309883	0.0478925	0.0226771	0.0230613
a87	0.528	0.362091	0.051507	0.0259596	0.0324426
a97	0.590663	0.323565	0.0426621	0.0192269	0.0238832
a87	0.483374	0.370816	0.0657259	0.0359792	0.0441043
a23	0.572568	0.340188	0.0468503	0.0193338	0.0210602
a79	0.452029	0.307479	0.0956446	0.0642009	0.080646
a57	0.386008	0.381763	0.0968977	0.0585344	0.076797
a82	0.274841	0.383218	0.152613	0.0897277	0.0995997
a40	0.150728	0.306682	0.233681	0.152487	0.156423
a20	0.207704	0.278817	0.193103	0.148011	0.172366
a73	0.203739	0.241192	0.19259	0.174487	0.187992
a7	0.147952	0.178984	0.186033	0.212923	0.274108
a73	0.0943715	0.141508	0.174792	0.240619	0.348709
a56	0.0771302	0.0988797	0.169203	0.252	0.402787
a94	0.0441921	0.0735003	0.164423	0.272242	0.445643
a96	0.0306339	0.0577637	0.164462	0.280246	0.466895
a54	0.0117313	0.020427	0.101173	0.267931	0.598737
a20	0.0195785	0.0218496	0.096465	0.258001	0.604106
a44	0.00807378	0.00848051	0.0701954	0.265643	0.647607
a53	0.00443549	0.00575414	0.0572528	0.248547	0.684011
a44	0.00336181	0.00318094	0.0365635	0.211781	0.745112
a70	0.00380993	0.00394133	0.0401798	0.211835	0.740234
a44	0.00489287	0.00572247	0.0441174	0.21627	0.728998
a26	0.00677716	0.0063862	0.0445185	0.208211	0.734107
a82	0.0633348	0.0331699	0.0621031	0.197664	0.643728
a10	0.223464	0.101974	0.105397	0.182894	0.386271
a87	0.304927	0.139129	0.148906	0.183088	0.223949
a23	0.234721	0.130717	0.141809	0.223023	0.26973
a87	0.107828	0.11519	0.193464	0.274362	0.309156
a97	0.0654981	0.0785919	0.192392	0.310465	0.353053
a87	0.121896	0.125733	0.200679	0.256713	0.294979
</S>	0.0780442	0.116298	0.214196	0.278645	0.312817
