 	le	manioc	que	tu	as	abondonné	au	feu	est	déjà	trop	cuit	</S>
a66	0.151913	0.130816	0.0813273	0.0575671	0.067045	0.100422	0.129738	0.120289	0.078308	0.04124	0.017743	0.0123532	0.011239
a10	0.223834	0.138208	0.0909749	0.0736174	0.0911387	0.0939862	0.0876545	0.0587842	0.0416828	0.0291707	0.0214048	0.0229828	0.0265606
a87	0.388959	0.228145	0.120897	0.0585224	0.0449494	0.0301849	0.0253604	0.0198256	0.01596	0.0150565	0.0126538	0.017194	0.0222915
a23	0.257072	0.194024	0.15535	0.101912	0.0814521	0.0407462	0.0305837	0.0325527	0.0246972	0.0224591	0.0161634	0.0189922	0.0239938
a83	0.207692	0.175828	0.173536	0.138682	0.115592	0.0392372	0.0249025	0.0211698	0.0178498	0.0174196	0.0147508	0.0209713	0.0323682
a9	0.22255	0.220958	0.186006	0.119076	0.0735901	0.0246058	0.0165694	0.0140009	0.0143595	0.0212934	0.0220339	0.0292478	0.03571
a53	0.221562	0.250884	0.207945	0.11539	0.0518893	0.0117921	0.00803353	0.00939362	0.00957542	0.0224695	0.0238443	0.031077	0.0361438
a90	0.209778	0.247602	0.192359	0.116022	0.0513983	0.0126745	0.0087385	0.0105398	0.00907531	0.0261838	0.0326894	0.0375959	0.0453435
a25	0.141323	0.194977	0.19834	0.155565	0.0804103	0.0260942	0.0200401	0.0216311	0.0177172	0.0286225	0.0324759	0.0362138	0.0465903
a69	0.10118	0.131722	0.1518	0.149915	0.106743	0.0376638	0.0346345	0.0350242	0.0307412	0.0409165	0.0478887	0.0573235	0.0744483
a94	0.111046	0.14076	0.157046	0.169942	0.141777	0.0640624	0.0454376	0.0352165	0.0249721	0.0197339	0.0211825	0.0291427	0.0396809
a47	0.102504	0.100524	0.118585	0.150207	0.169167	0.107801	0.0759662	0.0532659	0.0339855	0.0195445	0.0166581	0.0218147	0.0299783
a31	0.0674896	0.0659253	0.0913074	0.136378	0.187394	0.127998	0.101951	0.0763429	0.0491475	0.0266804	0.0193416	0.0220267	0.0280174
a47	0.0597455	0.0482237	0.0695397	0.115824	0.202806	0.142624	0.123509	0.0929324	0.0532239	0.0251478	0.0175222	0.0207798	0.0281229
a34	0.045463	0.0373739	0.0553164	0.0909158	0.177579	0.140518	0.141226	0.113427	0.0807714	0.0364812	0.0230543	0.0245074	0.0333666
a56	0.0281046	0.0210233	0.0321955	0.0650923	0.153762	0.158405	0.178707	0.150333	0.0899893	0.0370861	0.0233511	0.0260362	0.035915
a96	0.0175366	0.0134271	0.0198238	0.0412368	0.12015	0.144259	0.194496	0.174133	0.119483	0.0527163	0.0299929	0.03062	0.0421258
a34	0.0185376	0.0152915	0.0192208	0.0344871	0.100822	0.117421	0.182541	0.166256	0.127161	0.0597861	0.0396773	0.0475654	0.0712341
a47	0.0178193	0.0143378	0.0179587	0.0301503	0.0661621	0.101237	0.183189	0.183452	0.142457	0.0768214	0.0499747	0.0496303	0.0668108
a21	0.0112573	0.00945109	0.0133453	0.0269255	0.0739033	0.0966738	0.187573	0.186091	0.157056	0.085289	0.0522486	0.0437594	0.0564274
a5	0.0155821	0.0138739	0.0158275	0.023684	0.044062	0.0595586	0.140541	0.166771	0.146643	0.109099	0.0957497	0.079923	0.0886855
a61	0.0117556	0.0119026	0.0131623	0.0213941	0.0437587	0.0472681	0.111692	0.140767	0.138392	0.100786	0.106156	0.110517	0.142449
a96	0.00738586	0.00749933	0.00892229	0.0144827	0.0366239	0.0375207	0.0797976	0.090511	0.100617	0.0793256	0.116186	0.170834	0.250294
a88	0.00633871	0.00695225	0.00828269	0.0126174	0.0333674	0.0306621	0.0625299	0.0670638	0.0786982	0.0667024	0.11201	0.202433	0.312342
a0	0.0105898	0.0111797	0.0135995	0.0179989	0.0366245	0.0270147	0.0486754	0.0479853	0.0538117	0.0401633	0.0812085	0.222101	0.389048
a56	0.00362365	0.00375568	0.00480144	0.00698076	0.0180892	0.019307	0.038284	0.0378407	0.0449897	0.0401898	0.0949434	0.253882	0.433313
a34	0.00254269	0.00275546	0.00323942	0.00479063	0.0122813	0.0138713	0.0284739	0.0311439	0.0379734	0.0414705	0.10694	0.270365	0.444152
a21	0.00254668	0.00274415	0.00322203	0.0048488	0.012076	0.0128476	0.0236873	0.0256958	0.0313052	0.0351368	0.0994746	0.279423	0.466992
a41	0.0025542	0.00266983	0.00269764	0.00343354	0.00741424	0.010005	0.0224711	0.027066	0.0318945	0.03733	0.110513	0.306689	0.435261
a27	0.00122712	0.00124813	0.00133515	0.0018293	0.00454713	0.00562019	0.0116682	0.01082	0.0125183	0.0132944	0.0573259	0.262884	0.615682
a25	0.0279178	0.0199909	0.019243	0.022071	0.0280846	0.0183805	0.0257767	0.019845	0.0176928	0.0196095	0.071202	0.210229	0.499957
a87	0.00644354	0.00433491	0.00396353	0.00431397	0.0065112	0.00654253	0.0130751	0.0120998	0.0105956	0.0207586	0.085396	0.278662	0.547304
a23	0.0697944	0.0408568	0.0224387	0.014468	0.0103795	0.00557836	0.0102654	0.0115337	0.015173	0.039238	0.113384	0.244452	0.402439
a87	0.0869144	0.0406229	0.02375	0.0169728	0.0153618	0.00473868	0.0097396	0.0131202	0.0140795	0.033653	0.117798	0.249059	0.37419
</S>	0.00798877	0.00514928	0.00382812	0.00418118	0.00649639	0.00433698	0.0106646	0.0109451	0.0104301	0.0218718	0.086433	0.277947	0.549728
