 	j'	aiguise	la	machette	avant	d'	aller	en	forêt	</S>
a66	0.449969	0.214733	0.0877104	0.0742609	0.0449056	0.0367281	0.0349944	0.0215193	0.0174699	0.0177101
a87	0.527319	0.191828	0.0633579	0.0398844	0.0273534	0.0245702	0.0295964	0.0271613	0.0313259	0.0376035
a23	0.56898	0.21362	0.0633401	0.0336042	0.0241275	0.0153866	0.0132296	0.0145241	0.0207755	0.0324122
a40	0.382834	0.207054	0.0631519	0.0304587	0.0294558	0.0255345	0.0292894	0.0435819	0.0757134	0.112926
a36	0.466084	0.217716	0.0767607	0.0529606	0.0490554	0.0385151	0.0311901	0.0240846	0.0222118	0.0214211
a61	0.225888	0.42686	0.157033	0.052999	0.0364061	0.024385	0.0187661	0.018984	0.0194024	0.0192755
a96	0.226365	0.398703	0.176878	0.0616709	0.037875	0.0246526	0.0177906	0.0166393	0.0180766	0.0213488
a18	0.180402	0.310478	0.199138	0.0884609	0.0645243	0.0455527	0.0322681	0.0256582	0.0255944	0.0279223
a62	0.118504	0.18967	0.19447	0.111709	0.0879727	0.0701552	0.053583	0.0491452	0.057689	0.0671009
a12	0.113942	0.160356	0.178219	0.11497	0.102403	0.08359	0.0646478	0.0546561	0.0601903	0.0670249
a79	0.0769221	0.0892945	0.121976	0.120705	0.128906	0.120951	0.0959591	0.0754669	0.0802629	0.0895557
a44	0.0306606	0.0528285	0.0878909	0.105482	0.11849	0.130197	0.110331	0.0946128	0.122506	0.147
a90	0.0463679	0.0519409	0.0780778	0.126029	0.144185	0.130779	0.100507	0.0858333	0.106759	0.129522
a69	0.0433304	0.0533923	0.0870411	0.126109	0.146282	0.144335	0.102747	0.0828759	0.0992304	0.114656
a58	0.0338701	0.0382306	0.0706211	0.134578	0.161036	0.155439	0.119663	0.0882905	0.0947304	0.103541
a15	0.0195155	0.0178829	0.0319529	0.0678717	0.1341	0.160386	0.133035	0.115255	0.136469	0.183533
a92	0.0152782	0.0139702	0.0284696	0.0675567	0.122918	0.162578	0.146442	0.117204	0.138223	0.187359
a79	0.0106765	0.0100228	0.0234133	0.0734655	0.13258	0.180573	0.152598	0.118187	0.131523	0.166961
a94	0.0126393	0.0109881	0.0219122	0.0594153	0.121099	0.181675	0.166583	0.131241	0.12961	0.164838
a71	0.00721348	0.00598312	0.0110348	0.0341403	0.0872812	0.15653	0.173208	0.169083	0.158324	0.197202
a13	0.00810875	0.00588368	0.00806826	0.0170419	0.0407504	0.0783306	0.127221	0.174984	0.211086	0.328525
a30	0.0101024	0.00643916	0.00755566	0.0133549	0.026859	0.0516526	0.104961	0.183932	0.243212	0.351931
a4	0.0299366	0.0112938	0.0108031	0.0133656	0.0230957	0.042743	0.0909779	0.196265	0.266241	0.315279
a11	0.00113729	0.000930444	0.00224491	0.00592371	0.0147149	0.031505	0.0648466	0.172365	0.285494	0.420839
a13	0.00152664	0.00103217	0.00221778	0.0043441	0.00831346	0.0213781	0.0536821	0.183863	0.328193	0.395449
a83	0.00116103	0.000843858	0.00202821	0.00438365	0.00923956	0.0240166	0.0555754	0.176174	0.341458	0.385119
a71	0.00104442	0.000889629	0.00230177	0.00488523	0.00937444	0.0223684	0.0486727	0.163333	0.322002	0.425129
a53	0.00236316	0.00213487	0.00449343	0.00817407	0.0151677	0.0325181	0.0593926	0.162191	0.33105	0.382514
a7	0.000713451	0.000516072	0.00164425	0.00476399	0.0101126	0.0249708	0.0584267	0.180615	0.310024	0.408214
a84	0.000414721	0.000390957	0.00135149	0.00347134	0.00845188	0.0211289	0.0460524	0.155146	0.328238	0.435354
a58	0.00903619	0.0063471	0.0116311	0.0161107	0.0275873	0.0466861	0.0684261	0.165637	0.318901	0.329637
a82	0.0365051	0.0161374	0.0223971	0.0286331	0.0443612	0.0648031	0.0833888	0.162127	0.275582	0.266066
a87	0.129027	0.0469605	0.0358535	0.0384548	0.0484961	0.0627889	0.0793115	0.137938	0.209661	0.211509
</S>	0.196803	0.0928719	0.0464765	0.037611	0.0378769	0.0446305	0.0589328	0.107416	0.175539	0.201843
