 	attends-moi	j'	arrive	</S>
a10	0.728753	0.168634	0.0608227	0.0417895
a87	0.703422	0.174519	0.0693149	0.0527436
a23	0.589317	0.223807	0.105138	0.0817384
a53	0.594645	0.221565	0.0985467	0.085243
a94	0.699401	0.157342	0.0764785	0.0667787
a76	0.409859	0.311673	0.162817	0.115651
a41	0.234669	0.275674	0.292815	0.196842
a94	0.318357	0.280351	0.243655	0.157637
a24	0.314718	0.256493	0.241015	0.187775
a41	0.204824	0.206001	0.293169	0.296006
a12	0.194028	0.193431	0.281522	0.331019
a96	0.0892236	0.0956819	0.258279	0.556816
a4	0.070135	0.0762687	0.216116	0.637481
a98	0.0511511	0.0562772	0.191741	0.700831
a50	0.033092	0.0449066	0.189153	0.732848
a24	0.0431219	0.0524605	0.194537	0.70988
a62	0.0422538	0.0551693	0.207432	0.695145
a21	0.0412949	0.0545297	0.208647	0.695529
a41	0.0258445	0.0403978	0.182331	0.751427
a73	0.0176235	0.0319471	0.181495	0.768935
a84	0.0176568	0.0369672	0.185008	0.760368
a57	0.0582509	0.084648	0.233138	0.623964
a87	0.193734	0.115045	0.187273	0.503948
</S>	0.212419	0.151444	0.211647	0.424489
