 	le	père	fait	suivre	le	chemin	de	l'	école	à	ses	enfants	</S>
a66	0.253992	0.250354	0.165547	0.11169	0.0427358	0.0350597	0.0347924	0.027157	0.0237756	0.0170132	0.0129314	0.0122693	0.0126816
a87	0.360103	0.280627	0.140117	0.0724873	0.0239943	0.0142847	0.0153871	0.0145886	0.0147088	0.0144752	0.0140639	0.0167914	0.0183718
a23	0.508589	0.194176	0.135828	0.0494138	0.0134114	0.00494619	0.00418759	0.00474513	0.00566887	0.00791908	0.0115253	0.0230679	0.0365212
a87	0.303243	0.112506	0.119202	0.0984534	0.0274454	0.0124055	0.0158005	0.0208537	0.0269876	0.0344439	0.0408659	0.0714873	0.116306
a23	0.282414	0.100564	0.105	0.103876	0.0455635	0.0234475	0.0307826	0.0361781	0.0436454	0.0479852	0.0501092	0.0586933	0.0717409
a40	0.182462	0.0629252	0.0821577	0.166158	0.0596139	0.0223309	0.0342554	0.04486	0.0552112	0.0621207	0.0622691	0.0744793	0.0911562
a47	0.124238	0.132264	0.17095	0.285019	0.0777377	0.036605	0.0326667	0.0257613	0.0238112	0.0239465	0.0208497	0.0220476	0.0241035
a44	0.0742397	0.125659	0.159941	0.314579	0.17227	0.0370223	0.0232607	0.0161216	0.0141245	0.0148336	0.0137591	0.0162173	0.0179722
a37	0.0781429	0.11302	0.165038	0.341818	0.189991	0.0398211	0.0224295	0.0117462	0.00882429	0.0074428	0.00642564	0.00729875	0.00800189
a44	0.061907	0.11344	0.155553	0.311467	0.208632	0.0570291	0.0328677	0.0164624	0.0115436	0.00839374	0.00691723	0.00759282	0.00819486
a11	0.0592316	0.117832	0.152527	0.241955	0.238232	0.0778941	0.0419904	0.0198611	0.0133933	0.00958649	0.00818228	0.00921012	0.0101061
a54	0.0428084	0.0826871	0.106641	0.189198	0.28853	0.12928	0.0646591	0.0268843	0.0171032	0.0122135	0.0112535	0.0135771	0.015164
a44	0.0257478	0.0503026	0.0538822	0.0935499	0.229171	0.146653	0.11055	0.0776703	0.0600041	0.0429397	0.033881	0.0353005	0.040348
a54	0.0391275	0.0666743	0.0659177	0.0776729	0.185191	0.165022	0.121183	0.0740303	0.052299	0.0364589	0.0325146	0.0387121	0.045197
a47	0.0152078	0.0243248	0.0223568	0.0310909	0.0815472	0.115927	0.124526	0.120871	0.10707	0.0931405	0.0816837	0.084913	0.097342
a7	0.00859863	0.0104301	0.00827275	0.012523	0.0565726	0.150554	0.162993	0.131786	0.0995519	0.0758892	0.0739193	0.0915423	0.117366
a93	0.00864458	0.0077231	0.00639555	0.00666228	0.0242872	0.103784	0.156755	0.150962	0.120305	0.0857656	0.0797972	0.107787	0.141131
a56	0.0184753	0.0199305	0.0172324	0.0152944	0.0314413	0.105517	0.154413	0.157253	0.128154	0.0926839	0.0727424	0.0863743	0.100488
a21	0.00732273	0.0077563	0.00658141	0.00619827	0.0124081	0.0492534	0.0993456	0.143658	0.144338	0.141094	0.123476	0.124507	0.134061
a5	0.00253202	0.00277893	0.00245507	0.0028745	0.00667117	0.0272406	0.0614176	0.101074	0.114139	0.142761	0.162229	0.182596	0.19123
a18	0.00102655	0.00117815	0.00105551	0.00128305	0.00383648	0.0149502	0.0378963	0.0750782	0.0955204	0.133554	0.174488	0.212734	0.247399
a27	0.000611985	0.000506193	0.000440944	0.000493346	0.00161416	0.00477476	0.0127987	0.032512	0.0568255	0.108743	0.194733	0.266069	0.319878
a90	0.00137804	0.000780712	0.000523614	0.000444295	0.000836136	0.0029075	0.0100406	0.0275946	0.0516367	0.097218	0.187916	0.27758	0.341143
a79	0.000117422	8.94468e-05	6.07055e-05	5.99712e-05	0.000283131	0.00131268	0.00448058	0.0135068	0.0267423	0.0710207	0.187134	0.300911	0.394281
a44	5.61744e-05	4.23791e-05	2.79993e-05	3.03753e-05	0.000225946	0.00159115	0.0053093	0.0146621	0.0250571	0.0611917	0.167094	0.307524	0.417187
a58	6.45608e-05	5.12213e-05	3.2173e-05	2.5894e-05	0.00017002	0.00102883	0.00321086	0.00965352	0.0190864	0.0510607	0.157787	0.308396	0.449433
a82	0.000569532	0.000324652	0.000203194	0.000133592	0.000769373	0.00362619	0.0102449	0.0236132	0.0381928	0.0691149	0.152769	0.266648	0.433791
a87	0.0113661	0.00740308	0.00448915	0.00300273	0.006407	0.0121859	0.0182269	0.0324515	0.0445843	0.0725429	0.150153	0.241875	0.395312
a23	0.20862	0.142258	0.067529	0.0218471	0.0200379	0.0266166	0.0309008	0.0446995	0.0536112	0.0638041	0.0723663	0.0994456	0.148264
a87	0.0770224	0.0415038	0.0231749	0.00891711	0.00970683	0.0170506	0.0236944	0.0394563	0.0506725	0.0851956	0.135099	0.210039	0.278467
</S>	0.028431	0.0146422	0.00824844	0.00501414	0.00469346	0.00643193	0.00973928	0.0200524	0.028782	0.0592755	0.129548	0.275489	0.409652
