 	j'	ai	échappé	à	la	mort	pendant	la	guerre	</S>
a82	0.187419	0.0935455	0.0911499	0.136259	0.14688	0.133391	0.0675514	0.0483613	0.0459874	0.0494559
a38	0.243104	0.15897	0.148003	0.111914	0.0757311	0.0499786	0.0409487	0.0473934	0.0542307	0.0697257
a70	0.332468	0.225308	0.153424	0.111764	0.0580063	0.0356429	0.0180366	0.0163735	0.0206589	0.0283179
a75	0.281417	0.192225	0.133917	0.133037	0.0751819	0.0565796	0.0277319	0.02799	0.0330391	0.0388811
a85	0.304306	0.23775	0.135295	0.0981086	0.0550666	0.0488735	0.0266198	0.02765	0.031148	0.035182
a73	0.333126	0.281455	0.13684	0.101312	0.0527322	0.0410354	0.0152678	0.0115315	0.0125335	0.0141679
a79	0.183308	0.193001	0.169911	0.172324	0.102707	0.06893	0.0287423	0.0227557	0.0265974	0.0317256
a25	0.1519	0.181218	0.197088	0.158964	0.0976027	0.0644905	0.0319601	0.0269322	0.0385356	0.051308
a92	0.0988318	0.119406	0.187554	0.184484	0.142914	0.0950449	0.0465977	0.0315927	0.0404457	0.0531297
a85	0.0676852	0.0870502	0.178397	0.202045	0.148874	0.0969311	0.052548	0.0391983	0.0539556	0.0733159
a5	0.0445185	0.0589265	0.144044	0.185775	0.154773	0.12005	0.0830567	0.0568989	0.0659093	0.0860492
a21	0.0429239	0.0536734	0.133771	0.168013	0.167413	0.144461	0.0898449	0.0555019	0.0634087	0.0809902
a61	0.0289423	0.0338393	0.0843074	0.135954	0.171579	0.171557	0.131738	0.0800722	0.0756605	0.0863506
a37	0.0173943	0.0196356	0.0520806	0.097833	0.17646	0.201111	0.143847	0.0742958	0.0913487	0.125993
a56	0.0147181	0.0165255	0.0408281	0.0772184	0.148486	0.199212	0.163973	0.0880489	0.105153	0.145837
a43	0.0122366	0.0138872	0.031376	0.0611587	0.123925	0.197408	0.2032	0.1087	0.109472	0.138636
a75	0.00869018	0.00937802	0.0210533	0.0434875	0.0918704	0.163379	0.221064	0.141883	0.132808	0.166387
a85	0.00862411	0.00933394	0.0228152	0.0467735	0.0824585	0.127737	0.216241	0.148276	0.152714	0.185025
a37	0.00662595	0.00694623	0.016708	0.0331217	0.0619856	0.10875	0.225877	0.160808	0.172419	0.206759
a61	0.00645517	0.00647506	0.0153003	0.0280135	0.0455637	0.0726802	0.14068	0.129141	0.216768	0.338923
a47	0.0051808	0.0053063	0.0113272	0.0209798	0.0365985	0.0604415	0.11239	0.137487	0.247599	0.36269
a21	0.0074649	0.006838	0.0131414	0.024572	0.0346152	0.0533379	0.0963202	0.154013	0.261997	0.347701
a85	0.00373158	0.00373791	0.00868622	0.016723	0.0266599	0.0411462	0.0848042	0.154617	0.288187	0.371707
a47	0.00559301	0.00549839	0.0122087	0.0232103	0.0325232	0.0433695	0.0874413	0.145904	0.284867	0.359385
a36	0.00816812	0.00804545	0.0144701	0.0236714	0.0303001	0.0425772	0.0875397	0.149574	0.277639	0.358015
a26	0.0234442	0.0198018	0.0242112	0.0456563	0.0417856	0.0451622	0.0768546	0.125139	0.243787	0.354158
a38	0.107629	0.0680267	0.0645074	0.103065	0.0820465	0.0719953	0.0796477	0.0904823	0.143159	0.189441
a3	0.136219	0.0779112	0.0656992	0.0923345	0.077065	0.0705797	0.0891921	0.104362	0.129297	0.15734
a97	0.217114	0.11408	0.101241	0.0950522	0.0593123	0.0486281	0.0613127	0.0798602	0.102351	0.121049
a3	0.247369	0.125051	0.0988665	0.0895648	0.0661492	0.0710871	0.0761878	0.0803544	0.0752566	0.0701131
a82	0.202734	0.123706	0.123368	0.11688	0.0871973	0.0829928	0.0616207	0.0660378	0.069073	0.06639
</S>	0.175237	0.113958	0.151684	0.141562	0.0860498	0.0740098	0.0512581	0.05509	0.0706959	0.0804564
