 	ils	s'	arrêtèrent	en	bordure	du	village	</S>
a23	0.313024	0.138871	0.110583	0.0799936	0.0607337	0.0550667	0.0992132	0.142515
a40	0.382631	0.158617	0.0700252	0.0436555	0.0320792	0.0523793	0.0971275	0.163485
a15	0.0672364	0.0352471	0.0429125	0.0774825	0.123166	0.162261	0.20267	0.289025
a7	0.386782	0.17153	0.127654	0.0716842	0.0431671	0.0469332	0.0617138	0.090536
a98	0.38109	0.199343	0.145543	0.0755855	0.0309892	0.0363276	0.0514801	0.0796418
a47	0.163761	0.128246	0.164314	0.15419	0.0990354	0.0870079	0.0898249	0.113621
a0	0.178092	0.177738	0.234139	0.131198	0.055016	0.0590849	0.072301	0.0924309
a11	0.240174	0.236584	0.23087	0.114259	0.0425046	0.0390504	0.0435238	0.053034
a25	0.275993	0.253215	0.207156	0.106697	0.0389515	0.0349071	0.0383066	0.0447735
a37	0.249836	0.224733	0.207822	0.138226	0.0546449	0.0386995	0.0397415	0.0462957
a25	0.210519	0.15464	0.154278	0.17787	0.0973318	0.0656736	0.0661754	0.0735114
a69	0.10328	0.0784393	0.100793	0.181424	0.190852	0.115422	0.106327	0.123463
a84	0.0519719	0.0399288	0.0484658	0.128326	0.213477	0.167307	0.165455	0.185069
a75	0.0350967	0.0272158	0.0382288	0.0896138	0.175946	0.155484	0.18873	0.289685
a21	0.0293575	0.0228422	0.0365078	0.0941143	0.248688	0.19667	0.174249	0.197572
a75	0.018199	0.0131885	0.0206209	0.0609788	0.249406	0.256214	0.195953	0.18544
a85	0.0112924	0.00800724	0.0148266	0.0567018	0.210829	0.263721	0.215543	0.219079
a47	0.0128193	0.00922957	0.0182523	0.0537127	0.154713	0.246816	0.223976	0.280481
a2	0.0148986	0.0103385	0.0142813	0.0306988	0.0967389	0.188254	0.244714	0.400076
a4	0.00673465	0.00602457	0.00558557	0.0136345	0.0387975	0.10109	0.244425	0.583708
a13	0.00441486	0.00308555	0.00232677	0.00867436	0.0284293	0.0962199	0.251912	0.604937
a3	0.00668921	0.00369266	0.00221035	0.00739209	0.0361113	0.0979846	0.249612	0.596308
a87	0.0397454	0.0214416	0.0140096	0.0305982	0.076606	0.120255	0.239481	0.457863
a23	0.296763	0.135991	0.0494764	0.0524214	0.0507566	0.0743109	0.132418	0.207862
a87	0.0360477	0.014315	0.00959504	0.0268092	0.0851038	0.205916	0.287431	0.334782
</S>	0.00916197	0.00537511	0.00531711	0.0190909	0.0655048	0.210942	0.301649	0.382959
