 	sa	fille	est	bavarde	</S>
a66	0.526676	0.329543	0.10168	0.023001	0.0191003
a87	0.747551	0.202125	0.0377791	0.00601793	0.00652628
a23	0.703334	0.234113	0.0417909	0.00889635	0.0118659
a79	0.531116	0.223319	0.0971291	0.0625775	0.0858578
a6	0.472255	0.242188	0.110606	0.0940156	0.080935
a15	0.236209	0.259783	0.249542	0.141528	0.112938
a79	0.267703	0.316382	0.28488	0.0827088	0.0483263
a44	0.182715	0.277901	0.315201	0.135677	0.0885062
a96	0.179682	0.204043	0.197314	0.215551	0.20341
a34	0.181259	0.187266	0.157624	0.221284	0.252566
a5	0.137228	0.173584	0.160526	0.244859	0.283803
a37	0.0606724	0.105395	0.13781	0.289999	0.406123
a90	0.0610491	0.0984989	0.133407	0.269481	0.437564
a69	0.0260441	0.0621197	0.135858	0.314369	0.461608
a58	0.0126963	0.02739	0.0787132	0.293831	0.58737
a69	0.00405336	0.00608015	0.0211719	0.197115	0.771579
a44	0.00324702	0.00614793	0.0257311	0.174007	0.790867
a53	0.00284503	0.00501848	0.0226452	0.16162	0.807872
a69	0.00341886	0.0057959	0.0232963	0.150491	0.816997
a58	0.00187678	0.00395755	0.0213745	0.145271	0.82752
a82	0.00211584	0.00334855	0.0145629	0.175261	0.804712
a87	0.0701326	0.0440189	0.0572953	0.244242	0.584312
a23	0.492579	0.223325	0.118839	0.0652849	0.0999717
a87	0.407596	0.227353	0.162289	0.0740411	0.128721
</S>	0.18596	0.157978	0.205244	0.154709	0.296108
