 	du	marché	il	est	passé	droit	à	l'	église	</S>
a66	0.352282	0.230451	0.121746	0.0882034	0.0583749	0.0579604	0.0363332	0.0234263	0.0173769	0.0138456
a87	0.304711	0.155161	0.0897432	0.0743015	0.049851	0.0558806	0.0684254	0.0564232	0.0655936	0.0799105
a23	0.334068	0.143701	0.0719269	0.0563257	0.0545754	0.0439146	0.0530556	0.0575795	0.0729606	0.111893
a87	0.349579	0.219836	0.100727	0.0743641	0.0778349	0.053802	0.033458	0.0292539	0.0297699	0.0313746
a97	0.281127	0.179087	0.0874864	0.0754233	0.0995999	0.0603864	0.051255	0.0490119	0.0558006	0.0608225
a87	0.25154	0.161521	0.0964499	0.080789	0.0920697	0.0529292	0.05159	0.0550867	0.0691717	0.088853
a97	0.208394	0.153452	0.0944861	0.076732	0.0871071	0.0542763	0.0569098	0.0665644	0.0888147	0.113264
a87	0.217318	0.178407	0.121559	0.0974915	0.0881887	0.0469363	0.0433314	0.0511842	0.0677036	0.0878794
a97	0.211805	0.164187	0.10735	0.0803038	0.0742861	0.0465418	0.0465758	0.0589123	0.085102	0.124936
a23	0.252324	0.193493	0.118377	0.0861121	0.0585092	0.0374629	0.0335963	0.0455306	0.0693857	0.105209
a53	0.276861	0.206667	0.125105	0.086987	0.0423737	0.0462295	0.0415299	0.0513981	0.0638564	0.0589929
a79	0.367455	0.331097	0.151176	0.0536461	0.023785	0.0123037	0.00999056	0.0138637	0.0183639	0.0183196
a56	0.270673	0.298734	0.185264	0.0806211	0.0539571	0.0340617	0.0179806	0.0185388	0.0209494	0.0192202
a25	0.204668	0.255304	0.19786	0.113524	0.0944201	0.0607346	0.0252301	0.0181693	0.0159185	0.0141714
a90	0.147761	0.203634	0.198723	0.136292	0.111491	0.0752835	0.0394154	0.0293661	0.0276756	0.0303589
a69	0.118678	0.158624	0.17925	0.165173	0.166101	0.10109	0.0415125	0.025765	0.0215318	0.0222745
a56	0.0912301	0.124449	0.15725	0.170987	0.177223	0.11943	0.0560788	0.0351758	0.0310826	0.0370937
a75	0.103606	0.134661	0.163023	0.169051	0.195086	0.110981	0.0479161	0.0270475	0.0221707	0.0264579
a5	0.0374142	0.0720878	0.129694	0.179021	0.211768	0.129939	0.0899932	0.0647281	0.0449544	0.0403999
a36	0.0422728	0.0719901	0.119613	0.171347	0.235005	0.149479	0.0858115	0.0535156	0.0361917	0.0347736
a75	0.0228047	0.0373499	0.0762823	0.163006	0.261055	0.189534	0.100931	0.0568217	0.0433372	0.0488787
a85	0.00807181	0.0158611	0.0395345	0.0996573	0.191834	0.166854	0.140891	0.130132	0.109866	0.0972979
a5	0.00854206	0.0156698	0.0400554	0.100423	0.193225	0.181101	0.13931	0.122744	0.106593	0.0923376
a37	0.0114354	0.02039	0.0483255	0.115337	0.20112	0.197482	0.132879	0.10462	0.0855493	0.0828612
a21	0.0096866	0.0146004	0.033371	0.0943798	0.182363	0.244263	0.153272	0.0988245	0.0767483	0.0924905
a12	0.0126183	0.0161451	0.0288304	0.0612171	0.127677	0.180139	0.155303	0.13828	0.136322	0.143468
a18	0.00675303	0.0103372	0.0241144	0.0599645	0.130856	0.199595	0.170431	0.132946	0.116401	0.148602
a54	0.00612524	0.00732375	0.0151981	0.0328358	0.063993	0.147201	0.176423	0.178684	0.149922	0.222295
a47	0.00481402	0.00639208	0.0134927	0.0345424	0.0605981	0.0907351	0.105198	0.145524	0.225159	0.313546
a36	0.00760275	0.00970857	0.017767	0.0383289	0.0612798	0.101661	0.130799	0.144168	0.181424	0.307261
a26	0.0119593	0.0118841	0.0185576	0.0391721	0.0658632	0.0909858	0.104627	0.131019	0.152305	0.373627
a4	0.0153136	0.0140375	0.019963	0.0356597	0.04294	0.0836476	0.105561	0.150252	0.206567	0.326059
a53	0.00606606	0.00576999	0.00965711	0.0191154	0.0301531	0.0551247	0.0881668	0.158465	0.206564	0.420918
a4	0.00207029	0.00249071	0.00500936	0.0127935	0.0213064	0.0420024	0.0883392	0.18026	0.246962	0.398766
a75	0.0011957	0.0015228	0.00364422	0.0106691	0.0174951	0.0362172	0.0756458	0.171267	0.271801	0.410542
a5	0.00133019	0.00166329	0.00347714	0.0106229	0.0190917	0.0399899	0.0896631	0.162989	0.243551	0.427621
a18	0.00105693	0.00125876	0.00282137	0.00735327	0.0144386	0.0291926	0.0615526	0.145059	0.273913	0.463354
a54	0.000406159	0.000400328	0.000881653	0.00244862	0.00338091	0.00894493	0.0256437	0.0841007	0.237664	0.636129
a36	0.000541672	0.000608584	0.00125545	0.00409876	0.00740909	0.0136332	0.0316794	0.0806225	0.214007	0.646145
a37	0.000360068	0.000310494	0.000556226	0.0013992	0.0021928	0.00499153	0.01586	0.0564562	0.194313	0.72356
a26	0.000659674	0.000591995	0.00111079	0.00246016	0.00326576	0.00797833	0.0226604	0.0707705	0.22581	0.664692
a66	0.00764071	0.00643787	0.00859772	0.010112	0.00925878	0.0199829	0.0526373	0.101068	0.240695	0.54357
a71	0.015997	0.0128967	0.0167853	0.0184474	0.0180803	0.0304612	0.0630642	0.10724	0.228272	0.488757
a9	0.0179656	0.0145954	0.0190265	0.0206042	0.0182298	0.0277006	0.0633732	0.111567	0.231289	0.475649
a97	0.0699186	0.0380918	0.03568	0.0295259	0.022332	0.0280318	0.0706212	0.113553	0.210331	0.381915
a3	0.0945431	0.0439641	0.0357849	0.0340211	0.0303949	0.0375344	0.0893477	0.135794	0.208838	0.289777
a97	0.0597929	0.0263385	0.016966	0.0208536	0.0225486	0.0404469	0.115692	0.147635	0.214034	0.335693
a87	0.0519054	0.0219154	0.0172537	0.030292	0.0387279	0.065053	0.124242	0.133758	0.177611	0.33924
a97	0.0414953	0.020068	0.0148229	0.0294331	0.0388488	0.063055	0.119142	0.129036	0.178146	0.365954
a84	0.0487628	0.0228993	0.0170495	0.0360995	0.046348	0.0697134	0.119836	0.123251	0.172527	0.343514
</S>	0.0445695	0.0208669	0.0165926	0.0338978	0.0429309	0.0608856	0.106469	0.119407	0.178026	0.376355
