 	seigneur	ait	pitié	de	nous	</S>
a66	0.489433	0.343168	0.0893885	0.0417704	0.0200805	0.0161597
a87	0.475701	0.289622	0.114552	0.0587667	0.0350764	0.0262814
a23	0.390666	0.375975	0.140373	0.0402186	0.0280914	0.0246757
a53	0.494153	0.288916	0.112789	0.032237	0.0303101	0.0415947
a4	0.500198	0.361487	0.0825776	0.0290353	0.015088	0.0116142
a53	0.450131	0.366106	0.112257	0.0411579	0.0189886	0.0113589
a90	0.360634	0.376848	0.157305	0.0567725	0.02817	0.0202704
a56	0.239227	0.336505	0.211235	0.1104	0.0552653	0.0473672
a12	0.206797	0.251446	0.209062	0.146618	0.0990026	0.0870753
a96	0.18445	0.223717	0.175946	0.149835	0.135989	0.130062
a75	0.198685	0.239788	0.163772	0.129745	0.122154	0.145856
a85	0.0712856	0.09545	0.147252	0.211015	0.242217	0.232781
a5	0.0387091	0.0566314	0.119547	0.201079	0.261144	0.322889
a43	0.0441747	0.0414508	0.0757025	0.167117	0.26099	0.410565
a31	0.0218706	0.0172842	0.0368153	0.110704	0.274033	0.539293
a61	0.0091504	0.00796386	0.0181574	0.0656627	0.258791	0.640275
a47	0.00806114	0.00758659	0.0165214	0.0597699	0.242307	0.665754
a96	0.00660841	0.00847894	0.0221487	0.0637603	0.205373	0.693631
a37	0.00489418	0.00936351	0.0301541	0.0685857	0.194586	0.692416
a26	0.00382113	0.00766681	0.0308663	0.0705126	0.198028	0.689106
a9	0.0386609	0.0447174	0.082361	0.129723	0.228675	0.475863
a99	0.287806	0.1752	0.0998672	0.0908758	0.121319	0.224931
a87	0.328545	0.215311	0.10301	0.0787252	0.106493	0.167915
a23	0.291033	0.23847	0.130884	0.0821437	0.0983875	0.159082
a87	0.0703141	0.0683456	0.0810079	0.0715218	0.167799	0.541012
a97	0.0107467	0.0150655	0.0328753	0.0664213	0.227272	0.647619
</S>	0.0910402	0.15732	0.144106	0.120698	0.186065	0.30077
