 	il	grimpe	sur	un	palmier	à	l'	aide	d'	une	ceinture	de	corde	ou	de	liane	</S>
a66	0.150163	0.10719	0.101784	0.112107	0.11114	0.109376	0.11765	0.0673882	0.0342854	0.0267642	0.0209218	0.0119483	0.00828988	0.00555977	0.00483057	0.00514595	0.00545644
a87	0.200971	0.140003	0.0984849	0.107148	0.105765	0.0995102	0.0896471	0.0613585	0.0186722	0.0104974	0.00664418	0.00576354	0.00691782	0.00775202	0.010112	0.0139155	0.0168378
a23	0.239234	0.186243	0.110462	0.101468	0.0757818	0.0638689	0.0473746	0.0363749	0.0213122	0.0151201	0.0124907	0.0105128	0.0118333	0.0135636	0.0136868	0.0181869	0.022487
a79	0.188319	0.131421	0.130926	0.131903	0.099082	0.0580396	0.0327903	0.0216542	0.0123	0.00809508	0.00552002	0.00686804	0.0116679	0.0187341	0.0279341	0.0445623	0.0701826
a20	0.130793	0.0817141	0.0823845	0.0899832	0.0814955	0.0621163	0.050555	0.0490341	0.0247507	0.0174848	0.0175868	0.0180234	0.0301651	0.0451638	0.0581409	0.0717275	0.0888813
a69	0.0968576	0.0736878	0.0819899	0.0869278	0.082908	0.0729387	0.0826278	0.101372	0.0454108	0.0281522	0.0272255	0.0255326	0.0320286	0.0346365	0.0373237	0.045432	0.0449489
a90	0.110443	0.0545789	0.0691377	0.077731	0.0650443	0.069081	0.105921	0.135452	0.0705581	0.0482034	0.0454285	0.0289608	0.0296478	0.0196595	0.0217385	0.0262751	0.0221402
a25	0.0517682	0.0362625	0.0478568	0.0550682	0.0590031	0.0694631	0.101381	0.171148	0.125166	0.0817779	0.0556142	0.0301197	0.02554	0.0188179	0.0219856	0.0251412	0.0238866
a92	0.0264353	0.0241256	0.0300119	0.0325471	0.0434581	0.0529925	0.0744144	0.158101	0.151504	0.105305	0.0736412	0.0471437	0.0334101	0.0284129	0.0352107	0.0403085	0.0429782
a85	0.0386717	0.029762	0.0368462	0.0385408	0.0437982	0.0451318	0.0558649	0.134685	0.157343	0.12289	0.0950037	0.0517384	0.0308786	0.0255978	0.0268872	0.0323255	0.0340349
a5	0.0151325	0.0185497	0.0247579	0.0278205	0.0403223	0.0396003	0.0429579	0.1232	0.174217	0.126418	0.0960195	0.0658527	0.0454747	0.0379333	0.0366066	0.0415591	0.043579
a24	0.0354908	0.0456142	0.063131	0.0733624	0.0893989	0.0824411	0.0729545	0.0923476	0.119072	0.0932532	0.0733322	0.0407713	0.026338	0.0220278	0.0215907	0.0239588	0.0249156
a31	0.0106869	0.0246157	0.0244258	0.0275131	0.0368036	0.0293934	0.0283794	0.0351848	0.133083	0.142994	0.121186	0.0764786	0.044899	0.0450757	0.0545604	0.0727134	0.0920069
a88	0.00803458	0.0157012	0.0162614	0.0188469	0.0278134	0.0238513	0.025599	0.0350355	0.136061	0.154569	0.121538	0.0738137	0.0415173	0.0443226	0.0587195	0.083572	0.114744
a31	0.0232699	0.0378904	0.0365814	0.0376923	0.0395355	0.0301189	0.0259496	0.0267479	0.0910397	0.118378	0.0990658	0.0751563	0.0478224	0.0485108	0.0598635	0.0862281	0.116149
a21	0.0141849	0.0235084	0.0243023	0.0267448	0.0342174	0.0284185	0.028761	0.0379135	0.102765	0.127751	0.118766	0.10011	0.0670163	0.0604406	0.0577323	0.069225	0.0781429
a85	0.0102485	0.0173051	0.0171924	0.0194377	0.0264945	0.0239998	0.0267295	0.0342095	0.0891022	0.106897	0.10889	0.0942055	0.0709341	0.0747658	0.0791749	0.0913763	0.109037
a6	0.00370555	0.00600396	0.00532766	0.00543944	0.0060363	0.00494192	0.0043744	0.00561578	0.0315898	0.051593	0.086051	0.113054	0.0813852	0.108085	0.125056	0.154128	0.207613
a25	0.00267743	0.00607815	0.00454739	0.00428452	0.0044859	0.00317162	0.00241617	0.0026644	0.0125809	0.0197474	0.0375867	0.0702458	0.0756571	0.13899	0.161795	0.18482	0.268252
a56	0.00238805	0.00553602	0.00346493	0.00295035	0.0027027	0.00181139	0.00130466	0.00162763	0.00810031	0.0118393	0.021446	0.046083	0.0558014	0.145132	0.188712	0.204819	0.296282
a41	0.00202386	0.00423358	0.00223238	0.00185722	0.00190189	0.00122531	0.000833166	0.00107335	0.00532628	0.00844101	0.0139105	0.0253627	0.037937	0.133404	0.198159	0.236734	0.325345
a25	0.00336384	0.00542597	0.00321969	0.00268959	0.00246861	0.00177167	0.0013459	0.00134665	0.00488622	0.00724039	0.0134341	0.0261163	0.0414407	0.128386	0.18119	0.235341	0.340334
a69	0.000936271	0.00143927	0.000663214	0.0005128	0.000494355	0.000314017	0.000218961	0.000423954	0.00292459	0.00419072	0.00618074	0.0146443	0.0270307	0.104304	0.174414	0.260949	0.400359
a58	0.00183561	0.00310714	0.0015767	0.00131561	0.0011008	0.000717986	0.000481896	0.000661061	0.00379286	0.00548774	0.00768152	0.0169295	0.0277934	0.0970724	0.161486	0.260723	0.408238
a82	0.00210007	0.00334599	0.00180253	0.00158143	0.00120446	0.000896845	0.000702889	0.00096676	0.00421138	0.00606597	0.00943264	0.0214182	0.0376783	0.101521	0.153486	0.254876	0.398709
a87	0.042041	0.0263102	0.0222868	0.0276299	0.0240887	0.0223653	0.0213082	0.0223303	0.0278436	0.0305919	0.0342099	0.0462357	0.0485824	0.0791291	0.105789	0.156376	0.262883
a23	0.203869	0.123526	0.0569968	0.0553968	0.0445264	0.0519231	0.0713747	0.0910139	0.0628906	0.0441677	0.033044	0.0240942	0.0215825	0.0229092	0.0243053	0.0314059	0.036974
a87	0.0546987	0.0363883	0.012844	0.0106209	0.00930905	0.0109672	0.0139632	0.023991	0.0343893	0.030974	0.0307144	0.057517	0.0899705	0.138366	0.147143	0.14918	0.148963
</S>	0.00582689	0.00456983	0.00139124	0.0012127	0.00103486	0.00126135	0.00211025	0.00640289	0.0139783	0.0131316	0.0172785	0.0388356	0.0634788	0.155392	0.200563	0.23217	0.241363
