 	ngolo	et	obateme	se	sont	mariés	avec	deux	filles	de	la	même	famille	</S>
a66	0.133325	0.147778	0.123802	0.0733742	0.0788422	0.0742364	0.0984214	0.0915209	0.0755998	0.0393068	0.0248667	0.0160771	0.0122695	0.0105796
a87	0.163164	0.172576	0.165878	0.0940965	0.0668873	0.0577841	0.0453301	0.0438187	0.0363566	0.0273736	0.0294268	0.0332864	0.0299257	0.0340962
a23	0.345353	0.312236	0.164377	0.0734676	0.040179	0.0135849	0.0066556	0.00482387	0.00370832	0.00406276	0.00556855	0.00655749	0.00705481	0.0123713
a87	0.394498	0.314986	0.104564	0.0534277	0.030479	0.0214077	0.00961063	0.00757432	0.00605842	0.00669718	0.00842207	0.0100929	0.0108918	0.02129
a23	0.414668	0.361908	0.0954461	0.0497105	0.0225459	0.0117579	0.00537519	0.00521707	0.00457058	0.00513589	0.00580253	0.00546492	0.004857	0.00753963
a99	0.398872	0.319471	0.102503	0.0483843	0.0231305	0.0112879	0.00674762	0.00590937	0.00700082	0.00932762	0.01269	0.0154448	0.0156039	0.0236266
a30	0.256043	0.269332	0.154229	0.0618122	0.0279563	0.0144179	0.00819809	0.00845688	0.0105861	0.0152931	0.0267588	0.0394049	0.0447457	0.0627654
a93	0.333975	0.308306	0.16786	0.0469949	0.0189458	0.00875144	0.00505437	0.00556604	0.00643353	0.00829094	0.0156552	0.022742	0.0225638	0.0288607
a56	0.285666	0.144265	0.140716	0.0601909	0.0472195	0.0291447	0.0212379	0.0267606	0.0239294	0.0178437	0.0281099	0.0463979	0.0554161	0.0731015
a44	0.207184	0.138156	0.203685	0.119297	0.0812315	0.0520937	0.0325687	0.0338113	0.024464	0.0150228	0.0175972	0.0215754	0.0232241	0.0300887
a98	0.123077	0.0880557	0.129068	0.145784	0.116444	0.0931337	0.0655565	0.0654226	0.0450841	0.0245314	0.0232689	0.0241289	0.0254712	0.030974
a47	0.0648356	0.0472525	0.0814188	0.104045	0.110377	0.106396	0.0933929	0.0959779	0.0861233	0.0506412	0.0416607	0.0386346	0.0395444	0.0397004
