 	cet	homme	est	marié	à	huit	femmes	</S>
a66	0.432663	0.333683	0.134422	0.0607383	0.0166147	0.00761386	0.00626202	0.0080028
a87	0.453885	0.338479	0.11738	0.0512959	0.0142737	0.00657515	0.00680784	0.0113032
a23	0.517569	0.313792	0.101468	0.0343103	0.00779164	0.00657316	0.00780124	0.0106947
a83	0.331411	0.269688	0.135873	0.120088	0.036126	0.029053	0.0303136	0.0474473
a54	0.422034	0.259397	0.158183	0.072834	0.0235546	0.0230846	0.0176221	0.0232909
a6	0.204525	0.257499	0.246424	0.136893	0.0511878	0.0481071	0.0268464	0.0285176
a43	0.119065	0.210307	0.287617	0.233861	0.102641	0.0258264	0.0104369	0.0102453
a61	0.149809	0.224204	0.258503	0.238482	0.0943713	0.0203138	0.0078646	0.00645166
a75	0.164581	0.207663	0.245673	0.261993	0.0790888	0.0211408	0.0109315	0.00892854
a6	0.0834115	0.140901	0.228746	0.331588	0.137719	0.0374093	0.0225506	0.0176747
a37	0.0645445	0.0940782	0.174932	0.378152	0.168257	0.0580329	0.0345804	0.0274229
a85	0.103078	0.106878	0.16262	0.276902	0.159493	0.0770576	0.0585288	0.0554424
a6	0.0210091	0.02143	0.0563949	0.179942	0.284951	0.17607	0.14311	0.117094
a0	0.0199053	0.0181866	0.0391454	0.0987082	0.242551	0.212077	0.198976	0.17045
a56	0.00286489	0.00153438	0.00231678	0.00928774	0.0500215	0.138071	0.349649	0.446255
a61	0.00293486	0.00172432	0.00225011	0.00650208	0.0392432	0.101963	0.361043	0.48434
a34	0.00134334	0.000775452	0.00100565	0.00309307	0.0155592	0.0442636	0.308741	0.625219
a98	0.000703985	0.000405842	0.000528921	0.0019267	0.0103731	0.0352481	0.304872	0.645941
a47	0.000119965	6.3212e-05	0.000106561	0.000694443	0.00736425	0.0356082	0.288268	0.667776
a7	0.000177185	7.76285e-05	0.00011596	0.000803328	0.0133349	0.0551416	0.337136	0.593214
a44	0.00657331	0.00407499	0.00279345	0.00373545	0.0115307	0.0590509	0.256391	0.655851
a26	0.00175106	0.00114077	0.00134954	0.00458148	0.0143149	0.0698478	0.28109	0.625925
a3	0.041256	0.0185523	0.0136848	0.0167645	0.0298	0.10353	0.306995	0.469418
a87	0.357671	0.145025	0.0693829	0.046777	0.0456119	0.0506393	0.108056	0.176838
a23	0.548463	0.222518	0.0868513	0.0361492	0.026608	0.0202864	0.0279523	0.0311719
a87	0.205261	0.0877095	0.0353882	0.0338892	0.0430828	0.0680731	0.189781	0.336816
</S>	0.0401396	0.0185449	0.0125038	0.0249239	0.0396274	0.0615867	0.253853	0.548821
