 	la	viande	que	vous	avez	fait	bouillir	est	devenue	tendre	</S>
a66	0.184706	0.179205	0.157414	0.12928	0.0860004	0.0785762	0.0725227	0.0476151	0.0247526	0.0213391	0.0185883
a87	0.455648	0.279655	0.114999	0.0604797	0.0204383	0.0164725	0.0167483	0.00998863	0.006879	0.00786802	0.0108237
a23	0.373172	0.232765	0.120131	0.0709683	0.0575616	0.0320374	0.0287504	0.022044	0.0128369	0.019363	0.0303699
a54	0.227021	0.174419	0.0838807	0.0453566	0.122802	0.0614077	0.0552162	0.0393799	0.0379711	0.0486937	0.103852
a37	0.155501	0.156131	0.133782	0.0972553	0.118784	0.0643143	0.0703942	0.0807986	0.0517556	0.0345739	0.0367103
a21	0.132458	0.163474	0.209555	0.235794	0.138882	0.0520913	0.0277678	0.0148844	0.010203	0.00669883	0.00819206
a12	0.0719056	0.0933914	0.146056	0.209417	0.282132	0.111567	0.0483364	0.01928	0.00887466	0.00439491	0.00464523
a18	0.0860668	0.105671	0.127781	0.156934	0.30621	0.110893	0.0523638	0.0258094	0.0138114	0.00673964	0.00771865
a75	0.050993	0.0668172	0.0980794	0.152071	0.335105	0.163438	0.0770817	0.0250026	0.0134649	0.00809894	0.00984914
a56	0.0281881	0.0481188	0.101918	0.18295	0.306098	0.156074	0.0691681	0.041433	0.0293749	0.0188788	0.0177986
a44	0.0319216	0.054492	0.113411	0.176173	0.27319	0.156809	0.0786453	0.0385767	0.031205	0.022914	0.0226628
a43	0.0202102	0.0357625	0.0833463	0.154364	0.243756	0.183971	0.103976	0.0542264	0.0483932	0.0370172	0.0349773
a31	0.0234683	0.0397458	0.0861083	0.154663	0.181673	0.170194	0.129342	0.0704074	0.0568994	0.0470729	0.0404263
a0	0.0148578	0.0243403	0.0580672	0.116188	0.142557	0.179281	0.167528	0.107999	0.0726354	0.0661511	0.0503957
a88	0.0121422	0.0175498	0.0377177	0.0831077	0.131495	0.227034	0.206153	0.117092	0.0590593	0.0564715	0.0521778
a11	0.0122902	0.0179361	0.0361788	0.0688542	0.11033	0.195502	0.204712	0.140014	0.0722509	0.0761208	0.0658111
a31	0.0114647	0.0162922	0.0312497	0.0623884	0.0929406	0.186987	0.201437	0.150698	0.0845487	0.0853488	0.0766444
a96	0.00902478	0.0141909	0.032748	0.0619279	0.0705385	0.116049	0.168177	0.154323	0.0931079	0.138026	0.141887
a56	0.00943713	0.0146728	0.0287634	0.0496818	0.0682815	0.098096	0.140213	0.134301	0.0939638	0.178183	0.184407
a40	0.00201502	0.00254436	0.00464184	0.00957678	0.0117398	0.0368837	0.0841338	0.121457	0.127092	0.277883	0.322032
a7	0.000805418	0.0011069	0.00248248	0.00740268	0.0119635	0.0334163	0.0666844	0.106629	0.107659	0.287567	0.374284
a44	0.000778843	0.000822898	0.00107512	0.00195758	0.00391603	0.00963004	0.017168	0.0383156	0.0795753	0.335577	0.511183
a90	0.00044037	0.000478057	0.000758752	0.00185243	0.00266297	0.00865384	0.0167297	0.0404495	0.0845495	0.373586	0.469839
a69	0.000196201	0.000219021	0.000397537	0.00101707	0.00123541	0.00478421	0.00973378	0.0216313	0.0673178	0.371919	0.521549
a58	8.88523e-05	9.92774e-05	0.000170664	0.000393276	0.000683981	0.00252801	0.00577543	0.0162488	0.0568973	0.366082	0.551032
a53	0.000112638	9.92698e-05	0.000103144	0.000221434	0.000252288	0.00105078	0.00178892	0.00664518	0.0440946	0.354645	0.590987
a90	0.000181173	0.000205852	0.000320446	0.000669039	0.000655769	0.00295215	0.00592592	0.0165103	0.0680692	0.345539	0.558971
a69	8.06597e-05	0.00010195	0.000173743	0.000409172	0.000725765	0.00292404	0.00560601	0.0139312	0.065146	0.362494	0.548407
a58	8.46057e-05	0.000102484	0.000184354	0.000485415	0.000637312	0.00340084	0.00656029	0.0154853	0.0588981	0.336921	0.577241
a53	0.000196961	0.0001937	0.000242985	0.000475376	0.000335292	0.00156274	0.00315309	0.0135132	0.0787603	0.403187	0.498379
a4	0.000255796	0.000276819	0.000488684	0.00112858	0.000708436	0.0037383	0.00718733	0.0208433	0.0799937	0.355809	0.52957
a57	0.000196283	0.000223402	0.000502269	0.00137516	0.0014363	0.00783176	0.0130998	0.0300553	0.0989599	0.376267	0.470053
a82	0.000605185	0.00065346	0.000905068	0.00171252	0.00122255	0.00369694	0.00552981	0.0201468	0.0823877	0.39245	0.49069
a87	0.0942109	0.0628838	0.0397939	0.0394231	0.0269231	0.0397079	0.0417371	0.0481793	0.0849579	0.226594	0.295589
a23	0.355371	0.249571	0.109552	0.0647226	0.0328655	0.0263236	0.0214706	0.0202321	0.0252297	0.049795	0.0448673
a87	0.0717655	0.0469709	0.0184627	0.0145885	0.00646662	0.0132471	0.0183295	0.0405801	0.114891	0.339103	0.315595
</S>	0.00508217	0.00353723	0.00210053	0.00302412	0.00277004	0.00695313	0.0126429	0.0282658	0.0958082	0.371502	0.468314
