 	il	se	promène	dans	le	village	</S>
a23	0.448102	0.244967	0.112656	0.075486	0.0481346	0.035953	0.0347013
a79	0.455996	0.220058	0.0961569	0.0525755	0.0434925	0.047439	0.0842823
a54	0.231384	0.137811	0.105872	0.0998457	0.0977813	0.120124	0.207181
a92	0.321709	0.241601	0.16703	0.119495	0.0656479	0.0457366	0.0387812
a47	0.379016	0.263835	0.134136	0.0828112	0.0521343	0.0392205	0.0488467
a6	0.326363	0.282462	0.172054	0.0885199	0.0472612	0.0358198	0.0475195
a37	0.310046	0.289745	0.181431	0.0882216	0.0497049	0.037246	0.0436053
a21	0.374034	0.288899	0.160939	0.0683524	0.0421308	0.0325651	0.0330803
a61	0.409943	0.268851	0.139054	0.0648678	0.0471647	0.036602	0.0335174
a98	0.257906	0.236406	0.209941	0.113238	0.0753212	0.0561638	0.0510237
a85	0.0927081	0.0871192	0.130245	0.15858	0.182411	0.176975	0.171961
a0	0.0669329	0.0711749	0.131905	0.180866	0.189558	0.182212	0.177352
a75	0.0789061	0.0735061	0.118283	0.162435	0.196379	0.18158	0.188911
a85	0.0328757	0.0348363	0.0715992	0.145731	0.223082	0.238607	0.253269
a7	0.0263516	0.0291598	0.0510328	0.106394	0.20047	0.267391	0.3192
a84	0.0132989	0.0137383	0.0338194	0.0740452	0.193744	0.291909	0.379445
a53	0.00738576	0.00804877	0.0144194	0.0321251	0.100528	0.232838	0.604655
a13	0.00178877	0.00199644	0.00526763	0.0182085	0.0903284	0.26043	0.621981
a9	0.00170711	0.00183073	0.00481149	0.0182462	0.0903769	0.276362	0.606666
a97	0.00575725	0.00466332	0.00635074	0.019322	0.083438	0.288752	0.591717
a87	0.0665166	0.0411218	0.0318711	0.0384775	0.0936058	0.233655	0.494752
a23	0.18583	0.113265	0.0997329	0.104201	0.137019	0.158828	0.201124
a87	0.0347282	0.0212966	0.0315017	0.0788438	0.209595	0.313421	0.310614
</S>	0.00478993	0.00555047	0.0209168	0.061877	0.155772	0.297496	0.453597
