 	ces	feuillles	sont	larges	</S>
a66	0.489288	0.227137	0.125466	0.0943241	0.0637847
a87	0.398787	0.300314	0.16459	0.0829758	0.0533324
a97	0.616473	0.237479	0.0765717	0.0390476	0.0304289
a87	0.60881	0.256953	0.0754233	0.0333361	0.0254778
a23	0.596253	0.255423	0.0793599	0.0387867	0.0301768
a87	0.594538	0.232087	0.0839981	0.0466434	0.0427336
a97	0.61676	0.23489	0.0787083	0.039105	0.0305367
a38	0.595119	0.261732	0.0861394	0.0340131	0.0229967
a36	0.47781	0.277924	0.130519	0.0611684	0.0525784
a27	0.273167	0.262281	0.206987	0.137446	0.120119
a11	0.295944	0.280222	0.213741	0.125363	0.0847299
a38	0.232582	0.261386	0.240337	0.159057	0.106638
a24	0.222347	0.253527	0.239667	0.170309	0.11415
a88	0.152878	0.222313	0.249998	0.214042	0.16077
a71	0.100819	0.161184	0.224603	0.248279	0.265115
a83	0.0316758	0.0671215	0.147377	0.278983	0.474843
a36	0.016875	0.0403153	0.11848	0.286332	0.537998
a37	0.00862168	0.0237445	0.0827459	0.261531	0.623356
a44	0.00356368	0.00956071	0.0388247	0.19196	0.756091
a13	0.00544325	0.0118593	0.0416076	0.203705	0.737385
a18	0.0025681	0.00574937	0.0227393	0.136975	0.831968
a36	0.00786254	0.0103699	0.026629	0.108504	0.846635
a2	0.0524671	0.0446427	0.0750539	0.183615	0.644222
a57	0.0854847	0.0649281	0.083133	0.185984	0.58047
a87	0.176765	0.123461	0.116453	0.192068	0.391253
a97	0.151741	0.112732	0.108829	0.20139	0.425308
a99	0.126007	0.10031	0.114513	0.223591	0.435579
a97	0.114633	0.0964399	0.127767	0.273622	0.387537
a87	0.138454	0.110106	0.125157	0.231946	0.394337
a23	0.11745	0.107864	0.134299	0.255083	0.385304
a87	0.116641	0.121003	0.160986	0.300113	0.301256
a97	0.116838	0.116399	0.158792	0.293373	0.314598
</S>	0.155469	0.123891	0.14409	0.237252	0.339297
